06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
75,16,51,56,62,55,48,53,61,44,44,66,68,54,27,23.0,15.0,13.0,8.0,,2021-07-01,목요일,839,하차,이태원,2631,390,2021-12-31
79,19,50,56,57,46,63,54,41,59,66,57,68,57,30,28.0,15.0,12.0,11.0,,2021-07-02,금요일,868,하차,이태원,2631,950,2021-12-31
62,11,38,39,43,41,48,42,48,42,45,43,43,19,15,12.0,17.0,10.0,4.0,,2021-07-03,토요일,622,하차,이태원,2631,1510,2021-12-31
32,12,16,32,26,57,26,25,44,42,51,30,33,22,14,9.0,14.0,13.0,3.0,,2021-07-04,일요일,501,하차,이태원,2631,2070,2021-12-31
79,14,48,55,71,46,50,49,57,48,72,66,64,53,49,20.0,18.0,9.0,8.0,,2021-07-05,월요일,876,하차,이태원,2631,2630,2021-12-31
81,18,56,61,49,70,41,47,58,56,54,70,55,56,31,41.0,15.0,18.0,5.0,,2021-07-06,화요일,882,하차,이태원,2631,3190,2021-12-31
68,17,58,50,57,35,54,40,42,51,59,70,51,62,39,15.0,15.0,15.0,6.0,,2021-07-07,수요일,804,하차,이태원,2631,3750,2021-12-31
84,17,49,43,57,50,56,37,54,53,47,73,51,38,44,28.0,19.0,11.0,5.0,,2021-07-08,목요일,816,하차,이태원,2631,4310,2021-12-31
80,19,57,62,59,39,46,50,56,37,68,61,43,37,32,22.0,24.0,11.0,12.0,,2021-07-09,금요일,815,하차,이태원,2631,4870,2021-12-31
54,15,35,42,43,43,45,52,54,43,52,47,37,27,21,11.0,14.0,13.0,3.0,,2021-07-10,토요일,651,하차,이태원,2631,5430,2021-12-31
34,13,20,25,18,41,28,36,32,43,31,28,39,25,19,12.0,6.0,8.0,0.0,,2021-07-11,일요일,458,하차,이태원,2631,5990,2021-12-31
78,18,55,46,54,49,53,38,42,29,57,46,52,41,44,24.0,9.0,9.0,2.0,,2021-07-12,월요일,746,하차,이태원,2631,6550,2021-12-31
80,17,53,55,34,44,42,34,35,38,39,72,46,50,46,24.0,11.0,11.0,3.0,,2021-07-13,화요일,734,하차,이태원,2631,7110,2021-12-31
70,14,53,50,44,40,44,33,48,32,48,54,46,57,35,31.0,9.0,7.0,3.0,,2021-07-14,수요일,718,하차,이태원,2631,7670,2021-12-31
76,19,49,61,37,43,43,41,25,36,48,51,44,45,30,26.0,12.0,8.0,3.0,,2021-07-15,목요일,697,하차,이태원,2631,8230,2021-12-31
78,19,52,60,34,45,41,42,46,36,38,43,50,42,39,25.0,13.0,8.0,8.0,,2021-07-16,금요일,719,하차,이태원,2631,8790,2021-12-31
57,14,32,30,43,38,43,36,32,26,27,37,38,33,22,16.0,10.0,10.0,4.0,,2021-07-17,토요일,548,하차,이태원,2631,9350,2021-12-31
29,10,21,19,21,28,20,24,15,33,35,29,20,30,12,11.0,7.0,6.0,3.0,,2021-07-18,일요일,373,하차,이태원,2631,9910,2021-12-31
82,13,45,58,51,42,51,42,39,44,50,42,44,35,27,27.0,17.0,8.0,2.0,,2021-07-19,월요일,719,하차,이태원,2631,10470,2021-12-31
77,16,46,49,49,41,48,52,40,43,47,49,47,45,24,25.0,12.0,8.0,5.0,,2021-07-20,화요일,723,하차,이태원,2631,11030,2021-12-31
88,16,52,43,38,34,55,32,34,37,42,56,49,44,30,27.0,15.0,13.0,4.0,,2021-07-21,수요일,709,하차,이태원,2631,11590,2021-12-31
69,15,48,54,42,40,49,45,31,36,39,46,44,48,27,27.0,12.0,3.0,5.0,,2021-07-22,목요일,680,하차,이태원,2631,12150,2021-12-31
76,15,48,48,41,38,49,37,42,36,42,43,56,52,28,20.0,7.0,9.0,4.0,,2021-07-23,금요일,691,하차,이태원,2631,12710,2021-12-31
57,11,30,31,37,43,44,39,18,31,39,27,33,26,22,21.0,16.0,10.0,6.0,,2021-07-24,토요일,541,하차,이태원,2631,13270,2021-12-31
36,13,18,17,14,14,15,18,24,21,31,18,22,28,29,16.0,8.0,7.0,1.0,,2021-07-25,일요일,350,하차,이태원,2631,13830,2021-12-31
76,16,56,47,49,43,51,54,33,25,59,51,39,40,42,23.0,18.0,4.0,3.0,,2021-07-26,월요일,729,하차,이태원,2631,14390,2021-12-31
73,17,50,47,43,46,48,42,34,36,49,53,41,48,32,12.0,11.0,7.0,3.0,,2021-07-27,화요일,692,하차,이태원,2631,14950,2021-12-31
81,17,49,41,49,39,42,34,42,40,53,49,44,45,34,19.0,16.0,5.0,4.0,,2021-07-28,수요일,703,하차,이태원,2631,15510,2021-12-31
70,16,44,41,47,47,40,31,28,37,45,50,42,38,40,13.0,13.0,9.0,4.0,,2021-07-29,목요일,655,하차,이태원,2631,16070,2021-12-31
70,22,49,57,41,45,55,28,44,43,64,42,43,38,36,30.0,12.0,9.0,7.0,,2021-07-30,금요일,735,하차,이태원,2631,16630,2021-12-31
54,13,31,23,39,45,26,27,21,31,37,31,35,25,24,19.0,5.0,13.0,3.0,,2021-07-31,토요일,502,하차,이태원,2631,17190,2021-12-31
31,12,19,17,19,20,19,23,32,27,24,29,30,20,18,8.0,7.0,1.0,2.0,,2021-08-01,일요일,358,하차,이태원,2631,17750,2021-12-31
70,15,45,43,41,45,48,40,50,46,51,48,50,37,25,23.0,9.0,7.0,7.0,,2021-08-02,월요일,700,하차,이태원,2631,18310,2021-12-31
73,16,47,40,43,35,42,35,39,41,60,51,49,42,30,17.0,18.0,8.0,4.0,,2021-08-03,화요일,690,하차,이태원,2631,18870,2021-12-31
68,13,48,37,40,47,47,28,36,45,49,52,62,36,31,20.0,13.0,10.0,4.0,,2021-08-04,수요일,686,하차,이태원,2631,19430,2021-12-31
76,17,41,40,44,36,58,32,33,49,43,58,36,53,34,20.0,14.0,7.0,4.0,,2021-08-05,목요일,695,하차,이태원,2631,19990,2021-12-31
80,18,48,54,45,41,50,41,50,52,45,48,48,55,33,28.0,13.0,11.0,7.0,,2021-08-06,금요일,767,하차,이태원,2631,20550,2021-12-31
56,13,28,29,35,38,34,37,26,38,37,31,37,35,24,11.0,14.0,4.0,3.0,,2021-08-07,토요일,530,하차,이태원,2631,21110,2021-12-31
39,18,20,11,28,27,18,17,28,37,44,41,25,22,22,14.0,7.0,3.0,1.0,,2021-08-08,일요일,422,하차,이태원,2631,21670,2021-12-31
86,15,44,54,51,42,44,49,43,40,47,58,57,38,39,19.0,11.0,9.0,4.0,,2021-08-09,월요일,750,하차,이태원,2631,22230,2021-12-31
78,17,48,50,39,40,40,38,55,52,59,52,54,40,41,18.0,18.0,7.0,6.0,,2021-08-10,화요일,752,하차,이태원,2631,22790,2021-12-31
79,22,58,35,63,36,46,36,47,45,51,60,42,44,33,31.0,16.0,7.0,6.0,,2021-08-11,수요일,757,하차,이태원,2631,23350,2021-12-31
75,16,48,40,55,36,38,49,41,61,47,45,43,48,29,17.0,18.0,13.0,2.0,,2021-08-12,목요일,721,하차,이태원,2631,23910,2021-12-31
