06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
36,10,27,29,35,66,84,91,91,103,117,109,150,194,202,42.0,32.0,25.0,6.0,0.0,2023-10-01,일요일,1449,하차,자양(뚝섬한강공원),2730,149059,2023-12-31
43,13,44,39,47,62,77,92,87,108,114,85,99,80,68,49.0,31.0,21.0,4.0,0.0,2023-10-02,월요일,1163,하차,자양(뚝섬한강공원),2730,149603,2023-12-31
38,14,27,38,49,61,109,63,85,87,97,111,105,80,57,62.0,26.0,24.0,2.0,0.0,2023-10-03,화요일,1135,하차,자양(뚝섬한강공원),2730,150147,2023-12-31
61,17,64,65,50,91,80,112,113,109,153,124,136,116,62,44.0,31.0,19.0,7.0,2.0,2023-10-04,수요일,1456,하차,자양(뚝섬한강공원),2730,150691,2023-12-31
59,13,53,69,75,72,82,99,88,125,137,141,149,124,69,52.0,42.0,12.0,12.0,0.0,2023-10-05,목요일,1473,하차,자양(뚝섬한강공원),2730,151235,2023-12-31
62,12,64,75,64,82,69,104,119,125,128,130,160,200,143,64.0,42.0,30.0,13.0,3.0,2023-10-06,금요일,1689,하차,자양(뚝섬한강공원),2730,151779,2023-12-31
52,12,34,42,51,63,93,115,108,116,115,111,102,135,71,60.0,41.0,30.0,8.0,1.0,2023-10-07,토요일,1360,하차,자양(뚝섬한강공원),2730,152323,2023-12-31
40,15,35,28,44,71,77,79,82,94,117,109,89,82,53,43.0,30.0,13.0,7.0,1.0,2023-10-08,일요일,1109,하차,자양(뚝섬한강공원),2730,152867,2023-12-31
48,11,28,33,35,54,72,74,105,105,132,102,116,95,56,47.0,40.0,18.0,4.0,0.0,2023-10-09,월요일,1175,하차,자양(뚝섬한강공원),2730,153411,2023-12-31
63,18,64,65,69,98,106,119,118,107,140,143,139,114,66,55.0,31.0,18.0,9.0,1.0,2023-10-10,화요일,1543,하차,자양(뚝섬한강공원),2730,153955,2023-12-31
52,14,48,74,57,78,100,123,109,129,140,134,151,91,62,45.0,46.0,22.0,5.0,1.0,2023-10-11,수요일,1481,하차,자양(뚝섬한강공원),2730,154499,2023-12-31
