06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
77,21,127,191,172,198,183,215,188,183,144,149,155,152,106,62.0,38.0,33.0,8.0,,2021-07-01,목요일,2402,하차,잠실나루,215,50,2021-12-31
84,18,118,159,159,159,164,213,187,162,167,172,160,140,105,56.0,52.0,26.0,8.0,,2021-07-02,금요일,2309,하차,잠실나루,215,610,2021-12-31
46,16,59,55,48,93,80,82,83,139,118,101,77,68,58,41.0,31.0,16.0,7.0,,2021-07-03,토요일,1218,하차,잠실나루,215,1170,2021-12-31
29,6,16,29,41,35,53,46,50,59,88,80,82,60,40,23.0,23.0,18.0,4.0,,2021-07-04,일요일,782,하차,잠실나루,215,1730,2021-12-31
64,27,132,179,211,211,167,207,196,172,154,154,173,154,73,53.0,43.0,19.0,4.0,,2021-07-05,월요일,2393,하차,잠실나루,215,2290,2021-12-31
82,24,120,202,197,211,197,220,189,183,163,135,174,145,101,70.0,43.0,30.0,6.0,,2021-07-06,화요일,2492,하차,잠실나루,215,2850,2021-12-31
74,22,133,168,205,219,176,184,163,178,170,136,162,136,84,59.0,40.0,25.0,5.0,,2021-07-07,수요일,2339,하차,잠실나루,215,3410,2021-12-31
75,19,117,177,185,200,192,178,194,185,163,135,131,143,66,47.0,47.0,23.0,7.0,,2021-07-08,목요일,2284,하차,잠실나루,215,3970,2021-12-31
69,20,110,151,165,168,163,195,147,148,141,135,122,142,90,46.0,40.0,21.0,7.0,,2021-07-09,금요일,2080,하차,잠실나루,215,4530,2021-12-31
42,10,63,42,42,57,71,71,75,76,89,84,82,76,48,46.0,34.0,17.0,1.0,,2021-07-10,토요일,1026,하차,잠실나루,215,5090,2021-12-31
27,12,19,23,42,42,48,52,61,62,61,57,68,44,42,24.0,17.0,15.0,1.0,,2021-07-11,일요일,717,하차,잠실나루,215,5650,2021-12-31
78,17,118,163,204,182,158,188,174,153,142,103,128,134,64,35.0,30.0,13.0,4.0,,2021-07-12,월요일,2088,하차,잠실나루,215,6210,2021-12-31
73,19,131,181,175,176,154,189,181,157,139,102,131,128,64,52.0,25.0,17.0,5.0,,2021-07-13,화요일,2099,하차,잠실나루,215,6770,2021-12-31
79,18,128,186,176,168,133,204,138,146,125,104,122,124,75,48.0,23.0,20.0,1.0,,2021-07-14,수요일,2018,하차,잠실나루,215,7330,2021-12-31
63,24,136,165,186,167,141,190,119,137,136,112,127,136,53,41.0,29.0,19.0,2.0,,2021-07-15,목요일,1983,하차,잠실나루,215,7890,2021-12-31
68,15,121,160,140,145,141,150,125,137,126,100,137,111,88,54.0,35.0,16.0,4.0,,2021-07-16,금요일,1873,하차,잠실나루,215,8450,2021-12-31
47,17,59,37,38,59,84,55,61,58,79,51,75,73,40,35.0,25.0,7.0,5.0,,2021-07-17,토요일,905,하차,잠실나루,215,9010,2021-12-31
34,5,9,26,33,24,47,42,45,51,55,51,66,51,37,23.0,19.0,9.0,6.0,,2021-07-18,일요일,633,하차,잠실나루,215,9570,2021-12-31
80,20,114,175,179,163,162,172,153,129,144,138,117,144,89,41.0,28.0,12.0,6.0,,2021-07-19,월요일,2066,하차,잠실나루,215,10130,2021-12-31
76,18,131,174,173,170,143,166,165,155,143,98,140,123,86,42.0,37.0,16.0,1.0,,2021-07-20,화요일,2057,하차,잠실나루,215,10690,2021-12-31
73,23,138,175,173,177,154,169,133,137,120,107,113,128,75,45.0,31.0,16.0,9.0,,2021-07-21,수요일,1996,하차,잠실나루,215,11250,2021-12-31
82,16,125,195,169,190,134,165,143,141,123,85,130,127,78,40.0,36.0,16.0,5.0,,2021-07-22,목요일,2000,하차,잠실나루,215,11810,2021-12-31
73,24,106,166,158,135,136,140,143,133,124,116,131,138,76,48.0,32.0,21.0,7.0,,2021-07-23,금요일,1907,하차,잠실나루,215,12370,2021-12-31
50,15,50,38,40,76,80,52,71,59,76,66,68,82,47,38.0,33.0,11.0,3.0,,2021-07-24,토요일,955,하차,잠실나루,215,12930,2021-12-31
25,9,24,24,23,23,52,39,41,66,52,55,61,57,37,38.0,16.0,12.0,1.0,,2021-07-25,일요일,655,하차,잠실나루,215,13490,2021-12-31
86,15,126,147,178,175,157,170,139,137,125,120,134,132,95,38.0,25.0,22.0,2.0,,2021-07-26,월요일,2023,하차,잠실나루,215,14050,2021-12-31
81,20,125,156,166,161,144,155,165,140,115,118,130,154,89,39.0,35.0,14.0,4.0,,2021-07-27,화요일,2011,하차,잠실나루,215,14610,2021-12-31
80,19,117,188,162,177,159,187,154,130,134,116,139,121,85,50.0,32.0,20.0,1.0,,2021-07-28,수요일,2071,하차,잠실나루,215,15170,2021-12-31
80,18,131,162,181,157,139,169,153,131,125,111,142,133,63,41.0,23.0,20.0,5.0,,2021-07-29,목요일,1984,하차,잠실나루,215,15730,2021-12-31
80,18,103,146,152,155,154,158,147,123,118,115,125,119,90,54.0,22.0,20.0,2.0,,2021-07-30,금요일,1901,하차,잠실나루,215,16290,2021-12-31
53,22,58,40,44,62,77,93,64,64,68,78,62,74,56,36.0,31.0,8.0,2.0,,2021-07-31,토요일,992,하차,잠실나루,215,16850,2021-12-31
34,8,12,21,27,35,65,41,47,51,60,69,72,47,44,20.0,19.0,13.0,3.0,,2021-08-01,일요일,688,하차,잠실나루,215,17410,2021-12-31
56,19,116,160,134,147,188,172,161,154,125,146,147,116,79,39.0,31.0,14.0,5.0,,2021-08-02,월요일,2009,하차,잠실나루,215,17970,2021-12-31
75,19,120,150,148,192,153,159,129,161,117,120,131,128,76,45.0,28.0,18.0,3.0,,2021-08-03,화요일,1972,하차,잠실나루,215,18530,2021-12-31
79,22,119,165,150,160,143,168,135,137,121,114,146,124,71,40.0,28.0,14.0,8.0,,2021-08-04,수요일,1944,하차,잠실나루,215,19090,2021-12-31
71,14,117,172,177,145,149,144,136,145,101,120,133,145,72,47.0,23.0,18.0,4.0,,2021-08-05,목요일,1933,하차,잠실나루,215,19650,2021-12-31
73,22,135,150,154,137,134,182,146,147,129,133,137,126,71,46.0,31.0,19.0,3.0,,2021-08-06,금요일,1975,하차,잠실나루,215,20210,2021-12-31
46,9,50,61,45,47,55,69,53,66,83,74,82,63,49,39.0,22.0,18.0,3.0,,2021-08-07,토요일,934,하차,잠실나루,215,20770,2021-12-31
24,12,23,22,21,37,41,49,55,50,67,83,82,51,37,31.0,11.0,10.0,1.0,,2021-08-08,일요일,707,하차,잠실나루,215,21330,2021-12-31
94,15,119,178,182,174,168,166,165,158,142,121,139,130,88,46.0,31.0,20.0,6.0,,2021-08-09,월요일,2142,하차,잠실나루,215,21890,2021-12-31
68,21,135,162,163,163,161,172,142,167,146,131,132,163,76,54.0,38.0,15.0,4.0,,2021-08-10,화요일,2113,하차,잠실나루,215,22450,2021-12-31
73,13,108,175,200,177,155,180,147,153,147,118,163,122,81,55.0,31.0,17.0,4.0,,2021-08-11,수요일,2119,하차,잠실나루,215,23010,2021-12-31
57,22,119,155,164,131,152,160,128,151,133,145,128,120,76,52.0,24.0,26.0,6.0,,2021-08-12,목요일,1949,하차,잠실나루,215,23570,2021-12-31
68,21,100,131,158,148,142,151,173,157,129,121,134,150,85,46.0,29.0,18.0,3.0,,2021-08-13,금요일,1964,하차,잠실나루,215,24130,2021-12-31
46,15,67,55,50,55,84,63,81,72,102,79,99,78,51,28.0,28.0,11.0,5.0,,2021-08-14,토요일,1069,하차,잠실나루,215,24690,2021-12-31
25,7,20,24,23,38,44,51,46,56,61,53,71,76,32,27.0,18.0,8.0,5.0,,2021-08-15,일요일,685,하차,잠실나루,215,25250,2021-12-31
53,19,64,132,138,140,121,143,137,128,116,103,110,96,59,39.0,30.0,5.0,2.0,,2021-08-16,월요일,1635,하차,잠실나루,215,25810,2021-12-31
77,19,146,178,192,176,152,206,171,180,152,131,144,143,61,45.0,18.0,19.0,3.0,,2021-08-17,화요일,2213,하차,잠실나루,215,26370,2021-12-31
66,23,116,153,198,163,168,157,179,180,187,150,150,131,79,55.0,26.0,17.0,3.0,,2021-08-18,수요일,2201,하차,잠실나루,215,26930,2021-12-31
76,16,141,183,155,202,170,178,145,187,142,150,158,157,85,42.0,26.0,20.0,4.0,,2021-08-19,목요일,2237,하차,잠실나루,215,27490,2021-12-31
70,22,135,171,166,158,134,173,142,145,167,134,156,129,81,41.0,29.0,16.0,4.0,,2021-08-20,금요일,2073,하차,잠실나루,215,28050,2021-12-31
47,15,52,46,39,49,77,54,50,68,73,95,81,71,45,19.0,23.0,8.0,4.0,,2021-08-21,토요일,916,하차,잠실나루,215,28610,2021-12-31
28,11,29,25,29,38,36,37,69,79,79,79,94,63,42,29.0,15.0,11.0,3.0,,2021-08-22,일요일,796,하차,잠실나루,215,29170,2021-12-31
