06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
8,1,9,4,11,24,15,15,12,9,11,9,7,8,2,2.0,2.0,0.0,2.0,,2021-07-01,목요일,151,하차,장암,2711,426,2021-12-31
16,3,14,10,16,18,30,21,16,10,11,11,5,6,7,4.0,3.0,2.0,0.0,,2021-07-02,금요일,203,하차,장암,2711,986,2021-12-31
8,2,4,19,15,24,31,23,7,18,13,3,10,3,0,3.0,1.0,0.0,1.0,,2021-07-03,토요일,185,하차,장암,2711,1546,2021-12-31
3,0,4,7,29,10,37,31,10,13,11,9,3,8,2,1.0,1.0,1.0,0.0,,2021-07-04,일요일,180,하차,장암,2711,2106,2021-12-31
7,1,11,9,6,24,13,22,8,13,9,13,9,9,2,2.0,0.0,1.0,3.0,,2021-07-05,월요일,162,하차,장암,2711,2666,2021-12-31
14,1,9,13,16,21,32,17,15,13,17,16,8,5,3,4.0,4.0,1.0,1.0,,2021-07-06,화요일,210,하차,장암,2711,3226,2021-12-31
8,1,8,11,8,15,18,19,19,8,9,2,6,7,3,1.0,1.0,,1.0,,2021-07-07,수요일,145,하차,장암,2711,3786,2021-12-31
10,0,6,10,7,22,10,19,16,6,7,13,6,1,4,3.0,0.0,2.0,1.0,,2021-07-08,목요일,143,하차,장암,2711,4346,2021-12-31
16,0,12,15,6,18,16,24,15,13,15,16,5,8,5,1.0,0.0,0.0,1.0,,2021-07-09,금요일,186,하차,장암,2711,4906,2021-12-31
10,1,5,18,35,50,18,16,17,11,8,13,9,5,5,1.0,0.0,1.0,1.0,,2021-07-10,토요일,224,하차,장암,2711,5466,2021-12-31
1,0,3,9,35,53,47,22,14,15,9,9,6,5,0,2.0,0.0,0.0,0.0,,2021-07-11,일요일,230,하차,장암,2711,6026,2021-12-31
10,0,10,10,7,17,23,13,13,7,12,9,5,2,1,1.0,2.0,,0.0,,2021-07-12,월요일,142,하차,장암,2711,6586,2021-12-31
9,2,7,8,13,18,16,20,20,14,18,15,11,2,6,3.0,1.0,0.0,0.0,,2021-07-13,화요일,183,하차,장암,2711,7146,2021-12-31
13,3,15,15,17,25,26,14,17,8,10,7,9,6,3,3.0,0.0,0.0,0.0,,2021-07-14,수요일,191,하차,장암,2711,7706,2021-12-31
