06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
205,64,290,442,677,920,949,800,728,772,622,424,310,150,69,39.0,36.0,9.0,7.0,,2021-07-01,목요일,7513,하차,종로5가,154,10,2021-12-31
230,67,282,413,696,870,978,799,654,764,638,475,354,154,81,67.0,38.0,12.0,5.0,,2021-07-02,금요일,7577,하차,종로5가,154,570,2021-12-31
155,43,172,318,555,727,870,816,679,802,568,301,189,77,36,18.0,5.0,7.0,7.0,,2021-07-03,토요일,6345,하차,종로5가,154,1130,2021-12-31
33,10,48,63,107,216,313,319,329,241,203,177,76,48,41,25.0,19.0,12.0,4.0,,2021-07-04,일요일,2284,하차,종로5가,154,1690,2021-12-31
240,51,289,443,653,901,946,875,861,859,674,535,279,145,62,47.0,22.0,12.0,3.0,,2021-07-05,월요일,7897,하차,종로5가,154,2250,2021-12-31
196,74,303,387,652,931,1079,910,754,824,665,473,294,144,64,61.0,27.0,11.0,7.0,,2021-07-06,화요일,7856,하차,종로5가,154,2810,2021-12-31
190,67,281,408,626,774,968,741,699,712,514,492,282,129,74,37.0,32.0,9.0,8.0,,2021-07-07,수요일,7043,하차,종로5가,154,3370,2021-12-31
205,66,263,420,590,807,869,731,725,712,551,447,274,140,79,45.0,22.0,4.0,5.0,,2021-07-08,목요일,6955,하차,종로5가,154,3930,2021-12-31
202,69,236,400,701,793,873,754,648,715,611,444,287,144,75,41.0,33.0,11.0,6.0,,2021-07-09,금요일,7043,하차,종로5가,154,4490,2021-12-31
149,37,201,278,501,619,737,670,566,562,450,377,219,104,56,28.0,9.0,11.0,3.0,,2021-07-10,토요일,5577,하차,종로5가,154,5050,2021-12-31
27,15,38,54,134,238,275,305,259,269,215,135,117,69,34,32.0,13.0,12.0,4.0,,2021-07-11,일요일,2245,하차,종로5가,154,5610,2021-12-31
199,56,275,398,637,753,799,683,598,636,523,399,236,117,74,41.0,24.0,6.0,4.0,,2021-07-12,월요일,6458,하차,종로5가,154,6170,2021-12-31
197,71,296,422,635,757,765,654,595,636,554,372,258,110,68,44.0,23.0,9.0,6.0,,2021-07-13,화요일,6472,하차,종로5가,154,6730,2021-12-31
204,61,281,415,589,774,729,570,529,589,466,336,246,115,70,46.0,28.0,10.0,8.0,,2021-07-14,수요일,6066,하차,종로5가,154,7290,2021-12-31
194,67,288,406,578,756,737,581,542,573,522,360,214,116,62,43.0,23.0,10.0,7.0,,2021-07-15,목요일,6079,하차,종로5가,154,7850,2021-12-31
202,63,288,424,653,734,821,612,540,579,505,416,250,137,84,43.0,32.0,9.0,5.0,,2021-07-16,금요일,6397,하차,종로5가,154,8410,2021-12-31
150,47,185,269,486,602,750,593,544,510,410,294,195,112,68,24.0,11.0,5.0,7.0,,2021-07-17,토요일,5262,하차,종로5가,154,8970,2021-12-31
22,10,47,63,129,225,292,275,264,235,209,139,124,70,35,24.0,20.0,17.0,3.0,,2021-07-18,일요일,2203,하차,종로5가,154,9530,2021-12-31
196,62,275,394,722,825,825,653,640,576,475,326,187,106,61,37.0,25.0,9.0,6.0,,2021-07-19,월요일,6400,하차,종로5가,154,10090,2021-12-31
211,67,267,390,718,845,843,668,599,642,507,369,191,118,63,41.0,19.0,12.0,3.0,,2021-07-20,화요일,6573,하차,종로5가,154,10650,2021-12-31
192,69,287,375,617,725,714,539,480,452,434,332,233,137,74,50.0,22.0,9.0,6.0,,2021-07-21,수요일,5747,하차,종로5가,154,11210,2021-12-31
192,62,293,408,697,719,691,606,487,489,410,340,222,120,69,39.0,22.0,10.0,4.0,,2021-07-22,목요일,5880,하차,종로5가,154,11770,2021-12-31
192,61,247,424,640,771,785,621,545,573,508,346,250,137,66,50.0,27.0,12.0,3.0,,2021-07-23,금요일,6258,하차,종로5가,154,12330,2021-12-31
132,35,190,274,535,602,690,516,462,403,343,218,179,190,69,22.0,11.0,9.0,5.0,,2021-07-24,토요일,4885,하차,종로5가,154,12890,2021-12-31
31,9,38,58,156,216,281,253,244,201,194,144,114,71,47,21.0,18.0,10.0,5.0,,2021-07-25,일요일,2111,하차,종로5가,154,13450,2021-12-31
190,53,303,455,709,786,757,644,600,561,481,380,239,128,74,44.0,20.0,7.0,6.0,,2021-07-26,월요일,6437,하차,종로5가,154,14010,2021-12-31
188,73,311,392,608,774,807,621,527,559,454,348,267,127,58,42.0,21.0,10.0,5.0,,2021-07-27,화요일,6192,하차,종로5가,154,14570,2021-12-31
208,56,271,383,670,749,778,633,564,597,461,358,180,110,56,36.0,25.0,6.0,6.0,,2021-07-28,수요일,6147,하차,종로5가,154,15130,2021-12-31
190,70,314,386,672,785,717,650,514,642,526,377,237,116,61,38.0,22.0,9.0,3.0,,2021-07-29,목요일,6329,하차,종로5가,154,15690,2021-12-31
199,58,270,413,632,801,843,681,601,579,546,373,282,135,71,42.0,18.0,10.0,5.0,,2021-07-30,금요일,6559,하차,종로5가,154,16250,2021-12-31
136,44,191,251,459,638,631,634,510,459,424,317,200,123,57,30.0,12.0,11.0,4.0,,2021-07-31,토요일,5131,하차,종로5가,154,16810,2021-12-31
27,9,37,50,115,208,297,263,285,225,221,143,118,55,45,19.0,19.0,4.0,9.0,,2021-08-01,일요일,2149,하차,종로5가,154,17370,2021-12-31
89,42,159,208,437,585,749,659,586,649,516,400,205,136,63,50.0,19.0,10.0,11.0,,2021-08-02,월요일,5573,하차,종로5가,154,17930,2021-12-31
108,40,152,250,462,591,770,617,505,573,484,374,218,108,69,42.0,20.0,14.0,7.0,,2021-08-03,화요일,5404,하차,종로5가,154,18490,2021-12-31
123,40,172,276,419,634,634,615,531,568,424,321,225,115,56,35.0,17.0,12.0,6.0,,2021-08-04,수요일,5223,하차,종로5가,154,19050,2021-12-31
198,57,261,410,614,752,772,647,593,597,522,415,245,124,69,53.0,22.0,9.0,8.0,,2021-08-05,목요일,6368,하차,종로5가,154,19610,2021-12-31
194,58,319,386,623,724,795,605,637,570,462,428,262,126,73,45.0,18.0,7.0,6.0,,2021-08-06,금요일,6338,하차,종로5가,154,20170,2021-12-31
136,36,208,291,482,676,733,594,570,493,405,297,231,102,54,17.0,12.0,8.0,5.0,,2021-08-07,토요일,5350,하차,종로5가,154,20730,2021-12-31
30,14,41,47,142,216,281,347,275,240,220,173,89,45,27,15.0,8.0,6.0,9.0,,2021-08-08,일요일,2225,하차,종로5가,154,21290,2021-12-31
189,50,296,378,630,822,831,712,622,632,511,441,280,143,60,20.0,9.0,7.0,5.0,,2021-08-09,월요일,6638,하차,종로5가,154,21850,2021-12-31
172,56,276,412,637,838,902,779,596,626,556,427,270,111,50,22.0,7.0,13.0,8.0,,2021-08-10,화요일,6758,하차,종로5가,154,22410,2021-12-31
173,57,262,350,571,793,762,762,603,650,508,359,277,130,60,27.0,9.0,6.0,8.0,,2021-08-11,수요일,6367,하차,종로5가,154,22970,2021-12-31
176,55,265,387,603,757,797,685,584,690,537,376,198,95,50,13.0,10.0,5.0,10.0,,2021-08-12,목요일,6293,하차,종로5가,154,23530,2021-12-31
184,52,270,355,585,722,772,730,652,654,547,401,280,134,53,24.0,18.0,7.0,4.0,,2021-08-13,금요일,6444,하차,종로5가,154,24090,2021-12-31
121,32,184,256,444,638,727,703,603,597,481,305,223,111,51,13.0,3.0,7.0,7.0,,2021-08-14,토요일,5506,하차,종로5가,154,24650,2021-12-31
32,10,48,67,146,276,342,354,337,307,246,224,141,59,40,18.0,17.0,11.0,8.0,,2021-08-15,일요일,2683,하차,종로5가,154,25210,2021-12-31
124,53,255,329,552,770,825,735,652,588,510,381,188,102,52,30.0,24.0,9.0,7.0,,2021-08-16,월요일,6186,하차,종로5가,154,25770,2021-12-31
216,51,297,386,603,840,881,815,700,687,573,389,244,100,48,31.0,19.0,8.0,8.0,,2021-08-17,화요일,6896,하차,종로5가,154,26330,2021-12-31
182,56,276,375,544,691,740,733,682,741,527,447,259,115,63,40.0,19.0,14.0,9.0,,2021-08-18,수요일,6513,하차,종로5가,154,26890,2021-12-31
180,57,290,417,640,774,847,752,637,757,588,410,264,116,54,39.0,24.0,8.0,7.0,,2021-08-19,목요일,6861,하차,종로5가,154,27450,2021-12-31
182,55,278,376,678,818,848,784,678,740,619,405,259,135,72,43.0,18.0,9.0,7.0,,2021-08-20,금요일,7004,하차,종로5가,154,28010,2021-12-31
139,30,175,278,433,501,596,483,334,430,482,362,195,100,33,15.0,7.0,6.0,7.0,,2021-08-21,토요일,4606,하차,종로5가,154,28570,2021-12-31
23,11,46,85,133,278,361,409,371,347,248,211,119,61,47,26.0,15.0,7.0,8.0,,2021-08-22,일요일,2806,하차,종로5가,154,29130,2021-12-31
