06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
100,33,105,143,184,289,324,292,295,316,339,283,224,189,99,72.0,47.0,28.0,13.0,,2021-07-01,목요일,3375,하차,천호(풍납토성),2548,314,2021-12-31
85,26,46,84,96,123,165,155,147,189,186,181,156,117,68,42.0,35.0,26.0,14.0,,2021-07-01,목요일,1941,하차,천호(풍납토성),2812,530,2021-12-31
99,37,104,159,187,290,293,267,295,309,319,290,272,200,122,76.0,57.0,34.0,16.0,,2021-07-02,금요일,3426,하차,천호(풍납토성),2548,874,2021-12-31
83,24,47,77,110,144,150,144,130,172,220,210,161,114,70,49.0,33.0,25.0,16.0,,2021-07-02,금요일,1979,하차,천호(풍납토성),2812,1090,2021-12-31
91,26,74,84,146,219,289,302,271,299,264,202,144,105,63,43.0,40.0,28.0,7.0,,2021-07-03,토요일,2697,하차,천호(풍납토성),2548,1434,2021-12-31
71,27,46,60,67,114,181,154,106,124,151,114,95,71,46,24.0,35.0,21.0,10.0,,2021-07-03,토요일,1517,하차,천호(풍납토성),2812,1650,2021-12-31
46,8,36,61,72,186,155,201,198,199,187,161,138,87,54,33.0,36.0,21.0,15.0,,2021-07-04,일요일,1894,하차,천호(풍납토성),2548,1994,2021-12-31
37,15,30,35,48,93,75,100,88,105,108,62,68,52,48,25.0,28.0,13.0,6.0,,2021-07-04,일요일,1036,하차,천호(풍납토성),2812,2210,2021-12-31
99,24,90,162,183,295,315,306,288,364,338,305,218,201,99,53.0,35.0,31.0,11.0,,2021-07-05,월요일,3417,하차,천호(풍납토성),2548,2554,2021-12-31
65,27,46,85,95,138,147,150,161,186,239,194,161,109,70,42.0,30.0,17.0,12.0,,2021-07-05,월요일,1974,하차,천호(풍납토성),2812,2770,2021-12-31
101,31,109,149,192,283,372,314,280,338,363,279,260,181,99,49.0,47.0,37.0,10.0,,2021-07-06,화요일,3494,하차,천호(풍납토성),2548,3114,2021-12-31
68,31,66,74,115,151,165,150,161,186,217,204,140,128,75,44.0,25.0,21.0,19.0,,2021-07-06,화요일,2040,하차,천호(풍납토성),2812,3330,2021-12-31
105,31,95,157,166,295,317,286,276,309,289,285,236,213,114,48.0,53.0,29.0,13.0,,2021-07-07,수요일,3317,하차,천호(풍납토성),2548,3674,2021-12-31
73,22,41,84,91,130,174,140,117,157,206,185,134,98,74,41.0,28.0,21.0,13.0,,2021-07-07,수요일,1829,하차,천호(풍납토성),2812,3890,2021-12-31
103,33,94,143,160,243,252,256,259,275,321,271,206,161,94,72.0,34.0,23.0,13.0,,2021-07-08,목요일,3013,하차,천호(풍납토성),2548,4234,2021-12-31
76,25,48,86,91,119,139,137,131,139,181,172,126,111,81,40.0,30.0,22.0,16.0,,2021-07-08,목요일,1770,하차,천호(풍납토성),2812,4450,2021-12-31
103,31,85,147,190,298,288,240,255,298,287,244,228,195,119,54.0,45.0,31.0,17.0,,2021-07-09,금요일,3155,하차,천호(풍납토성),2548,4794,2021-12-31
68,24,54,83,95,154,131,141,136,172,206,195,156,129,65,51.0,27.0,25.0,19.0,,2021-07-09,금요일,1931,하차,천호(풍납토성),2812,5010,2021-12-31
