06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
18,10,27,34,41,57,57,79,61,52,78,83,69,62,45,19.0,20.0,13.0,3.0,,2021-07-01,목요일,828,하차,태릉입구,2646,420,2021-12-31
36,14,53,67,63,92,84,92,70,80,90,89,76,66,42,37.0,16.0,12.0,8.0,,2021-07-01,목요일,1087,하차,태릉입구,2719,442,2021-12-31
16,7,26,41,39,56,69,87,53,60,66,93,58,76,53,16.0,22.0,14.0,5.0,,2021-07-02,금요일,857,하차,태릉입구,2646,980,2021-12-31
34,11,52,71,61,89,76,99,84,84,95,105,89,60,50,29.0,21.0,16.0,11.0,,2021-07-02,금요일,1137,하차,태릉입구,2719,1002,2021-12-31
15,8,35,38,40,49,67,59,61,62,49,55,33,32,24,15.0,10.0,9.0,4.0,,2021-07-03,토요일,665,하차,태릉입구,2646,1540,2021-12-31
29,19,46,62,63,97,75,70,57,45,66,50,37,31,30,27.0,8.0,13.0,7.0,,2021-07-03,토요일,832,하차,태릉입구,2719,1562,2021-12-31
10,2,6,15,25,32,26,39,33,36,38,37,32,17,20,7.0,13.0,9.0,4.0,,2021-07-04,일요일,401,하차,태릉입구,2646,2100,2021-12-31
17,11,25,14,28,48,39,43,41,43,30,44,48,35,18,15.0,10.0,8.0,5.0,,2021-07-04,일요일,522,하차,태릉입구,2719,2122,2021-12-31
20,9,38,45,41,52,67,57,64,59,92,94,53,59,50,20.0,14.0,17.0,5.0,,2021-07-05,월요일,856,하차,태릉입구,2646,2660,2021-12-31
29,16,63,85,84,86,87,104,76,70,111,107,83,69,48,27.0,16.0,7.0,2.0,,2021-07-05,월요일,1170,하차,태릉입구,2719,2682,2021-12-31
20,9,32,36,47,59,51,62,61,65,74,109,75,68,44,23.0,19.0,8.0,4.0,,2021-07-06,화요일,866,하차,태릉입구,2646,3220,2021-12-31
