06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
18,2,34,40,50,57,47,45,46,34,54,64,46,45,38,15.0,19.0,7.0,3.0,,2021-07-01,목요일,664,하차,하남풍산,2564,346,2021-12-31
14,1,35,44,59,29,49,38,52,32,55,47,47,47,34,20.0,18.0,12.0,4.0,,2021-07-02,금요일,637,하차,하남풍산,2564,906,2021-12-31
15,1,12,9,27,39,43,35,32,43,53,41,30,14,18,16.0,15.0,4.0,0.0,,2021-07-03,토요일,447,하차,하남풍산,2564,1466,2021-12-31
11,1,8,11,25,20,16,20,19,21,38,22,27,12,16,12.0,7.0,8.0,2.0,,2021-07-04,일요일,296,하차,하남풍산,2564,2026,2021-12-31
16,2,30,45,60,32,37,36,51,27,51,57,64,47,39,19.0,12.0,7.0,7.0,,2021-07-05,월요일,639,하차,하남풍산,2564,2586,2021-12-31
15,1,34,47,54,39,52,35,37,28,55,40,53,58,32,17.0,15.0,13.0,3.0,,2021-07-06,화요일,628,하차,하남풍산,2564,3146,2021-12-31
18,2,34,40,56,37,36,41,35,29,46,56,46,44,35,15.0,8.0,21.0,4.0,,2021-07-07,수요일,603,하차,하남풍산,2564,3706,2021-12-31
18,3,35,43,47,31,47,43,41,32,48,47,51,39,30,15.0,15.0,7.0,1.0,,2021-07-08,목요일,593,하차,하남풍산,2564,4266,2021-12-31
19,0,22,44,46,52,38,40,44,32,46,62,46,38,26,22.0,8.0,11.0,2.0,,2021-07-09,금요일,598,하차,하남풍산,2564,4826,2021-12-31
16,0,23,12,21,31,40,43,29,31,26,21,38,20,18,18.0,10.0,6.0,3.0,,2021-07-10,토요일,406,하차,하남풍산,2564,5386,2021-12-31
6,1,5,8,19,22,22,9,17,26,22,31,31,31,12,15.0,6.0,3.0,0.0,,2021-07-11,일요일,286,하차,하남풍산,2564,5946,2021-12-31
21,0,31,43,37,45,34,40,33,22,53,34,33,42,23,23.0,7.0,5.0,3.0,,2021-07-12,월요일,529,하차,하남풍산,2564,6506,2021-12-31
19,3,27,38,45,36,30,38,46,24,45,51,45,39,25,23.0,10.0,3.0,3.0,,2021-07-13,화요일,550,하차,하남풍산,2564,7066,2021-12-31
18,3,33,34,51,46,31,31,41,29,40,38,32,50,23,15.0,9.0,8.0,5.0,,2021-07-14,수요일,537,하차,하남풍산,2564,7626,2021-12-31
18,5,28,32,45,55,33,38,25,20,44,43,48,43,20,14.0,8.0,2.0,2.0,,2021-07-15,목요일,523,하차,하남풍산,2564,8186,2021-12-31
20,1,37,44,54,37,36,40,40,17,47,43,48,37,22,15.0,12.0,5.0,2.0,,2021-07-16,금요일,557,하차,하남풍산,2564,8746,2021-12-31
21,1,18,9,17,38,29,41,23,37,25,22,37,26,15,16.0,12.0,6.0,0.0,,2021-07-17,토요일,393,하차,하남풍산,2564,9306,2021-12-31
