06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
27,10,33,38,20,23,28,21,21,31,38,42,33,22,13,9.0,9.0,5.0,2.0,,2021-07-01,목요일,425,하차,학여울,336,174,2021-12-31
25,6,28,32,23,36,19,16,20,33,29,23,33,25,16,20.0,7.0,11.0,2.0,,2021-07-02,금요일,404,하차,학여울,336,734,2021-12-31
12,8,10,9,18,20,55,18,17,15,22,31,22,15,10,10.0,6.0,1.0,0.0,,2021-07-03,토요일,299,하차,학여울,336,1294,2021-12-31
7,3,4,9,5,23,15,15,9,11,14,19,13,9,4,3.0,13.0,3.0,2.0,,2021-07-04,일요일,181,하차,학여울,336,1854,2021-12-31
30,11,23,29,21,35,19,16,24,33,31,36,30,28,15,11.0,10.0,7.0,4.0,,2021-07-05,월요일,413,하차,학여울,336,2414,2021-12-31
23,8,28,33,19,39,27,19,32,21,32,29,30,28,15,8.0,9.0,4.0,1.0,,2021-07-06,화요일,405,하차,학여울,336,2974,2021-12-31
25,9,29,26,23,24,18,22,21,24,32,37,31,29,25,12.0,8.0,7.0,0.0,,2021-07-07,수요일,402,하차,학여울,336,3534,2021-12-31
26,8,28,32,21,35,41,25,32,36,31,23,23,30,20,13.0,8.0,4.0,2.0,,2021-07-08,목요일,438,하차,학여울,336,4094,2021-12-31
24,11,25,29,24,21,29,25,23,19,29,19,37,24,17,10.0,8.0,8.0,0.0,,2021-07-09,금요일,382,하차,학여울,336,4654,2021-12-31
9,3,13,8,13,24,26,17,14,16,18,22,20,21,10,4.0,8.0,4.0,1.0,,2021-07-10,토요일,251,하차,학여울,336,5214,2021-12-31
12,7,4,4,12,17,7,10,10,8,3,10,11,11,3,6.0,2.0,1.0,0.0,,2021-07-11,일요일,138,하차,학여울,336,5774,2021-12-31
23,9,24,33,13,24,22,12,21,15,19,32,22,26,12,7.0,4.0,3.0,1.0,,2021-07-12,월요일,322,하차,학여울,336,6334,2021-12-31
25,10,28,27,16,23,11,16,18,18,24,26,27,20,24,8.0,8.0,2.0,1.0,,2021-07-13,화요일,332,하차,학여울,336,6894,2021-12-31
26,10,25,27,16,18,15,16,17,17,27,11,17,24,21,14.0,9.0,2.0,0.0,,2021-07-14,수요일,312,하차,학여울,336,7454,2021-12-31
26,11,26,30,10,23,12,11,14,16,24,22,23,25,13,5.0,6.0,3.0,0.0,,2021-07-15,목요일,300,하차,학여울,336,8014,2021-12-31
24,7,28,23,19,27,21,24,16,19,21,18,17,31,22,9.0,11.0,3.0,0.0,,2021-07-16,금요일,340,하차,학여울,336,8574,2021-12-31
13,8,8,11,12,13,16,9,10,5,11,12,19,16,17,4.0,7.0,0.0,1.0,,2021-07-17,토요일,192,하차,학여울,336,9134,2021-12-31
5,2,8,5,7,16,7,8,8,5,8,9,7,9,9,3.0,11.0,3.0,0.0,,2021-07-18,일요일,130,하차,학여울,336,9694,2021-12-31
30,9,27,32,20,21,18,15,19,13,24,29,20,19,18,12.0,3.0,1.0,1.0,,2021-07-19,월요일,331,하차,학여울,336,10254,2021-12-31
24,9,27,37,14,23,13,15,14,32,25,24,22,18,19,9.0,10.0,2.0,1.0,,2021-07-20,화요일,338,하차,학여울,336,10814,2021-12-31
28,10,23,30,19,22,21,19,11,18,19,25,23,26,21,10.0,5.0,7.0,1.0,,2021-07-21,수요일,338,하차,학여울,336,11374,2021-12-31
24,7,22,30,22,21,17,12,16,8,19,21,19,19,18,9.0,7.0,3.0,3.0,,2021-07-22,목요일,297,하차,학여울,336,11934,2021-12-31
27,10,25,29,21,17,20,22,16,11,17,29,21,25,19,9.0,3.0,4.0,2.0,,2021-07-23,금요일,327,하차,학여울,336,12494,2021-12-31
9,6,15,10,18,11,8,6,11,6,19,14,10,19,11,18.0,5.0,1.0,0.0,,2021-07-24,토요일,197,하차,학여울,336,13054,2021-12-31
7,5,4,5,7,19,9,5,2,2,6,7,10,10,7,5.0,10.0,0.0,1.0,,2021-07-25,일요일,121,하차,학여울,336,13614,2021-12-31
22,4,27,30,15,13,26,17,14,15,24,26,19,22,17,11.0,4.0,3.0,1.0,,2021-07-26,월요일,310,하차,학여울,336,14174,2021-12-31
31,9,23,28,14,18,18,16,13,17,22,20,21,30,18,6.0,8.0,2.0,1.0,,2021-07-27,화요일,315,하차,학여울,336,14734,2021-12-31
25,7,25,30,10,24,12,16,9,19,14,18,29,22,19,7.0,3.0,3.0,1.0,,2021-07-28,수요일,293,하차,학여울,336,15294,2021-12-31
24,9,22,30,13,20,12,17,19,14,20,24,24,16,18,9.0,6.0,3.0,1.0,,2021-07-29,목요일,301,하차,학여울,336,15854,2021-12-31
21,8,24,26,24,16,32,17,8,13,30,21,23,26,15,11.0,5.0,3.0,4.0,,2021-07-30,금요일,327,하차,학여울,336,16414,2021-12-31
13,6,14,11,5,13,7,19,10,8,21,11,13,15,10,13.0,4.0,2.0,0.0,,2021-07-31,토요일,195,하차,학여울,336,16974,2021-12-31
7,4,9,5,10,12,6,11,6,6,11,13,12,5,11,6.0,3.0,1.0,0.0,,2021-08-01,일요일,138,하차,학여울,336,17534,2021-12-31
28,11,25,29,17,23,20,12,20,15,11,24,27,24,21,7.0,3.0,2.0,1.0,,2021-08-02,월요일,320,하차,학여울,336,18094,2021-12-31
25,5,26,28,15,14,20,17,19,16,19,23,27,22,19,9.0,2.0,2.0,0.0,,2021-08-03,화요일,308,하차,학여울,336,18654,2021-12-31
27,8,18,23,12,14,15,18,14,21,23,16,22,35,15,10.0,6.0,2.0,1.0,,2021-08-04,수요일,300,하차,학여울,336,19214,2021-12-31
18,8,28,27,16,22,13,15,17,19,12,33,22,21,22,5.0,2.0,2.0,1.0,,2021-08-05,목요일,303,하차,학여울,336,19774,2021-12-31
26,9,27,32,19,15,19,21,14,17,14,16,32,31,21,6.0,4.0,2.0,1.0,,2021-08-06,금요일,326,하차,학여울,336,20334,2021-12-31
9,4,10,12,8,6,15,12,14,9,14,16,12,18,9,12.0,13.0,2.0,0.0,,2021-08-07,토요일,195,하차,학여울,336,20894,2021-12-31
6,9,8,7,7,17,10,6,5,12,17,10,10,20,5,7.0,4.0,,0.0,,2021-08-08,일요일,160,하차,학여울,336,21454,2021-12-31
23,4,24,31,18,24,14,13,20,19,21,26,18,30,19,10.0,6.0,1.0,1.0,,2021-08-09,월요일,322,하차,학여울,336,22014,2021-12-31
17,9,23,35,16,26,18,21,15,15,32,22,26,20,20,15.0,8.0,3.0,1.0,,2021-08-10,화요일,342,하차,학여울,336,22574,2021-12-31
20,6,26,26,14,16,12,15,19,21,21,24,30,23,24,10.0,6.0,3.0,1.0,,2021-08-11,수요일,317,하차,학여울,336,23134,2021-12-31
23,11,22,26,16,24,22,17,14,21,14,10,28,21,15,9.0,8.0,3.0,1.0,,2021-08-12,목요일,305,하차,학여울,336,23694,2021-12-31
22,5,19,34,24,14,24,15,18,23,24,26,22,23,15,8.0,6.0,2.0,1.0,,2021-08-13,금요일,325,하차,학여울,336,24254,2021-12-31
15,7,8,12,14,11,18,13,12,15,12,17,30,16,8,10.0,9.0,3.0,0.0,,2021-08-14,토요일,230,하차,학여울,336,24814,2021-12-31
10,3,6,6,10,13,12,14,6,6,10,13,9,15,8,5.0,7.0,1.0,0.0,,2021-08-15,일요일,154,하차,학여울,336,25374,2021-12-31
12,7,11,12,17,17,16,22,12,15,8,10,12,24,17,6.0,3.0,2.0,4.0,,2021-08-16,월요일,227,하차,학여울,336,25934,2021-12-31
25,6,28,32,20,21,17,14,19,18,22,25,34,21,22,6.0,6.0,1.0,1.0,,2021-08-17,화요일,338,하차,학여울,336,26494,2021-12-31
28,10,22,25,16,13,14,18,18,30,24,32,24,34,12,10.0,11.0,1.0,1.0,,2021-08-18,수요일,343,하차,학여울,336,27054,2021-12-31
20,6,30,34,19,19,20,27,22,29,28,30,25,22,20,8.0,6.0,2.0,1.0,,2021-08-19,목요일,368,하차,학여울,336,27614,2021-12-31
24,6,21,28,29,20,26,12,26,20,13,30,23,25,26,10.0,4.0,5.0,1.0,,2021-08-20,금요일,349,하차,학여울,336,28174,2021-12-31
7,5,10,12,9,4,12,10,5,13,14,18,13,15,8,6.0,5.0,2.0,0.0,,2021-08-21,토요일,168,하차,학여울,336,28734,2021-12-31
7,5,11,6,11,24,5,9,9,13,5,10,18,14,8,9.0,6.0,0.0,3.0,,2021-08-22,일요일,173,하차,학여울,336,29294,2021-12-31
26,4,23,29,22,30,20,13,18,23,22,26,22,29,17,7.0,7.0,3.0,0.0,,2021-08-23,월요일,341,하차,학여울,336,29854,2021-12-31
25,11,26,31,8,20,15,22,28,19,17,22,32,23,18,8.0,10.0,1.0,0.0,,2021-08-24,화요일,336,하차,학여울,336,30414,2021-12-31
25,8,23,29,17,20,26,15,26,32,32,28,28,29,20,13.0,12.0,3.0,0.0,,2021-08-25,수요일,386,하차,학여울,336,30974,2021-12-31
25,7,29,30,27,29,20,14,22,20,22,30,31,33,17,13.0,5.0,3.0,0.0,,2021-08-26,목요일,377,하차,학여울,336,31534,2021-12-31
24,5,24,22,28,22,25,14,23,19,18,37,24,21,18,6.0,8.0,3.0,0.0,,2021-08-27,금요일,341,하차,학여울,336,32094,2021-12-31
12,7,9,13,17,15,17,17,9,21,18,15,19,14,14,5.0,7.0,5.0,0.0,,2021-08-28,토요일,234,하차,학여울,336,32654,2021-12-31
10,3,7,6,7,25,10,12,13,10,14,16,11,9,13,9.0,5.0,2.0,0.0,,2021-08-29,일요일,182,하차,학여울,336,33214,2021-12-31
28,9,25,38,21,32,19,17,19,18,35,28,16,28,15,8.0,9.0,3.0,0.0,,2021-08-30,월요일,368,하차,학여울,336,33774,2021-12-31
19,6,27,33,18,19,17,18,21,15,21,29,25,24,14,10.0,7.0,6.0,1.0,,2021-08-31,화요일,330,하차,학여울,336,34334,2021-12-31
19,9,32,27,16,22,19,13,17,34,27,25,33,36,16,14.0,4.0,3.0,0.0,,2021-09-01,수요일,366,하차,학여울,336,34894,2021-12-31
20,3,32,33,20,26,15,13,26,13,24,37,30,34,26,11.0,8.0,3.0,1.0,,2021-09-02,목요일,375,하차,학여울,336,35454,2021-12-31
18,6,28,27,31,25,17,17,30,31,26,28,22,31,22,13.0,11.0,5.0,0.0,,2021-09-03,금요일,388,하차,학여울,336,36014,2021-12-31
13,3,15,18,11,26,35,15,7,30,14,22,16,15,16,11.0,6.0,3.0,1.0,,2021-09-04,토요일,277,하차,학여울,336,36574,2021-12-31
9,5,10,7,13,27,12,8,9,10,18,19,14,14,12,6.0,8.0,1.0,2.0,,2021-09-05,일요일,204,하차,학여울,336,37134,2021-12-31
21,6,29,30,22,29,32,13,27,24,30,31,32,31,25,5.0,6.0,3.0,0.0,,2021-09-06,월요일,396,하차,학여울,336,37694,2021-12-31
26,8,28,33,33,18,12,16,25,30,28,19,28,19,18,10.0,6.0,3.0,3.0,,2021-09-07,화요일,363,하차,학여울,336,38254,2021-12-31
21,6,28,32,12,24,20,17,20,30,14,33,30,34,15,15.0,6.0,6.0,1.0,,2021-09-08,수요일,364,하차,학여울,336,38814,2021-12-31
24,10,21,31,29,50,34,30,21,36,31,35,42,33,23,16.0,9.0,1.0,2.0,,2021-09-09,목요일,478,하차,학여울,336,39374,2021-12-31
24,6,30,29,29,30,27,31,27,26,32,26,29,29,16,18.0,14.0,6.0,2.0,,2021-09-10,금요일,431,하차,학여울,336,39934,2021-12-31
12,6,12,12,20,29,20,26,16,30,25,25,27,16,20,17.0,8.0,3.0,1.0,,2021-09-11,토요일,325,하차,학여울,336,40494,2021-12-31
15,3,6,8,18,33,12,6,12,10,17,19,12,11,12,8.0,3.0,1.0,0.0,,2021-09-12,일요일,206,하차,학여울,336,41054,2021-12-31
29,10,29,28,17,29,16,16,22,19,14,35,25,25,17,12.0,5.0,3.0,1.0,,2021-09-13,월요일,352,하차,학여울,336,41614,2021-12-31
24,5,34,42,18,41,20,23,35,31,29,27,28,32,19,14.0,9.0,6.0,4.0,,2021-09-14,화요일,441,하차,학여울,336,42174,2021-12-31
27,7,25,34,18,25,21,14,22,21,32,28,30,38,24,8.0,8.0,11.0,1.0,,2021-09-15,수요일,394,하차,학여울,336,42734,2021-12-31
