06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
56,7,54,33,33,24,25,23,32,19,16,27,18,14,12,3.0,4.0,1.0,2.0,,2021-07-01,목요일,403,하차,한강진,2632,392,2021-12-31
49,9,55,47,38,26,23,21,20,20,22,17,17,19,9,2.0,4.0,3.0,0.0,,2021-07-02,금요일,401,하차,한강진,2632,952,2021-12-31
27,6,25,21,21,30,32,24,24,14,14,9,6,5,1,1.0,0.0,2.0,1.0,,2021-07-03,토요일,263,하차,한강진,2632,1512,2021-12-31
16,7,10,5,10,13,14,5,11,10,15,19,6,3,2,1.0,2.0,1.0,2.0,,2021-07-04,일요일,152,하차,한강진,2632,2072,2021-12-31
42,9,47,42,34,28,28,20,20,22,17,19,17,12,2,4.0,3.0,1.0,1.0,,2021-07-05,월요일,368,하차,한강진,2632,2632,2021-12-31
51,10,58,36,47,35,38,17,31,35,21,20,10,13,10,3.0,2.0,2.0,1.0,,2021-07-06,화요일,440,하차,한강진,2632,3192,2021-12-31
49,10,58,41,34,29,21,21,30,18,24,18,19,14,4,8.0,5.0,4.0,1.0,,2021-07-07,수요일,408,하차,한강진,2632,3752,2021-12-31
53,8,52,37,42,28,27,23,20,25,14,14,15,14,9,5.0,4.0,2.0,4.0,,2021-07-08,목요일,396,하차,한강진,2632,4312,2021-12-31
53,9,43,32,32,22,16,18,17,21,20,15,13,11,7,6.0,3.0,5.0,1.0,,2021-07-09,금요일,344,하차,한강진,2632,4872,2021-12-31
34,7,21,13,13,7,9,14,21,17,12,9,12,13,8,2.0,1.0,0.0,2.0,,2021-07-10,토요일,215,하차,한강진,2632,5432,2021-12-31
25,2,10,5,10,15,10,9,17,11,8,9,7,6,2,3.0,1.0,1.0,1.0,,2021-07-11,일요일,152,하차,한강진,2632,5992,2021-12-31
58,8,45,40,25,21,15,18,15,19,14,11,18,8,5,4.0,4.0,0.0,0.0,,2021-07-12,월요일,328,하차,한강진,2632,6552,2021-12-31
57,10,45,28,27,34,23,20,23,27,17,18,16,13,4,1.0,4.0,0.0,2.0,,2021-07-13,화요일,369,하차,한강진,2632,7112,2021-12-31
56,12,38,32,24,20,24,26,20,27,15,14,14,16,9,1.0,3.0,1.0,2.0,,2021-07-14,수요일,354,하차,한강진,2632,7672,2021-12-31
58,11,51,27,29,16,10,15,17,21,11,16,9,15,8,2.0,3.0,1.0,1.0,,2021-07-15,목요일,321,하차,한강진,2632,8232,2021-12-31
64,10,41,32,21,22,22,17,15,12,23,14,21,12,4,4.0,3.0,2.0,3.0,,2021-07-16,금요일,342,하차,한강진,2632,8792,2021-12-31
42,6,18,15,21,16,16,15,11,6,10,10,7,7,5,6.0,3.0,1.0,1.0,,2021-07-17,토요일,216,하차,한강진,2632,9352,2021-12-31
22,6,13,3,11,18,7,8,16,10,10,10,3,5,8,5.0,4.0,2.0,1.0,,2021-07-18,일요일,162,하차,한강진,2632,9912,2021-12-31
59,5,46,34,32,17,16,24,17,23,28,18,15,13,2,4.0,1.0,2.0,0.0,,2021-07-19,월요일,356,하차,한강진,2632,10472,2021-12-31
58,11,48,39,23,24,26,15,23,21,19,14,14,11,7,2.0,3.0,1.0,2.0,,2021-07-20,화요일,361,하차,한강진,2632,11032,2021-12-31
63,6,40,32,30,19,22,23,14,16,13,12,16,11,7,0.0,3.0,1.0,1.0,,2021-07-21,수요일,329,하차,한강진,2632,11592,2021-12-31
54,10,51,33,22,22,23,17,15,15,15,11,8,9,4,3.0,4.0,1.0,2.0,,2021-07-22,목요일,319,하차,한강진,2632,12152,2021-12-31
57,10,45,28,26,20,20,15,12,14,14,15,14,10,5,4.0,2.0,2.0,3.0,,2021-07-23,금요일,316,하차,한강진,2632,12712,2021-12-31
35,8,23,20,18,20,10,9,10,14,6,9,6,13,6,2.0,4.0,0.0,1.0,,2021-07-24,토요일,214,하차,한강진,2632,13272,2021-12-31
25,4,8,6,9,18,7,9,9,3,6,4,4,11,6,4.0,4.0,1.0,1.0,,2021-07-25,일요일,139,하차,한강진,2632,13832,2021-12-31
56,4,52,31,22,26,21,12,12,18,14,13,9,12,3,4.0,4.0,0.0,2.0,,2021-07-26,월요일,315,하차,한강진,2632,14392,2021-12-31
55,10,48,35,32,17,17,15,24,22,19,14,16,12,7,2.0,4.0,2.0,1.0,,2021-07-27,화요일,352,하차,한강진,2632,14952,2021-12-31
50,9,44,31,25,23,13,20,18,16,14,18,19,9,5,3.0,3.0,3.0,3.0,,2021-07-28,수요일,326,하차,한강진,2632,15512,2021-12-31
50,10,53,32,31,15,21,12,16,21,15,18,13,5,4,4.0,4.0,4.0,2.0,,2021-07-29,목요일,330,하차,한강진,2632,16072,2021-12-31
58,13,42,27,26,10,20,17,17,13,15,13,11,4,9,5.0,1.0,5.0,1.0,,2021-07-30,금요일,307,하차,한강진,2632,16632,2021-12-31
35,4,23,17,16,16,15,14,11,17,9,7,10,11,11,3.0,1.0,1.0,1.0,,2021-07-31,토요일,222,하차,한강진,2632,17192,2021-12-31
19,7,18,5,11,9,8,7,10,7,8,7,7,3,8,6.0,1.0,1.0,3.0,,2021-08-01,일요일,145,하차,한강진,2632,17752,2021-12-31
51,5,46,32,16,12,13,19,22,13,25,10,16,8,8,2.0,3.0,2.0,1.0,,2021-08-02,월요일,304,하차,한강진,2632,18312,2021-12-31
51,13,48,31,29,17,15,24,16,19,14,17,8,9,10,4.0,3.0,2.0,0.0,,2021-08-03,화요일,330,하차,한강진,2632,18872,2021-12-31
