06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
47,12,54,43,45,57,62,70,65,105,111,142,117,110,67,48.0,38.0,26.0,10.0,,2021-07-01,목요일,1229,하차,행당,2540,298,2021-12-31
39,20,50,39,39,67,72,83,88,85,128,114,122,102,73,52.0,47.0,32.0,10.0,,2021-07-02,금요일,1262,하차,행당,2540,858,2021-12-31
34,15,37,36,39,61,55,69,62,64,90,89,89,68,37,33.0,26.0,14.0,9.0,,2021-07-03,토요일,927,하차,행당,2540,1418,2021-12-31
26,19,17,27,20,63,24,45,54,57,42,50,51,45,27,17.0,24.0,10.0,10.0,,2021-07-04,일요일,628,하차,행당,2540,1978,2021-12-31
48,13,47,44,44,88,83,84,94,63,119,117,126,120,65,53.0,32.0,18.0,7.0,,2021-07-05,월요일,1265,하차,행당,2540,2538,2021-12-31
39,22,48,45,51,64,86,78,74,81,111,123,115,104,91,55.0,38.0,26.0,7.0,,2021-07-06,화요일,1258,하차,행당,2540,3098,2021-12-31
50,11,55,44,67,69,81,61,94,77,117,127,127,103,76,47.0,43.0,23.0,6.0,,2021-07-07,수요일,1278,하차,행당,2540,3658,2021-12-31
39,20,59,37,35,54,63,71,60,73,111,132,108,91,60,42.0,42.0,25.0,6.0,,2021-07-08,목요일,1128,하차,행당,2540,4218,2021-12-31
41,9,55,37,32,54,96,61,76,74,99,123,117,81,82,49.0,34.0,29.0,8.0,,2021-07-09,금요일,1157,하차,행당,2540,4778,2021-12-31
27,24,27,35,38,48,58,69,49,52,75,71,79,71,44,23.0,31.0,20.0,6.0,,2021-07-10,토요일,847,하차,행당,2540,5338,2021-12-31
33,6,13,19,30,47,21,34,37,45,46,55,55,44,37,28.0,19.0,9.0,5.0,,2021-07-11,일요일,583,하차,행당,2540,5898,2021-12-31
49,24,43,38,51,60,81,70,66,75,71,102,110,109,67,36.0,26.0,15.0,5.0,,2021-07-12,월요일,1098,하차,행당,2540,6458,2021-12-31
45,10,52,39,47,52,69,61,63,67,83,106,112,92,53,39.0,27.0,16.0,2.0,,2021-07-13,화요일,1035,하차,행당,2540,7018,2021-12-31
45,19,53,36,36,54,64,67,50,64,102,109,110,99,69,44.0,20.0,21.0,5.0,,2021-07-14,수요일,1067,하차,행당,2540,7578,2021-12-31
52,8,40,43,37,50,69,51,44,68,95,113,105,103,60,47.0,24.0,14.0,2.0,,2021-07-15,목요일,1025,하차,행당,2540,8138,2021-12-31
43,21,51,36,40,54,83,66,67,67,88,96,96,96,55,37.0,26.0,23.0,9.0,,2021-07-16,금요일,1054,하차,행당,2540,8698,2021-12-31
29,14,32,35,33,42,53,65,37,48,52,63,85,66,40,25.0,25.0,19.0,4.0,,2021-07-17,토요일,767,하차,행당,2540,9258,2021-12-31
22,17,13,21,15,21,24,28,26,35,40,35,55,64,36,19.0,25.0,10.0,5.0,,2021-07-18,일요일,511,하차,행당,2540,9818,2021-12-31
40,13,54,38,45,67,63,77,64,68,121,107,100,99,47,40.0,20.0,19.0,7.0,,2021-07-19,월요일,1089,하차,행당,2540,10378,2021-12-31
46,18,49,42,47,60,86,56,57,67,101,106,115,95,68,44.0,29.0,21.0,4.0,,2021-07-20,화요일,1111,하차,행당,2540,10938,2021-12-31
45,15,47,40,44,55,70,56,45,65,89,96,104,107,76,43.0,30.0,21.0,6.0,,2021-07-21,수요일,1054,하차,행당,2540,11498,2021-12-31
39,18,39,42,39,50,80,48,47,49,87,89,119,110,73,37.0,25.0,15.0,5.0,,2021-07-22,목요일,1011,하차,행당,2540,12058,2021-12-31
42,16,44,35,48,53,56,70,56,53,88,95,98,77,79,45.0,26.0,16.0,4.0,,2021-07-23,금요일,1001,하차,행당,2540,12618,2021-12-31
30,20,33,33,37,30,35,51,45,40,52,54,79,68,30,36.0,23.0,17.0,2.0,,2021-07-24,토요일,715,하차,행당,2540,13178,2021-12-31
26,10,16,13,19,23,19,21,23,30,41,33,50,47,42,30.0,20.0,13.0,4.0,,2021-07-25,일요일,480,하차,행당,2540,13738,2021-12-31
40,22,52,41,61,50,62,69,55,70,94,96,113,111,73,39.0,21.0,20.0,7.0,,2021-07-26,월요일,1096,하차,행당,2540,14298,2021-12-31
47,14,44,50,51,50,63,67,47,59,101,86,115,121,65,49.0,27.0,23.0,3.0,,2021-07-27,화요일,1082,하차,행당,2540,14858,2021-12-31
43,18,56,47,60,61,51,70,58,56,94,106,100,102,57,53.0,21.0,17.0,11.0,,2021-07-28,수요일,1081,하차,행당,2540,15418,2021-12-31
39,13,45,36,41,48,58,63,46,57,82,97,89,110,58,43.0,23.0,15.0,7.0,,2021-07-29,목요일,970,하차,행당,2540,15978,2021-12-31
43,20,43,43,42,53,49,61,68,50,91,127,118,88,71,43.0,28.0,16.0,5.0,,2021-07-30,금요일,1059,하차,행당,2540,16538,2021-12-31
34,12,26,32,27,38,51,43,46,51,46,65,85,71,46,33.0,23.0,18.0,5.0,,2021-07-31,토요일,752,하차,행당,2540,17098,2021-12-31
23,18,13,19,19,23,21,47,26,29,44,37,43,53,40,25.0,21.0,8.0,2.0,,2021-08-01,일요일,511,하차,행당,2540,17658,2021-12-31
37,10,54,44,36,41,54,59,57,60,87,99,99,96,59,41.0,26.0,13.0,11.0,,2021-08-02,월요일,983,하차,행당,2540,18218,2021-12-31
40,20,46,42,46,42,61,55,62,54,82,98,117,98,46,42.0,28.0,15.0,7.0,,2021-08-03,화요일,1001,하차,행당,2540,18778,2021-12-31
46,13,46,38,37,40,68,56,64,66,82,88,114,93,66,39.0,22.0,19.0,8.0,,2021-08-04,수요일,1005,하차,행당,2540,19338,2021-12-31
43,18,37,50,43,32,65,66,60,69,82,99,102,119,67,41.0,26.0,18.0,10.0,,2021-08-05,목요일,1047,하차,행당,2540,19898,2021-12-31
35,14,43,39,33,40,58,60,60,55,102,114,108,105,73,37.0,28.0,20.0,7.0,,2021-08-06,금요일,1031,하차,행당,2540,20458,2021-12-31
31,20,34,35,32,40,50,55,42,38,55,75,78,75,46,37.0,25.0,15.0,2.0,,2021-08-07,토요일,785,하차,행당,2540,21018,2021-12-31
24,11,14,12,19,31,36,42,51,33,51,57,62,38,31,24.0,23.0,6.0,1.0,,2021-08-08,일요일,566,하차,행당,2540,21578,2021-12-31
36,22,55,38,56,66,61,64,66,84,87,99,113,107,60,27.0,32.0,20.0,7.0,,2021-08-09,월요일,1100,하차,행당,2540,22138,2021-12-31
44,13,46,42,37,60,80,54,60,67,84,97,118,113,67,45.0,29.0,15.0,6.0,,2021-08-10,화요일,1077,하차,행당,2540,22698,2021-12-31
34,21,51,39,41,56,63,55,65,80,101,96,120,101,60,42.0,31.0,20.0,3.0,,2021-08-11,수요일,1079,하차,행당,2540,23258,2021-12-31
39,10,51,40,27,50,78,62,60,77,93,113,111,111,62,37.0,22.0,10.0,7.0,,2021-08-12,목요일,1060,하차,행당,2540,23818,2021-12-31
33,19,44,39,52,51,69,73,50,77,96,95,95,85,81,38.0,29.0,22.0,6.0,,2021-08-13,금요일,1054,하차,행당,2540,24378,2021-12-31
29,12,31,44,34,40,40,59,61,62,69,70,79,60,39,42.0,34.0,16.0,4.0,,2021-08-14,토요일,825,하차,행당,2540,24938,2021-12-31
25,19,12,29,24,29,26,44,41,32,38,70,57,65,38,36.0,15.0,14.0,3.0,,2021-08-15,일요일,617,하차,행당,2540,25498,2021-12-31
24,10,32,29,36,36,57,49,35,57,73,96,94,67,47,36.0,33.0,11.0,5.0,,2021-08-16,월요일,827,하차,행당,2540,26058,2021-12-31
41,19,46,40,45,62,65,79,59,78,107,105,110,123,54,36.0,17.0,14.0,7.0,,2021-08-17,화요일,1107,하차,행당,2540,26618,2021-12-31
45,8,54,39,49,41,70,72,70,81,100,98,115,91,67,51.0,27.0,20.0,7.0,,2021-08-18,수요일,1105,하차,행당,2540,27178,2021-12-31
39,22,47,41,34,62,65,65,53,85,90,134,134,101,73,38.0,30.0,18.0,4.0,,2021-08-19,목요일,1135,하차,행당,2540,27738,2021-12-31
45,12,46,42,38,52,66,73,72,80,106,112,124,107,64,42.0,38.0,18.0,9.0,,2021-08-20,금요일,1146,하차,행당,2540,28298,2021-12-31
35,21,29,36,23,40,39,56,48,31,55,71,80,58,33,29.0,28.0,19.0,2.0,,2021-08-21,토요일,733,하차,행당,2540,28858,2021-12-31
27,10,17,21,23,37,33,53,52,47,54,63,69,68,48,27.0,14.0,10.0,2.0,,2021-08-22,일요일,675,하차,행당,2540,29418,2021-12-31
38,20,45,38,47,73,76,90,84,74,85,107,107,88,66,36.0,25.0,16.0,5.0,,2021-08-23,월요일,1120,하차,행당,2540,29978,2021-12-31
39,13,51,39,47,39,61,65,62,69,98,93,103,119,67,33.0,24.0,15.0,4.0,,2021-08-24,화요일,1041,하차,행당,2540,30538,2021-12-31
37,23,58,38,52,52,68,104,85,83,103,117,92,99,74,55.0,26.0,16.0,4.0,,2021-08-25,수요일,1186,하차,행당,2540,31098,2021-12-31
39,13,61,35,43,44,70,65,67,76,116,128,121,95,87,49.0,34.0,11.0,11.0,,2021-08-26,목요일,1165,하차,행당,2540,31658,2021-12-31
32,23,50,37,34,54,54,82,61,89,97,111,105,87,67,39.0,39.0,18.0,6.0,,2021-08-27,금요일,1085,하차,행당,2540,32218,2021-12-31
35,9,32,37,30,45,52,74,58,55,78,80,91,75,60,31.0,29.0,12.0,4.0,,2021-08-28,토요일,887,하차,행당,2540,32778,2021-12-31
28,16,10,20,26,44,30,45,45,46,63,46,67,55,46,29.0,19.0,20.0,1.0,,2021-08-29,일요일,656,하차,행당,2540,33338,2021-12-31
42,10,48,49,48,78,69,89,74,83,106,115,115,112,79,39.0,34.0,18.0,7.0,,2021-08-30,월요일,1215,하차,행당,2540,33898,2021-12-31
37,22,45,44,42,46,73,70,70,83,103,115,104,68,54,45.0,40.0,17.0,3.0,,2021-08-31,화요일,1081,하차,행당,2540,34458,2021-12-31
40,12,58,41,58,63,65,67,59,65,116,130,123,110,74,47.0,37.0,13.0,9.0,,2021-09-01,수요일,1187,하차,행당,2540,35018,2021-12-31
40,19,48,43,37,50,56,71,62,97,112,139,128,100,71,57.0,31.0,10.0,3.0,,2021-09-02,목요일,1174,하차,행당,2540,35578,2021-12-31
38,13,44,39,44,51,70,74,83,76,113,110,131,101,74,53.0,40.0,22.0,6.0,,2021-09-03,금요일,1182,하차,행당,2540,36138,2021-12-31
31,16,33,43,41,45,53,76,44,60,88,69,93,72,66,32.0,25.0,18.0,7.0,,2021-09-04,토요일,912,하차,행당,2540,36698,2021-12-31
26,13,12,27,33,44,34,43,49,41,60,61,60,59,45,37.0,21.0,18.0,1.0,,2021-09-05,일요일,684,하차,행당,2540,37258,2021-12-31
38,18,51,45,41,61,78,73,82,92,145,134,117,113,63,44.0,36.0,12.0,7.0,,2021-09-06,월요일,1250,하차,행당,2540,37818,2021-12-31
41,13,49,37,38,55,66,82,75,74,91,120,128,82,62,47.0,27.0,19.0,6.0,,2021-09-07,화요일,1112,하차,행당,2540,38378,2021-12-31
47,21,58,52,58,58,67,65,77,104,116,115,111,111,70,54.0,44.0,20.0,6.0,,2021-09-08,수요일,1254,하차,행당,2540,38938,2021-12-31
48,9,51,41,37,56,76,96,74,89,105,126,134,97,73,60.0,35.0,18.0,10.0,,2021-09-09,목요일,1235,하차,행당,2540,39498,2021-12-31
39,22,49,39,50,51,81,78,84,73,116,128,119,117,68,50.0,39.0,21.0,11.0,,2021-09-10,금요일,1235,하차,행당,2540,40058,2021-12-31
36,10,32,42,35,52,62,63,63,52,68,84,105,79,48,43.0,27.0,18.0,9.0,,2021-09-11,토요일,928,하차,행당,2540,40618,2021-12-31
27,17,14,39,39,48,42,57,42,55,72,58,76,61,55,38.0,25.0,11.0,3.0,,2021-09-12,일요일,779,하차,행당,2540,41178,2021-12-31
45,13,53,32,50,68,81,94,74,88,110,125,115,116,63,55.0,42.0,16.0,9.0,,2021-09-13,월요일,1249,하차,행당,2540,41738,2021-12-31
47,21,42,39,51,70,67,76,83,110,107,118,121,108,74,56.0,35.0,21.0,10.0,,2021-09-14,화요일,1256,하차,행당,2540,42298,2021-12-31
50,11,56,40,59,65,73,81,100,69,125,124,142,112,62,65.0,43.0,23.0,7.0,,2021-09-15,수요일,1307,하차,행당,2540,42858,2021-12-31
46,16,46,35,40,62,87,84,81,88,118,122,138,90,72,57.0,34.0,23.0,6.0,,2021-09-16,목요일,1245,하차,행당,2540,43418,2021-12-31
45,11,48,42,53,74,65,81,88,87,108,112,124,102,63,48.0,25.0,26.0,4.0,,2021-09-17,금요일,1206,하차,행당,2540,43978,2021-12-31
32,21,36,46,30,50,53,61,70,55,68,78,79,75,50,26.0,17.0,10.0,6.0,,2021-09-18,토요일,863,하차,행당,2540,44538,2021-12-31
26,9,20,23,30,64,33,60,52,54,50,65,55,60,37,21.0,7.0,13.0,3.0,,2021-09-19,일요일,682,하차,행당,2540,45098,2021-12-31
21,17,11,16,14,32,43,36,29,45,49,49,42,33,28,12.0,14.0,9.0,1.0,,2021-09-20,월요일,501,하차,행당,2540,45658,2021-12-31
22,6,12,12,10,16,16,28,31,26,35,33,29,39,24,25.0,14.0,3.0,3.0,,2021-09-21,화요일,384,하차,행당,2540,46218,2021-12-31
12,18,12,10,18,27,34,45,48,32,50,62,64,53,38,26.0,31.0,16.0,8.0,,2021-09-22,수요일,604,하차,행당,2540,46778,2021-12-31
44,10,52,41,26,44,74,81,79,81,110,121,114,107,61,50.0,36.0,27.0,7.0,,2021-09-23,목요일,1165,하차,행당,2540,47338,2021-12-31
43,22,52,44,37,63,76,55,85,70,107,120,144,100,74,40.0,36.0,22.0,5.0,,2021-09-24,금요일,1195,하차,행당,2540,47898,2021-12-31
27,10,35,37,36,46,45,71,63,62,92,93,92,68,52,42.0,22.0,19.0,5.0,,2021-09-25,토요일,917,하차,행당,2540,48458,2021-12-31
30,19,13,29,29,57,28,50,61,53,48,68,78,57,41,23.0,24.0,10.0,2.0,,2021-09-26,일요일,720,하차,행당,2540,49018,2021-12-31
39,13,52,37,37,64,83,74,103,95,123,139,133,95,71,33.0,23.0,23.0,5.0,,2021-09-27,월요일,1242,하차,행당,2540,49578,2021-12-31
39,25,48,47,50,52,75,77,85,92,113,120,144,97,64,50.0,25.0,19.0,5.0,,2021-09-28,화요일,1227,하차,행당,2540,50138,2021-12-31
45,10,47,38,63,54,60,62,71,64,109,110,129,111,53,57.0,30.0,17.0,8.0,,2021-09-29,수요일,1138,하차,행당,2540,50698,2021-12-31
37,24,46,47,43,46,75,82,79,73,142,127,135,106,74,56.0,39.0,24.0,10.0,,2021-09-30,목요일,1265,하차,행당,2540,51258,2021-12-31
42,13,48,46,42,52,84,65,71,91,125,115,135,111,62,44.0,26.0,25.0,7.0,,2021-10-01,금요일,1204,하차,행당,2540,51818,2021-12-31
30,19,28,49,38,44,50,61,61,57,103,96,94,79,66,43.0,33.0,24.0,6.0,,2021-10-02,토요일,981,하차,행당,2540,52378,2021-12-31
28,10,20,30,28,51,49,34,50,70,61,68,67,64,52,24.0,26.0,14.0,4.0,,2021-10-03,일요일,750,하차,행당,2540,52938,2021-12-31
21,22,15,26,25,47,49,60,45,64,65,93,125,92,50,26.0,25.0,18.0,5.0,,2021-10-04,월요일,873,하차,행당,2540,53498,2021-12-31
54,12,46,42,43,60,85,87,73,66,118,121,141,109,61,46.0,36.0,13.0,6.0,,2021-10-05,화요일,1219,하차,행당,2540,54058,2021-12-31
44,21,44,47,57,58,74,68,71,90,100,126,109,106,62,49.0,33.0,20.0,5.0,,2021-10-06,수요일,1184,하차,행당,2540,54618,2021-12-31
55,9,48,41,28,42,64,78,53,102,110,133,138,113,61,47.0,27.0,26.0,7.0,,2021-10-07,목요일,1182,하차,행당,2540,55178,2021-12-31
46,22,48,36,50,56,79,82,71,82,108,119,110,107,79,58.0,34.0,28.0,3.0,,2021-10-08,금요일,1218,하차,행당,2540,55738,2021-12-31
28,10,16,21,27,41,41,46,65,55,99,86,98,73,69,26.0,34.0,23.0,8.0,,2021-10-09,토요일,866,하차,행당,2540,56298,2021-12-31
26,19,13,31,33,59,53,57,63,54,66,57,47,50,36,25.0,17.0,16.0,4.0,,2021-10-10,일요일,726,하차,행당,2540,56858,2021-12-31
20,10,15,27,29,42,56,59,59,60,80,105,122,80,58,39.0,26.0,17.0,5.0,,2021-10-11,월요일,909,하차,행당,2540,57418,2021-12-31
44,22,48,51,42,72,84,77,73,75,115,138,160,108,69,46.0,29.0,26.0,5.0,,2021-10-12,화요일,1284,하차,행당,2540,57978,2021-12-31
