월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,53,28,78,97,122,144,148,133,125,138,157,140,119,80,52,44,32,18,4,,44
2021-07,휴일,36,17,46,56,72,89,90,88,82,84,81,72,63,52,40,31,24,12,2,,18
2021-08,평일,51,24,74,94,115,145,161,142,132,147,165,142,124,80,50,41,28,14,4,,44
2021-08,휴일,32,15,43,52,67,83,90,88,86,81,86,80,64,50,36,28,22,10,2,,18
2021-09,평일,46,23,64,87,116,147,161,140,141,154,168,145,118,78,49,38,32,15,4,,44
2021-09,휴일,35,16,44,65,82,107,115,110,104,108,107,93,74,57,42,27,23,11,2,,16
2021-10,평일,50,27,67,96,125,151,170,150,150,167,179,155,121,78,48,42,31,19,5,,42
2021-10,휴일,31,17,40,56,78,101,105,104,98,100,103,87,75,52,38,31,26,15,3,,20
2021-11,평일,50,28,74,98,135,160,179,155,157,187,200,169,132,78,55,46,30,24,7,,44
2021-11,휴일,34,18,40,62,83,107,117,113,109,121,124,106,80,50,42,37,26,17,5,,16
2021-12,평일,44,25,65,84,112,145,156,148,152,176,180,158,122,72,48,44,34,17,5,,46
2021-12,휴일,27,16,28,45,56,77,86,92,92,95,89,85,68,45,32,28,26,15,4,,16
2022-01,평일,43,26,60,85,113,144,173,164,166,196,204,172,132,78,46,45,41,14,4,0,42
2022-01,휴일,25,16,29,48,68,86,104,109,112,123,122,102,77,56,36,32,28,11,2,0,20
2022-02,평일,38,24,57,78,96,126,137,128,136,156,162,143,107,76,42,40,32,13,3,0,40
2022-02,휴일,27,16,31,44,67,82,93,94,97,102,99,90,70,52,40,28,28,12,2,0,16
2022-03,평일,42,28,67,85,107,141,160,148,144,168,171,151,116,76,48,37,31,21,5,0,46
2022-03,휴일,27,17,31,49,63,82,88,94,93,105,96,86,70,51,40,27,24,17,4,0,16
2022-04,평일,50,30,77,98,135,164,183,157,165,184,191,164,133,93,58,53,37,26,8,0,42
2022-04,휴일,37,20,44,71,88,114,120,113,110,122,123,103,83,62,52,39,31,21,6,0,18
2022-05,평일,55,35,85,109,144,180,195,162,161,185,195,171,141,97,64,60,44,29,9,0,44
2022-05,휴일,39,22,44,69,95,111,117,105,111,121,119,104,84,61,53,46,36,21,7,0,18
2022-06,평일,55,34,84,105,138,173,190,161,159,183,189,171,137,92,62,59,45,28,10,1,44
2022-06,휴일,42,23,54,74,101,126,130,113,116,126,124,107,86,69,56,55,34,24,8,0,16
2022-07,평일,57,33,89,109,142,173,189,157,148,171,180,164,138,96,59,59,43,26,9,2,42
2022-07,휴일,41,22,50,72,95,112,116,107,106,111,104,97,79,60,50,46,35,21,6,0,20
2022-08,평일,49,32,84,100,132,167,181,154,151,167,179,170,137,90,57,49,37,24,9,2,46
2022-08,휴일,36,21,53,70,91,113,122,116,104,106,103,98,83,61,53,43,31,21,7,0,16
2022-09,평일,55,34,85,106,142,188,209,173,170,191,202,184,149,94,63,54,40,28,10,1,44
2022-09,휴일,35,22,43,68,92,109,120,112,108,114,115,102,87,64,47,40,30,21,6,0,16
2022-10,평일,55,36,90,110,151,185,201,181,180,199,214,188,145,97,63,52,40,28,9,2,42
2022-10,휴일,41,23,55,79,101,127,136,136,133,142,133,121,91,73,55,46,31,22,8,0,20
2022-11,평일,53,32,90,109,148,184,198,184,181,203,226,191,146,93,64,58,39,27,10,2,44
2022-11,휴일,40,22,50,71,100,123,132,133,125,148,145,121,98,70,57,46,28,22,8,0,16
2022-12,평일,49,27,79,92,122,167,191,174,181,219,238,206,156,96,72,68,50,33,12,2,44
2022-12,휴일,31,19,41,58,82,108,123,132,128,153,168,141,103,71,59,51,39,24,9,0,18
2023-01,평일,41,26,71,86,116,160,192,179,180,206,231,195,146,99,65,51,40,27,11,2,44
2023-01,휴일,25,17,35,48,68,91,104,107,108,116,124,101,81,54,45,34,25,18,7,0,18
2023-02,평일,48,90,83,93,134,182,199,180,181,212,233,206,159,108,67,60,46,31,12,3,40
2023-02,휴일,30,104,44,61,93,117,126,131,134,136,153,122,99,81,58,47,32,24,8,0,16
2023-03,평일,52,185,85,98,146,193,201,185,195,214,233,199,161,108,73,62,45,30,11,4,46
2023-03,휴일,35,207,50,73,100,124,142,132,142,149,145,127,99,82,69,50,35,25,7,1,16
2023-04,평일,58,183,88,101,152,195,198,181,187,204,226,197,160,112,72,62,48,35,13,3,40
2023-04,휴일,38,210,51,73,107,133,133,124,131,142,139,119,96,81,64,54,34,25,9,1,20
2023-05,평일,61,37,88,103,152,197,207,179,179,193,220,185,154,107,71,62,45,31,13,3,46
2023-05,휴일,39,25,52,69,101,116,123,112,110,120,122,118,88,68,59,49,33,28,7,0,16
2023-06,평일,61,37,90,107,154,204,204,178,174,197,221,191,157,105,71,64,50,31,14,3,44
