월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,125,55,101,99,158,233,278,276,312,533,655,481,420,305,195,139,115,67,9,,22
2021-07,휴일,105,47,76,71,88,113,126,125,121,131,149,177,142,113,78,72,61,42,5,,9
2021-08,평일,123,51,98,102,144,222,264,262,298,505,634,433,392,283,180,126,102,54,6,,22
2021-08,휴일,104,37,73,63,76,102,117,116,110,126,139,155,146,107,69,68,50,35,4,,9
2021-09,평일,122,53,96,96,148,220,276,270,309,508,628,448,396,264,183,131,104,59,9,,22
2021-09,휴일,108,49,76,70,102,128,143,138,144,141,158,198,156,120,84,76,66,36,6,,8
2021-10,평일,131,52,100,110,169,247,297,302,344,551,708,490,423,289,192,139,113,71,10,,21
2021-10,휴일,111,47,79,69,106,134,159,157,153,169,185,224,180,136,91,81,64,46,9,,10
2021-11,평일,133,52,108,109,168,257,321,321,368,597,767,521,448,286,199,159,130,75,20,,22
2021-11,휴일,115,45,83,80,123,144,165,176,166,180,224,215,172,128,99,95,74,53,11,,8
2021-12,평일,127,49,103,98,152,237,303,304,357,581,727,507,431,273,190,144,124,63,11,,23
2021-12,휴일,102,44,77,57,103,118,130,136,142,145,176,175,130,103,95,74,69,32,6,,8
2022-01,평일,124,51,92,100,144,217,288,305,343,567,690,508,432,264,192,146,137,54,10,0,21
2022-01,휴일,105,39,73,63,96,116,129,142,137,148,160,164,118,98,91,72,72,28,4,0,10
2022-02,평일,127,51,87,101,141,218,269,286,319,527,635,475,408,255,188,136,115,63,8,0,20
2022-02,휴일,104,43,73,70,107,121,143,148,153,164,181,196,145,114,93,77,68,43,5,0,8
2022-03,평일,128,49,91,105,159,236,265,277,321,540,649,479,392,259,199,138,104,73,20,0,23
2022-03,휴일,108,39,76,76,105,122,145,151,144,148,151,151,128,95,77,66,54,40,15,0,8
2022-04,평일,138,52,98,117,183,270,319,327,371,625,732,534,447,282,213,167,133,77,21,0,21
2022-04,휴일,120,49,78,88,124,156,176,183,171,177,184,170,142,106,91,84,72,45,14,0,9
2022-05,평일,142,59,99,127,196,294,363,340,391,641,763,578,482,296,221,191,148,90,24,0,22
2022-05,휴일,130,49,85,86,125,147,173,174,165,180,192,185,149,110,106,98,82,48,14,0,9
2022-06,평일,140,63,95,117,169,257,314,314,354,601,701,534,428,264,202,175,140,83,24,4,22
2022-06,휴일,128,58,81,88,134,150,178,171,170,183,193,198,159,107,99,91,82,52,14,0,8
2022-07,평일,137,71,100,117,160,264,331,318,352,618,707,512,440,268,197,162,130,84,26,5,21
2022-07,휴일,127,60,79,81,110,141,162,162,153,161,162,180,132,92,86,92,76,49,16,0,10
2022-08,평일,140,63,95,113,151,240,286,301,324,547,639,469,381,255,187,145,113,74,27,4,23
2022-08,휴일,123,52,78,86,106,140,157,160,154,163,166,170,135,96,84,83,72,46,16,0,8
2022-09,평일,139,63,95,119,155,262,313,324,355,581,676,492,408,257,196,159,121,74,24,5,22
2022-09,휴일,126,49,74,74,111,123,143,162,144,171,155,167,137,103,86,83,68,43,12,0,8
2022-10,평일,146,63,101,122,167,278,336,335,378,607,710,525,419,261,194,155,122,81,25,4,21
2022-10,휴일,139,54,84,92,126,162,182,188,171,203,200,200,148,116,100,98,78,49,16,0,10
2022-11,평일,138,66,99,120,164,271,332,339,392,661,757,532,435,257,196,164,128,76,23,4,22
2022-11,휴일,130,48,80,80,112,150,168,177,177,200,196,192,150,111,95,88,77,44,14,0,8
2022-12,평일,138,64,91,106,145,243,339,343,391,662,758,557,441,261,197,183,158,90,26,4,22
2022-12,휴일,122,54,75,74,110,139,185,186,175,199,219,201,158,108,100,111,84,43,14,1,9
2023-01,평일,134,58,85,98,138,227,293,305,349,571,672,498,397,241,187,153,119,77,22,3,22
2023-01,휴일,117,50,68,67,89,110,131,141,132,145,155,137,116,86,75,71,67,40,10,0,9
2023-02,평일,139,84,89,112,156,260,346,355,416,667,781,592,456,289,225,180,144,86,23,4,20
2023-02,휴일,123,73,76,74,112,150,178,185,184,202,220,193,162,118,107,99,92,44,13,0,8
2023-03,평일,136,114,90,121,165,275,346,348,392,661,725,573,447,269,217,184,141,85,25,5,23
2023-03,휴일,124,99,79,82,132,148,194,190,178,213,218,215,164,119,111,102,92,52,16,1,8
2023-04,평일,141,104,92,127,166,274,341,353,386,659,722,558,443,281,211,175,146,84,27,5,20
2023-04,휴일,131,91,80,84,126,159,183,179,180,201,203,183,149,115,104,98,86,47,13,1,10
2023-05,평일,138,59,89,124,171,287,336,334,375,615,672,527,432,261,197,172,134,81,25,3,23
2023-05,휴일,123,50,77,80,123,140,154,155,164,179,176,180,144,108,100,93,83,42,16,0,8
2023-06,평일,134,55,93,125,174,270,337,332,376,626,706,524,432,264,205,184,144,80,27,4,22
2023-06,휴일,126,49,81,89,129,159,180,175,171,210,201,200,144,108,90,107,81,51,15,0,8
2023-07,평일,129,56,89,123,175,266,331,331,382,623,692,533,412,275,208,168,141,79,24,4,21
2023-07,휴일,117,51,79,78,118,148,166,158,158,180,186,176,150,103,91,90,72,48,13,0,10
2023-08,평일,129,58,86,109,167,245,294,301,345,570,624,494,387,257,195,153,129,71,21,4,23
2023-08,휴일,115,54,75,76,123,147,157,168,156,169,176,176,137,102,90,93,70,47,12,0,8
2023-09,평일,130,58,91,120,165,268,323,336,376,592,667,525,392,262,207,169,134,76,24,3,21
2023-09,휴일,119,50,78,82,119,152,183,187,184,202,213,202,154,114,101,102,78,48,12,0,9
2023-10,평일,136,57,92,117,167,283,339,337,379,583,689,539,403,273,206,166,139,73,22,3,22
2023-10,휴일,123,43,82,83,138,152,180,189,179,204,212,207,163,119,103,99,77,52,14,0,9
2023-11,평일,140,58,90,122,181,285,352,373,420,660,754,582,442,277,214,179,152,80,23,3,22
2023-11,휴일,121,44,82,74,127,143,171,177,186,221,225,213,161,118,110,92,78,45,13,0,8
2023-12,평일,132,58,95,112,166,276,364,364,410,643,744,598,453,281,227,213,168,92,29,5,21
2023-12,휴일,110,45,79,71,119,154,190,193,193,231,244,251,169,124,111,108,87,58,15,2,10
