월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,46,29,51,65,118,123,124,115,131,144,206,175,159,110,67,46,45,22,3,,22
2021-07,휴일,26,19,33,41,52,69,69,71,87,93,89,77,72,57,42,32,28,15,4,,9
2021-08,평일,41,31,48,65,114,122,120,113,126,158,206,170,143,114,62,42,40,16,4,,22
2021-08,휴일,25,21,29,38,56,70,68,75,89,80,87,82,79,62,39,31,21,12,4,,9
2021-09,평일,40,33,49,62,122,130,136,116,143,182,230,201,168,115,70,52,45,23,4,,22
2021-09,휴일,30,24,32,48,76,80,87,98,110,129,128,130,111,70,52,45,28,16,4,,8
2021-10,평일,39,36,51,70,133,147,154,142,158,212,278,246,201,125,71,56,56,27,4,,21
2021-10,휴일,28,23,29,46,70,90,91,116,137,172,192,176,138,95,62,40,38,21,4,,10
2021-11,평일,40,37,53,70,129,144,171,154,189,250,319,278,205,130,77,72,71,35,8,,22
2021-11,휴일,27,25,31,46,73,94,108,114,144,201,222,237,171,120,68,52,49,20,7,,8
2021-12,평일,36,31,49,63,113,131,139,136,161,209,252,214,173,115,68,57,59,26,5,,23
2021-12,휴일,24,18,22,41,56,68,83,91,120,130,127,130,102,63,52,38,33,13,5,,8
2022-01,평일,35,27,47,57,108,122,140,128,151,193,239,201,152,116,68,62,60,16,3,0,21
2022-01,휴일,21,19,21,36,61,77,83,104,128,139,132,130,94,75,46,38,31,9,3,0,10
2022-02,평일,31,26,42,60,114,120,125,128,143,177,228,191,145,111,66,54,52,20,3,0,20
2022-02,휴일,20,18,25,37,66,73,88,104,126,150,128,130,105,72,43,36,33,12,3,0,8
2022-03,평일,37,30,44,59,116,119,139,133,158,192,238,216,166,114,75,55,47,27,8,0,23
2022-03,휴일,23,20,26,38,62,72,80,100,113,129,136,139,98,72,50,42,27,14,6,0,8
2022-04,평일,44,30,52,74,132,148,163,158,195,246,318,283,217,141,90,79,74,35,8,0,21
2022-04,휴일,28,20,35,51,84,95,111,141,165,217,244,228,240,136,87,67,60,22,6,0,9
2022-05,평일,48,33,64,102,178,240,286,329,421,553,598,536,400,276,189,140,96,45,11,0,22
2022-05,휴일,36,22,41,76,121,174,203,268,331,416,456,407,336,221,141,108,85,30,6,0,9
2022-06,평일,46,36,59,93,174,214,263,322,413,485,516,440,349,239,144,112,76,40,10,0,22
2022-06,휴일,32,27,40,80,133,155,223,301,404,455,466,393,309,241,148,98,53,29,8,0,8
2022-07,평일,44,36,57,84,146,160,184,198,230,260,313,268,226,145,96,83,70,36,9,0,21
2022-07,휴일,34,25,34,54,95,110,147,191,237,252,256,210,182,127,94,65,44,25,7,0,10
2022-08,평일,39,37,52,76,129,145,159,172,199,245,302,260,223,155,89,76,60,33,10,1,23
2022-08,휴일,33,24,34,50,87,114,129,185,202,219,222,180,169,127,90,86,55,29,5,0,8
2022-09,평일,43,38,56,79,145,163,189,206,240,310,370,338,261,168,107,95,89,40,10,0,22
2022-09,휴일,30,24,34,54,96,112,135,194,256,324,341,308,247,154,110,85,69,23,7,0,8
2022-10,평일,43,38,55,81,155,180,206,227,295,400,511,438,307,180,115,98,88,36,12,1,21
2022-10,휴일,32,26,40,55,112,138,173,226,308,391,468,465,362,218,133,112,73,29,6,0,10
2022-11,평일,41,34,54,81,147,170,204,201,257,343,427,389,264,156,96,90,69,39,12,1,22
2022-11,휴일,32,25,35,57,102,129,142,194,260,358,368,358,262,134,105,76,46,28,7,0,8
2022-12,평일,41,32,50,71,117,152,175,171,203,275,325,286,218,144,104,106,87,47,12,1,22
2022-12,휴일,22,23,23,43,78,98,113,142,185,239,242,243,165,105,102,73,46,26,9,1,9
2023-01,평일,35,28,50,64,102,140,160,154,188,245,283,245,196,125,83,74,61,36,10,0,22
2023-01,휴일,23,22,23,42,69,90,97,118,144,175,196,183,129,86,60,45,31,21,4,0,9
2023-02,평일,40,60,55,70,128,160,190,182,225,289,353,309,252,154,99,87,72,42,11,0,20
2023-02,휴일,29,45,29,53,93,120,129,149,216,250,267,245,174,118,93,66,43,25,8,0,8
2023-03,평일,50,115,59,76,146,171,202,197,256,326,403,374,274,175,109,98,75,46,10,1,23
2023-03,휴일,31,86,35,59,111,128,141,178,226,317,340,301,234,166,117,74,44,24,8,0,8
2023-04,평일,52,108,66,78,157,172,205,205,252,331,393,355,271,169,109,111,95,40,13,1,20
2023-04,휴일,39,87,41,68,109,139,159,189,245,307,363,359,253,168,115,85,57,25,8,1,10
2023-05,평일,45,30,60,83,148,173,202,212,262,334,386,359,267,180,109,112,104,43,11,1,23
2023-05,휴일,33,23,38,64,115,120,141,192,243,280,303,266,218,146,105,98,75,25,6,0,8
2023-06,평일,46,34,61,83,141,164,196,191,234,298,350,312,261,171,102,105,90,42,12,1,22
2023-06,휴일,34,24,42,65,110,132,126,183,227,262,292,254,193,150,121,80,64,26,6,0,8
2023-07,평일,43,31,64,83,138,152,180,175,200,252,286,263,229,163,98,99,73,36,11,1,21
2023-07,휴일,29,22,35,59,84,110,114,131,161,188,186,170,140,113,83,61,42,16,5,0,10
2023-08,평일,43,33,57,77,128,141,167,160,174,215,277,248,217,149,92,84,65,31,9,1,23
2023-08,휴일,28,27,37,60,84,111,102,127,159,168,176,161,134,102,81,67,42,18,6,0,8
2023-09,평일,46,31,58,84,137,157,186,181,220,289,341,319,273,165,108,112,101,38,11,1,21
2023-09,휴일,33,26,39,59,107,116,131,174,215,272,262,252,210,146,123,97,88,23,7,0,9
