월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,33,25,56,76,103,107,88,69,77,81,92,71,54,38,23,19,13,6,1,,22
2021-07,휴일,23,19,29,39,55,55,44,44,39,38,38,28,21,17,18,13,6,4,1,,9
2021-08,평일,31,24,53,73,95,114,89,70,76,85,90,75,52,39,23,17,12,5,0,,22
2021-08,휴일,22,18,30,41,49,51,46,47,40,39,39,30,24,18,14,9,8,5,0,,9
2021-09,평일,28,24,52,73,98,108,92,72,84,87,94,71,52,44,25,19,14,6,1,,22
2021-09,휴일,22,18,33,46,59,63,52,55,47,45,45,33,29,23,17,14,8,5,0,,8
2021-10,평일,33,22,58,77,107,123,106,82,90,98,108,83,56,46,26,20,14,7,1,,21
2021-10,휴일,24,17,33,46,68,64,57,61,60,52,43,34,29,22,19,14,9,5,1,,10
2021-11,평일,34,22,65,78,114,124,109,80,90,99,117,85,64,45,28,23,16,7,1,,22
2021-11,휴일,23,16,38,48,70,68,60,56,60,59,50,41,26,24,22,14,10,5,1,,8
2021-12,평일,33,20,56,73,105,120,98,79,92,101,113,79,59,40,25,19,13,6,1,,23
2021-12,휴일,19,14,30,35,50,57,47,52,54,50,49,35,24,18,15,9,8,4,1,,8
2022-01,평일,28,19,51,81,107,115,99,77,90,102,101,83,58,40,29,20,12,6,0,0,21
2022-01,휴일,19,15,26,37,57,54,46,57,55,51,39,29,25,21,16,11,8,6,1,0,10
2022-02,평일,26,18,49,75,96,109,85,66,74,90,90,71,52,40,24,17,9,5,0,0,20
2022-02,휴일,20,15,30,38,55,54,47,55,49,48,35,35,24,18,14,7,6,4,0,0,8
2022-03,평일,32,20,57,72,99,108,87,64,80,89,88,73,54,38,23,16,12,5,1,0,23
2022-03,휴일,23,14,29,38,54,52,43,51,48,44,38,37,22,17,14,12,6,4,1,0,8
2022-04,평일,35,24,61,84,118,126,109,74,88,103,101,79,66,43,31,22,17,7,1,0,21
2022-04,휴일,27,19,36,51,66,73,61,65,62,51,48,37,31,24,24,18,11,6,2,0,9
2022-05,평일,37,29,67,94,130,135,116,84,96,106,104,82,67,46,31,27,21,8,2,0,22
2022-05,휴일,28,23,34,60,77,76,61,61,62,59,51,38,33,25,24,26,14,7,1,0,9
2022-06,평일,35,28,62,94,123,133,117,83,93,102,116,83,73,50,32,30,20,9,2,0,22
2022-06,휴일,28,23,42,69,77,81,64,60,69,59,53,50,38,28,24,31,15,5,2,0,8
2022-07,평일,39,28,65,94,123,139,118,84,96,103,114,86,78,56,35,34,20,9,2,0,21
2022-07,휴일,28,21,38,62,74,71,59,54,61,50,50,39,33,28,25,28,12,6,1,0,10
2022-08,평일,38,26,62,90,116,124,108,82,86,97,106,83,69,50,29,27,19,7,3,0,23
2022-08,휴일,30,21,37,63,70,77,56,58,58,48,47,40,29,29,24,22,11,6,2,0,8
2022-09,평일,38,31,62,95,120,129,114,85,95,106,111,85,71,58,35,23,17,9,3,0,22
2022-09,휴일,29,21,36,57,63,71,57,57,56,58,50,41,30,35,23,16,10,7,2,0,8
2022-10,평일,39,31,63,95,125,131,117,90,99,107,117,91,73,58,32,25,17,9,3,0,21
2022-10,휴일,31,24,43,68,78,83,70,65,70,67,60,47,39,38,24,17,10,6,2,0,10
2022-11,평일,42,30,64,98,123,138,118,95,98,109,124,96,78,62,34,27,18,9,1,0,22
2022-11,휴일,33,22,36,64,73,81,66,64,69,71,56,48,40,43,25,18,14,6,2,0,8
2022-12,평일,38,30,57,89,108,134,131,88,109,118,135,104,83,62,37,34,23,11,2,0,22
2022-12,휴일,25,19,31,51,66,73,70,64,65,69,70,52,35,38,24,24,17,7,1,0,9
2023-01,평일,34,30,56,86,108,121,116,81,96,107,129,83,71,55,32,27,17,8,3,0,22
2023-01,휴일,22,19,26,47,58,61,49,50,53,58,45,38,32,29,21,18,9,7,2,0,9
2023-02,평일,35,42,63,103,127,142,121,96,113,125,132,96,85,61,36,38,19,8,3,0,20
2023-02,휴일,27,31,29,68,79,82,72,68,74,70,67,48,42,32,26,30,11,6,2,0,8
2023-03,평일,38,61,71,101,130,142,121,93,117,114,124,99,82,59,39,37,19,9,3,1,23
2023-03,휴일,29,45,35,68,90,85,75,68,70,73,60,48,38,36,28,30,13,7,2,0,8
2023-04,평일,45,58,74,103,127,144,124,94,108,115,125,96,75,62,38,39,19,9,3,1,20
2023-04,휴일,32,47,37,69,92,84,64,67,71,64,59,47,38,28,24,29,12,6,2,0,10
2023-05,평일,40,34,68,96,129,142,123,95,109,116,124,87,77,60,41,36,23,7,3,0,23
2023-05,휴일,33,26,37,58,85,76,62,57,69,64,55,38,37,26,22,24,12,6,2,0,8
2023-06,평일,41,35,72,99,133,145,124,92,105,110,122,94,73,61,36,33,20,8,4,0,22
2023-06,휴일,32,26,38,75,83,87,62,73,76,65,62,49,37,30,30,38,15,5,3,0,8
2023-07,평일,42,33,69,97,130,139,117,93,100,109,125,92,76,64,40,33,19,10,2,0,21
2023-07,휴일,31,24,31,63,71,70,59,63,66,61,55,43,39,29,21,31,15,7,2,0,10
2023-08,평일,42,31,68,88,124,134,111,88,98,105,115,91,74,59,35,31,20,8,2,0,23
2023-08,휴일,31,24,37,67,81,70,60,65,63,58,48,42,34,28,20,32,15,7,1,0,8
2023-09,평일,44,33,62,91,124,141,121,88,104,114,122,88,76,57,33,31,20,9,2,0,21
2023-09,휴일,30,24,34,66,86,80,69,66,74,65,64,48,37,33,24,31,13,7,1,0,9
2023-10,평일,43,31,63,97,132,134,119,95,98,114,127,90,74,54,35,30,19,6,2,0,22
2023-10,휴일,30,23,37,76,84,87,68,69,73,64,68,50,47,27,22,31,16,4,2,0,9
2023-11,평일,42,32,70,101,129,143,126,99,108,115,123,93,75,54,37,34,19,8,2,0,22
2023-11,휴일,29,24,36,60,85,78,62,67,70,65,60,45,40,31,25,28,14,6,0,0,8
2023-12,평일,40,32,66,89,118,143,132,97,108,119,129,99,82,59,34,34,23,8,3,0,21
2023-12,휴일,25,20,30,50,78,77,72,67,74,70,79,53,46,36,34,28,17,10,2,0,10
