월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,37,29,46,86,140,175,205,218,219,261,327,316,263,195,136,94,55,32,5,,44
2021-07,휴일,29,20,24,42,66,85,117,130,142,157,187,194,175,148,123,89,50,33,5,,18
2021-08,평일,36,28,47,80,140,173,201,211,219,267,329,311,248,193,135,91,52,27,6,,44
2021-08,휴일,27,19,24,40,63,78,109,123,138,159,181,189,178,150,115,80,45,27,7,,18
2021-09,평일,34,29,47,80,144,178,214,229,236,284,347,319,252,192,144,103,60,33,9,,44
2021-09,휴일,30,20,29,46,77,97,137,147,164,193,212,224,193,175,132,110,58,35,10,,16
2021-10,평일,35,30,51,91,162,202,247,253,268,335,404,376,299,218,162,123,70,41,9,,42
2021-10,휴일,28,21,26,49,86,106,151,160,192,222,246,267,228,183,156,134,76,43,13,,20
2021-11,평일,37,30,48,89,167,208,253,258,281,350,439,392,302,212,159,116,70,39,9,,44
2021-11,휴일,29,21,27,48,91,110,158,171,201,235,259,270,242,192,182,149,92,48,16,,16
2021-12,평일,34,29,46,76,145,181,230,240,259,317,389,362,272,195,139,102,59,30,6,,46
2021-12,휴일,26,21,22,34,64,89,123,140,162,195,215,227,193,160,126,94,52,28,5,,16
2022-01,평일,33,28,43,75,142,181,230,236,252,321,380,359,274,188,131,100,60,25,5,0,42
2022-01,휴일,26,21,17,33,64,85,121,143,169,195,220,211,185,147,111,90,50,24,5,0,20
2022-02,평일,33,28,47,76,134,164,202,214,230,280,345,325,251,177,128,94,60,29,4,0,40
2022-02,휴일,27,20,22,37,72,87,126,141,159,185,210,212,198,151,114,84,52,27,4,0,16
2022-03,평일,37,29,47,77,143,177,215,224,237,288,338,318,256,182,126,93,57,31,5,0,46
2022-03,휴일,28,21,25,37,72,88,127,144,154,190,210,207,194,147,122,88,53,27,5,0,16
2022-04,평일,40,31,52,88,170,215,264,270,287,347,418,399,314,231,172,125,80,42,7,0,42
2022-04,휴일,30,25,32,54,95,118,169,174,204,236,278,280,249,224,192,150,83,51,12,0,18
2022-05,평일,44,33,57,102,185,238,292,297,327,396,480,455,352,263,200,158,93,47,11,0,44
2022-05,휴일,31,25,36,61,108,137,183,196,234,276,319,310,285,265,217,186,103,56,18,0,18
2022-06,평일,42,32,58,95,184,232,295,291,327,401,485,453,363,263,202,155,100,48,13,0,44
2022-06,휴일,33,24,39,63,114,145,195,199,244,291,334,328,308,260,214,184,103,52,16,0,16
