월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,78,64,85,115,134,118,109,110,97,79,81,69,52,39,26,15,11,6,2,,22
2021-07,휴일,38,46,41,57,80,81,70,77,60,56,51,36,32,22,17,12,10,5,2,,9
2021-08,평일,71,63,82,106,128,119,118,109,97,85,80,65,53,36,23,13,10,4,2,,22
2021-08,휴일,35,42,41,55,77,75,73,76,69,54,51,45,36,24,20,12,10,5,2,,9
2021-09,평일,68,56,83,105,126,117,112,110,106,93,89,74,56,41,22,15,12,5,2,,22
2021-09,휴일,34,42,46,66,87,94,93,88,81,72,63,54,39,29,21,12,12,6,1,,8
2021-10,평일,67,60,93,112,144,125,129,127,114,98,94,78,61,42,22,13,13,5,2,,21
2021-10,휴일,33,43,47,63,91,105,97,90,89,71,66,54,37,28,18,11,10,6,2,,10
2021-11,평일,76,57,94,111,141,130,122,115,117,101,96,76,58,37,20,14,13,7,2,,22
2021-11,휴일,36,42,45,60,94,107,101,97,90,75,74,53,40,23,20,11,11,5,2,,8
2021-12,평일,68,59,87,93,113,116,111,114,108,99,99,72,51,31,18,13,13,5,2,,23
2021-12,휴일,29,42,40,48,77,76,76,88,73,64,58,47,30,16,12,13,10,4,2,,8
2022-01,평일,66,57,84,90,114,108,108,116,109,99,89,72,46,30,19,12,12,5,1,0,21
2022-01,휴일,30,40,36,47,74,84,85,89,86,72,61,49,34,22,14,11,9,3,1,0,10
2022-02,평일,61,56,81,89,108,101,107,107,106,89,88,64,47,33,23,13,11,6,1,0,20
2022-02,휴일,32,42,36,47,81,90,79,91,85,65,61,47,34,22,18,12,9,4,0,0,8
2022-03,평일,65,59,90,91,117,102,111,114,105,88,89,70,52,33,26,11,12,4,2,0,23
2022-03,휴일,28,43,38,47,78,77,80,82,74,69,60,44,34,24,15,11,12,2,0,0,8
2022-04,평일,73,67,100,112,141,119,122,120,116,103,100,85,58,36,25,16,12,4,2,0,21
2022-04,휴일,32,45,47,66,108,115,97,107,99,82,71,58,46,27,21,18,11,4,2,0,9
2022-05,평일,78,69,108,123,151,127,130,128,116,101,104,82,62,42,27,20,14,5,3,0,22
2022-05,휴일,36,48,49,74,111,117,102,107,104,74,75,61,42,29,25,19,14,4,1,0,9
2022-06,평일,72,69,106,123,139,125,125,118,116,98,97,76,57,40,28,18,14,6,3,0,22
2022-06,휴일,44,52,59,76,115,118,107,96,99,81,71,52,39,32,26,21,13,7,1,0,8
2022-07,평일,84,73,109,124,148,128,131,124,116,95,98,81,64,44,31,16,15,6,3,0,21
2022-07,휴일,39,52,56,69,102,112,93,99,98,71,66,57,37,31,24,18,14,6,1,0,10
2022-08,평일,80,63,96,115,139,131,128,118,110,94,98,81,62,41,26,17,13,5,3,0,23
2022-08,휴일,39,46,54,69,103,117,95,99,92,72,74,59,43,33,24,16,11,6,1,0,8
2022-09,평일,80,67,100,122,148,140,137,123,120,105,104,87,66,44,27,18,16,5,3,0,22
2022-09,휴일,39,42,50,67,105,117,100,93,90,79,74,56,46,31,26,13,16,4,1,0,8
2022-10,평일,83,70,102,131,150,145,138,129,126,104,111,94,64,41,28,18,14,5,2,0,21
2022-10,휴일,46,50,51,83,130,131,124,113,113,94,84,60,47,28,20,18,9,4,1,0,10
2022-11,평일,84,70,104,128,143,141,131,128,128,110,108,89,64,38,24,15,12,5,3,0,22
2022-11,휴일,40,44,47,70,112,119,102,105,118,94,76,59,46,27,20,14,8,5,1,0,8
2022-12,평일,77,64,95,115,130,135,124,119,124,111,105,86,64,36,23,16,17,6,3,1,22
2022-12,휴일,34,42,39,61,97,109,115,102,108,89,85,60,41,27,26,18,13,4,2,0,9
2023-01,평일,66,59,83,112,127,124,117,115,113,102,104,78,59,34,23,15,16,5,3,1,22
2023-01,휴일,27,36,31,54,85,93,85,87,89,76,62,49,36,24,17,11,12,4,1,0,9
2023-02,평일,84,97,103,140,146,143,145,128,129,115,117,88,67,49,28,20,18,6,4,0,20
2023-02,휴일,34,63,42,75,113,128,110,122,116,106,77,61,52,31,23,15,15,5,1,0,8
2023-03,평일,86,154,113,142,149,142,161,164,130,119,131,117,69,48,31,19,20,8,4,0,23
2023-03,휴일,38,102,52,83,124,121,132,130,118,94,95,68,50,39,28,18,16,5,1,0,8
2023-04,평일,93,151,121,146,151,144,143,160,132,113,124,107,74,50,32,18,21,7,4,1,20
