월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,105,105,157,198,239,244,232,201,184,203,237,239,181,119,75,45,27,11,2,,22
2021-07,휴일,52,62,66,95,121,141,133,146,143,131,142,155,141,108,71,45,24,9,1,,9
2021-08,평일,96,98,140,185,227,244,237,209,189,211,235,226,164,111,68,39,23,8,1,,22
2021-08,휴일,54,56,61,85,121,143,143,154,156,143,165,175,135,105,71,49,25,8,1,,9
2021-09,평일,94,96,138,171,245,255,263,227,216,244,259,233,166,111,68,40,23,10,2,,22
2021-09,휴일,54,62,70,109,158,174,168,168,155,168,183,191,154,106,71,46,25,10,0,,8
2021-10,평일,104,105,150,193,271,295,281,247,246,266,297,280,191,113,65,40,23,10,2,,21
2021-10,휴일,54,59,70,106,166,186,180,183,178,198,223,212,176,116,74,45,30,10,2,,10
2021-11,평일,108,105,153,199,285,291,284,260,250,270,302,284,191,104,64,41,24,12,3,,22
2021-11,휴일,58,62,66,121,170,191,196,206,176,186,224,228,170,104,57,39,27,12,2,,8
2021-12,평일,102,98,139,169,260,274,259,264,234,276,279,246,160,93,55,40,24,11,2,,23
2021-12,휴일,44,52,46,84,139,155,137,166,159,157,168,151,108,58,44,30,22,7,1,,8
2022-01,평일,94,93,129,172,251,257,253,241,243,265,283,251,164,94,57,38,24,9,2,0,21
2022-01,휴일,45,47,54,81,141,163,162,184,160,172,180,171,119,77,48,39,22,7,1,0,10
2022-02,평일,94,86,125,161,232,240,232,217,223,253,258,231,155,95,56,36,25,9,2,0,20
2022-02,휴일,52,51,51,86,141,173,146,175,165,174,171,162,117,75,49,32,21,8,2,0,8
2022-03,평일,102,95,131,170,254,255,259,234,227,261,263,235,159,106,61,35,22,11,4,0,23
2022-03,휴일,47,51,57,83,148,159,143,163,162,158,166,158,118,74,56,37,20,9,4,0,8
2022-04,평일,118,110,162,198,307,305,288,269,257,276,296,265,196,118,75,48,27,13,4,0,21
2022-04,휴일,62,64,81,124,190,211,183,202,198,205,217,212,144,114,72,54,28,13,2,0,9
2022-05,평일,126,117,180,220,321,334,316,286,274,298,327,294,217,142,87,57,36,16,4,0,22
2022-05,휴일,73,70,89,150,219,241,215,233,240,231,235,232,168,112,83,62,35,15,2,0,9
2022-06,평일,127,110,176,218,322,313,300,268,272,284,295,274,195,129,83,57,34,18,4,0,22
2022-06,휴일,72,77,94,149,220,244,208,212,204,206,233,226,162,129,86,65,32,16,2,0,8
2022-07,평일,133,114,180,221,316,304,299,262,271,295,318,287,218,139,92,60,40,19,4,0,21
2022-07,휴일,72,65,92,138,193,194,181,203,202,204,220,237,185,139,91,64,39,14,3,0,10
2022-08,평일,113,107,158,201,280,288,281,256,255,281,296,269,195,134,83,52,33,13,3,0,23
2022-08,휴일,69,64,86,131,190,201,188,207,200,197,225,208,178,130,94,55,32,16,2,0,8
2022-09,평일,123,107,172,222,311,325,303,270,283,305,316,280,210,143,87,53,34,16,5,0,22
2022-09,휴일,66,56,84,126,186,210,186,198,222,211,218,208,158,110,81,48,29,13,2,0,8
2022-10,평일,122,113,181,229,313,332,321,302,300,330,354,306,218,144,87,49,31,16,4,1,21
2022-10,휴일,74,73,92,143,219,253,218,224,225,233,258,252,194,136,81,50,28,18,2,0,10
2022-11,평일,120,113,179,226,322,333,329,304,295,316,355,314,208,115,73,48,30,16,4,0,22
2022-11,휴일,72,64,82,129,210,223,213,210,223,219,235,233,163,102,61,47,28,15,3,0,8
2022-12,평일,113,105,151,208,293,325,320,288,284,316,351,305,195,112,68,52,30,17,5,1,22
2022-12,휴일,55,52,66,110,180,215,215,225,206,213,243,222,139,94,59,45,30,19,2,0,9
2023-01,평일,102,94,136,184,265,289,280,271,269,291,314,260,177,117,62,46,28,17,4,1,22
2023-01,휴일,45,52,53,97,160,181,164,182,193,174,183,165,114,85,52,39,24,13,1,0,9
2023-02,평일,111,114,167,231,324,336,348,307,301,328,350,303,212,137,74,56,35,18,5,1,20
2023-02,휴일,60,65,68,125,215,240,239,242,241,254,262,231,165,113,66,47,30,14,3,1,8
2023-03,평일,126,125,171,245,341,359,350,306,314,337,359,311,215,144,85,64,37,19,6,3,23
2023-03,휴일,68,76,77,145,219,263,236,240,230,250,272,238,179,132,82,54,32,18,2,1,8
2023-04,평일,139,128,183,250,350,346,346,307,307,333,368,313,218,148,87,65,39,23,5,3,20
2023-04,휴일,79,85,84,146,232,237,228,234,249,250,260,230,180,130,91,66,34,17,3,2,10
2023-05,평일,139,117,178,248,350,354,342,304,301,318,362,301,223,152,99,74,45,24,7,1,23
2023-05,휴일,83,76,86,141,229,245,230,247,281,270,245,224,160,123,85,62,36,18,4,0,8
