월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,59,49,63,70,72,67,63,55,55,62,59,57,45,34,16,14,9,6,2,,22
2021-07,휴일,32,30,31,36,52,53,45,41,41,35,33,29,32,23,18,8,8,5,2,,9
2021-08,평일,52,43,65,57,70,74,65,54,58,57,51,56,44,30,18,13,9,5,2,,22
2021-08,휴일,29,28,29,32,41,49,45,43,41,40,32,36,27,19,16,8,7,3,1,,9
2021-09,평일,49,40,62,57,73,72,63,54,58,67,59,57,46,34,19,13,9,6,2,,22
2021-09,휴일,34,27,32,42,57,61,53,51,53,37,36,43,31,22,14,10,7,5,2,,8
2021-10,평일,54,45,71,61,77,78,76,69,66,73,68,69,55,34,20,13,12,6,2,,21
2021-10,휴일,29,32,32,43,61,70,57,58,53,48,46,48,38,24,16,11,9,4,1,,10
2021-11,평일,55,45,70,64,78,76,73,69,66,72,74,68,58,36,20,13,9,8,3,,22
2021-11,휴일,30,29,30,44,58,64,59,56,54,51,52,45,38,25,18,13,7,5,2,,8
2021-12,평일,51,43,62,61,73,84,75,64,71,78,75,63,50,35,17,13,11,7,3,,23
2021-12,휴일,26,23,24,34,47,52,43,50,47,44,43,40,31,22,14,8,8,4,2,,8
