월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,16,2,15,19,30,41,55,55,63,80,87,94,98,69,32,27,24,12,1,,22
2021-07,휴일,7,1,7,11,19,25,43,47,53,64,67,82,74,57,38,26,23,9,2,,9
2021-08,평일,14,3,15,17,24,39,53,52,61,71,79,86,93,60,29,21,18,11,1,,22
2021-08,휴일,7,1,9,10,17,24,35,39,50,52,65,73,76,51,26,17,18,10,1,,9
2021-09,평일,13,3,15,18,26,37,52,50,55,63,76,72,74,49,25,21,16,13,2,,22
2021-09,휴일,6,2,10,12,18,26,42,46,47,57,59,62,51,49,30,15,19,8,2,,8
2021-10,평일,13,3,16,18,33,46,57,58,61,76,87,80,80,53,33,26,21,15,3,,21
2021-10,휴일,6,2,10,12,19,34,45,47,59,66,79,71,66,47,30,21,21,14,3,,10
2021-11,평일,15,4,17,19,33,46,57,53,71,77,85,84,85,51,30,29,27,30,4,,22
2021-11,휴일,8,1,10,13,22,31,44,48,54,67,74,72,70,43,31,23,20,19,5,,8
2021-12,평일,15,3,17,21,25,41,58,54,64,75,79,82,81,46,28,25,21,18,3,,23
2021-12,휴일,6,1,10,11,16,25,33,43,50,64,64,71,63,38,24,17,19,12,3,,8
2022-01,평일,12,2,21,22,25,39,52,51,65,77,84,84,79,52,27,25,16,12,3,0,21
2022-01,휴일,5,2,9,13,18,28,40,43,48,64,70,70,60,44,23,19,17,10,2,0,10
2022-02,평일,11,2,17,21,24,35,48,49,56,65,83,76,72,49,28,23,18,12,3,0,20
2022-02,휴일,5,2,10,13,18,23,36,44,48,61,63,64,58,42,22,18,16,11,1,0,8
2022-03,평일,9,1,18,18,25,39,56,53,61,70,80,75,76,51,27,28,21,15,2,0,23
2022-03,휴일,3,1,11,13,16,25,35,41,46,60,66,62,54,42,25,21,15,10,1,0,8
2022-04,평일,10,2,19,21,31,54,71,67,73,87,102,94,91,67,38,35,30,19,3,0,21
2022-04,휴일,5,1,10,15,22,36,54,51,60,75,88,77,71,56,40,27,23,16,4,0,9
2022-05,평일,11,3,20,25,34,52,72,76,79,96,101,101,91,66,46,38,30,27,3,0,22
2022-05,휴일,6,1,13,18,29,39,50,60,58,81,85,81,83,60,39,29,29,22,3,0,9
2022-06,평일,10,2,17,23,32,51,71,73,74,91,108,103,95,72,41,37,27,25,4,0,22
2022-06,휴일,6,1,12,16,27,38,51,55,62,84,103,97,80,66,46,37,25,21,3,0,8
2022-07,평일,14,2,18,19,32,48,74,69,77,101,126,124,128,92,49,38,25,17,3,0,21
2022-07,휴일,8,2,13,15,24,37,58,56,68,85,109,113,100,78,41,35,24,15,4,0,10
2022-08,평일,13,2,18,17,31,47,65,66,74,93,113,115,110,77,44,34,24,17,3,0,23
2022-08,휴일,7,2,14,17,22,33,54,57,59,84,99,106,100,69,46,30,23,16,3,0,8
2022-09,평일,14,2,19,19,32,50,68,70,74,94,107,98,97,70,42,34,24,19,3,0,22
2022-09,휴일,8,2,11,13,22,39,50,58,62,72,84,88,72,62,42,33,25,16,3,0,8
2022-10,평일,14,2,20,22,33,55,74,75,78,102,110,101,93,72,39,35,30,24,4,0,21
2022-10,휴일,10,1,12,16,29,42,59,64,66,87,100,94,83,64,37,36,28,25,4,0,10
2022-11,평일,18,2,17,22,30,48,70,69,80,96,105,100,91,62,34,35,25,27,5,0,22
2022-11,휴일,9,2,11,19,23,30,53,59,66,86,91,82,78,50,31,35,21,25,6,0,8
2022-12,평일,15,2,15,20,26,44,72,71,77,112,115,118,111,64,37,31,25,22,5,0,22
2022-12,휴일,9,2,10,14,21,32,50,60,77,103,105,107,84,58,34,27,23,19,5,0,9
2023-01,평일,11,4,14,18,29,44,68,63,73,102,107,101,96,60,36,30,24,15,4,1,22
2023-01,휴일,6,1,8,15,19,29,41,52,65,81,84,83,70,46,29,24,21,15,3,0,9
2023-02,평일,13,44,15,22,34,50,81,74,76,105,120,115,103,66,40,33,23,18,4,0,20
2023-02,휴일,9,31,10,22,26,36,62,62,65,90,102,90,87,58,39,30,24,17,4,0,8
2023-03,평일,14,111,16,23,41,60,89,84,84,108,126,108,104,74,49,40,31,32,4,0,23
2023-03,휴일,6,80,11,21,29,44,67,62,68,93,102,99,83,71,43,31,25,19,4,0,8
2023-04,평일,15,108,16,26,46,68,86,84,88,106,123,114,102,79,57,41,39,31,10,0,20
2023-04,휴일,9,83,14,20,32,48,63,69,71,101,101,96,88,68,58,38,32,25,7,0,10
2023-05,평일,14,7,17,27,42,62,83,78,85,106,112,112,100,71,50,38,31,22,9,0,23
2023-05,휴일,10,3,11,20,28,41,59,61,69,91,100,91,76,59,44,37,30,28,5,0,8
2023-06,평일,14,6,20,27,44,60,82,78,85,105,117,113,105,74,49,37,31,22,8,0,22
2023-06,휴일,11,3,12,19,30,45,66,69,72,101,108,111,87,71,50,32,26,20,5,0,8
2023-07,평일,14,7,25,29,48,66,81,85,96,119,143,149,138,91,62,39,29,18,6,0,21
