월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,83,107,91,100,108,100,98,96,83,80,101,95,79,72,50,30,17,9,3,,22
2021-07,휴일,43,68,52,63,76,79,68,73,64,52,52,58,47,38,37,26,14,7,2,,9
2021-08,평일,81,103,89,96,106,97,94,94,83,80,101,91,78,70,46,30,16,8,3,,22
2021-08,휴일,40,64,53,66,72,80,69,75,65,62,55,56,40,41,34,21,15,6,2,,9
2021-09,평일,79,97,93,88,101,98,103,98,90,90,111,95,80,75,46,28,16,9,3,,22
2021-09,휴일,48,74,60,68,92,98,82,88,77,65,66,62,53,47,37,23,15,7,2,,8
2021-10,평일,83,110,92,102,116,109,117,109,107,96,124,108,90,81,47,32,17,10,3,,21
2021-10,휴일,45,73,57,69,90,106,86,95,79,68,67,67,57,50,35,23,16,8,2,,10
2021-11,평일,81,106,96,105,108,104,116,102,106,98,126,110,96,77,48,28,17,11,4,,22
2021-11,휴일,46,68,56,68,93,102,86,102,95,73,72,67,60,44,33,23,15,8,2,,8
2021-12,평일,80,98,92,93,100,95,102,99,100,101,120,106,93,81,48,28,19,9,3,,23
2021-12,휴일,41,57,45,54,72,82,74,93,70,61,59,58,53,40,32,21,13,6,2,,8
2022-01,평일,75,96,91,90,98,100,102,101,96,104,117,105,97,77,49,31,21,9,3,0,21
2022-01,휴일,39,53,46,53,77,88,76,100,85,72,59,60,52,42,34,21,16,6,3,0,10
2022-02,평일,74,93,85,88,93,93,99,96,94,87,114,100,86,72,45,31,18,10,3,0,20
2022-02,휴일,44,62,52,58,71,89,86,96,85,63,60,56,51,40,34,22,15,8,4,0,8
2022-03,평일,81,94,86,92,98,99,104,95,101,94,107,101,88,67,47,28,17,11,3,0,23
2022-03,휴일,44,58,46,64,73,87,69,94,73,64,56,52,50,42,37,18,13,9,4,0,8
2022-04,평일,87,109,97,107,122,113,115,111,110,105,122,110,95,74,50,32,15,11,4,0,21
2022-04,휴일,54,71,61,77,112,121,96,113,96,73,65,66,57,50,45,26,15,10,3,0,9
2022-05,평일,92,116,100,111,126,118,117,116,113,104,121,118,101,78,54,36,20,13,4,0,22
2022-05,휴일,52,64,64,81,117,134,98,121,107,80,73,71,61,49,47,32,16,13,3,0,9
2022-06,평일,89,111,100,111,122,110,122,114,110,97,129,113,98,81,57,38,21,15,4,1,22
2022-06,휴일,60,70,71,81,114,128,106,107,108,82,77,66,69,49,49,38,21,13,4,0,8
2022-07,평일,95,116,109,111,122,118,119,110,105,98,121,119,108,85,59,38,21,15,4,1,21
2022-07,휴일,58,72,70,83,100,120,94,104,98,74,70,68,66,46,46,35,19,10,4,0,10
2022-08,평일,96,107,97,109,119,115,112,105,110,95,115,109,96,78,52,34,22,13,4,1,23
2022-08,휴일,62,74,64,79,98,123,89,112,95,75,75,67,63,48,43,30,19,10,5,0,8
2022-09,평일,98,113,105,109,118,123,123,115,113,99,134,119,103,85,59,37,21,14,5,1,22
2022-09,휴일,59,67,65,70,100,112,94,101,83,76,73,75,62,49,44,29,20,10,6,0,8
2022-10,평일,102,118,100,108,128,126,127,119,120,101,132,130,107,91,58,34,22,13,5,1,21
2022-10,휴일,68,83,68,85,120,134,110,109,103,80,73,75,73,55,45,30,17,9,4,0,10
2022-11,평일,103,121,99,110,121,124,121,122,116,99,133,134,109,88,57,36,21,13,4,1,22
2022-11,휴일,66,73,60,76,109,123,103,109,99,86,91,81,73,54,42,32,16,7,3,0,8
2022-12,평일,94,114,97,113,112,118,116,115,110,109,138,127,109,79,57,34,20,15,5,1,22
2022-12,휴일,56,69,55,71,95,114,103,111,99,94,86,91,69,41,44,28,16,12,5,1,9
2023-01,평일,83,106,90,105,111,114,111,113,110,105,127,116,100,76,54,31,19,16,4,1,22
2023-01,휴일,47,56,46,61,82,102,94,103,93,76,70,74,60,44,36,25,16,11,5,0,9
2023-02,평일,101,124,103,124,131,127,132,129,115,112,142,138,116,91,64,39,22,17,6,2,20
2023-02,휴일,60,85,58,76,107,127,128,137,115,93,93,87,79,60,46,31,20,10,6,0,8
2023-03,평일,96,150,108,121,138,130,132,133,123,109,144,132,118,93,61,42,24,18,5,1,23
2023-03,휴일,63,108,62,81,118,137,117,136,122,95,93,83,77,65,49,35,23,14,5,0,8
2023-04,평일,94,147,113,120,140,134,128,134,123,112,135,138,114,92,61,39,24,17,5,2,20
2023-04,휴일,60,108,69,86,123,135,117,130,118,90,90,85,66,60,47,34,23,14,4,0,10
2023-05,평일,85,102,106,113,133,136,125,129,121,105,135,135,108,88,53,43,26,15,4,1,23
2023-05,휴일,57,66,66,83,122,130,106,123,111,86,78,74,64,50,49,29,18,11,6,0,8
2023-06,평일,91,102,108,115,127,131,118,124,119,105,126,138,110,96,54,40,23,14,4,1,22
2023-06,휴일,62,70,70,96,127,134,103,115,106,84,86,73,63,56,48,41,16,11,4,0,8
2023-07,평일,102,97,110,116,123,126,123,130,112,105,121,133,112,93,59,42,23,14,4,1,21
2023-07,휴일,60,60,64,77,106,121,100,110,101,75,80,74,66,51,44,30,16,9,5,0,10
2023-08,평일,95,93,105,108,122,114,114,118,105,91,114,123,100,83,56,38,24,13,5,1,23
2023-08,휴일,57,58,69,92,108,124,103,108,97,76,85,80,60,48,50,31,19,12,4,0,8
2023-09,평일,95,93,99,110,122,125,117,126,116,103,132,124,107,86,55,39,22,13,5,1,21
2023-09,휴일,58,57,69,89,106,122,104,107,101,81,84,79,73,58,44,32,16,11,4,0,9
2023-10,평일,90,96,105,112,126,133,131,133,121,102,128,130,118,94,57,40,22,16,6,2,22
2023-10,휴일,60,63,67,83,119,134,109,122,110,91,90,81,77,52,51,30,19,14,4,0,9
2023-11,평일,95,94,106,122,133,125,128,133,122,111,145,138,114,93,56,40,21,15,5,1,22
2023-11,휴일,60,57,63,81,112,122,104,119,110,88,88,83,75,56,42,31,16,13,4,0,8
2023-12,평일,87,89,101,111,126,127,134,133,126,109,139,130,108,84,59,37,23,14,6,2,21
2023-12,휴일,51,54,57,78,107,125,117,128,114,89,94,95,76,56,44,31,23,13,7,1,10
