월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,82,29,96,122,173,210,218,196,196,241,275,283,251,207,139,94,75,31,4,,22
2021-07,휴일,69,26,50,67,84,102,105,111,104,107,110,123,97,98,77,66,56,22,4,,9
2021-08,평일,77,29,91,115,161,209,218,199,193,247,265,268,245,213,143,90,70,24,3,,22
2021-08,휴일,64,24,46,62,76,90,102,115,106,102,106,118,93,95,72,63,51,21,3,,9
2021-09,평일,74,28,90,115,173,211,221,208,211,258,286,292,250,208,150,102,73,35,4,,22
2021-09,휴일,67,23,56,72,93,133,130,138,134,126,148,147,120,107,106,85,67,30,6,,8
2021-10,평일,80,28,93,134,196,238,260,233,229,289,328,326,276,229,164,117,91,44,5,,21
2021-10,휴일,67,23,55,77,110,141,147,157,150,155,152,181,145,132,112,89,74,43,6,,10
2021-11,평일,79,29,95,139,197,248,264,257,256,317,356,352,308,232,169,122,94,50,11,,22
2021-11,휴일,64,23,59,82,116,151,158,175,173,180,191,199,174,146,132,112,73,40,12,,8
2021-12,평일,75,28,83,120,174,210,234,221,234,297,312,316,269,206,149,106,93,37,6,,23
2021-12,휴일,58,18,47,56,86,105,120,139,132,139,134,140,107,90,92,69,51,17,5,,8
2022-01,평일,74,27,77,123,172,197,226,209,228,278,303,306,270,207,150,113,75,25,4,0,21
2022-01,휴일,57,18,42,56,89,112,118,134,126,123,123,131,107,90,79,61,45,15,3,0,10
2022-02,평일,78,25,76,116,161,188,210,197,218,258,285,281,254,191,134,104,78,30,4,0,20
2022-02,휴일,64,19,41,62,85,110,128,135,128,124,124,142,100,91,92,66,46,22,2,0,8
2022-03,평일,75,27,85,124,169,195,205,202,216,255,289,279,248,198,138,100,69,39,7,0,23
2022-03,휴일,62,18,45,62,88,110,116,143,129,121,133,145,97,102,86,62,45,21,4,0,8
2022-04,평일,81,31,99,135,200,241,257,231,241,305,334,336,290,231,165,123,102,52,10,0,21
2022-04,휴일,70,19,60,79,125,148,157,164,163,160,168,182,142,140,136,93,59,41,9,0,9
2022-05,평일,84,33,106,147,219,268,287,249,263,329,346,365,310,242,180,152,116,65,12,0,22
2022-05,휴일,70,23,67,88,136,176,177,174,181,183,177,198,170,145,147,116,84,53,11,0,9
2022-06,평일,80,33,104,149,218,252,291,242,246,323,330,347,309,253,171,144,110,70,14,0,22
2022-06,휴일,72,25,70,98,142,182,181,177,184,201,186,200,159,166,136,122,76,40,9,0,8
2022-07,평일,82,34,106,144,216,243,272,231,241,311,335,335,299,235,169,135,107,48,12,0,21
2022-07,휴일,66,25,58,84,121,146,160,142,154,149,153,156,134,135,120,95,70,37,9,0,10
2022-08,평일,83,30,96,129,196,232,250,205,231,290,305,299,281,226,164,120,95,47,11,1,23
2022-08,휴일,71,21,59,76,130,148,152,142,156,145,148,156,130,131,117,104,67,40,10,0,8
2022-09,평일,84,32,99,138,210,249,278,236,253,323,340,335,307,238,183,134,115,58,16,0,22
2022-09,휴일,68,21,55,75,132,142,157,154,172,160,171,182,153,142,136,105,71,37,10,0,8
2022-10,평일,85,31,100,148,232,278,304,256,280,352,362,356,326,250,205,157,118,66,12,1,21
2022-10,휴일,78,25,64,106,154,184,198,181,206,204,199,216,191,186,153,128,82,44,13,0,10
2022-11,평일,83,34,98,149,230,272,301,259,289,360,376,384,336,239,203,152,117,59,13,1,22
2022-11,휴일,73,20,62,88,139,174,199,188,214,217,208,246,184,169,143,125,87,53,12,0,8
2022-12,평일,82,30,87,132,201,263,314,256,289,360,371,372,343,229,188,165,133,76,15,1,22
2022-12,휴일,66,20,48,75,118,165,184,183,184,212,202,213,175,155,130,110,80,37,8,1,9
2023-01,평일,82,25,75,128,191,231,268,231,258,317,344,329,298,223,169,130,95,44,13,1,22
2023-01,휴일,62,17,46,62,107,122,136,139,148,155,146,152,121,100,97,73,56,33,8,0,9
2023-02,평일,85,58,93,144,217,289,327,274,292,358,393,385,354,273,199,155,123,57,16,1,20
2023-02,휴일,64,43,56,91,136,179,189,187,202,205,195,216,162,147,137,96,73,35,8,0,8
2023-03,평일,89,118,100,164,233,293,324,274,295,372,391,394,344,262,197,162,126,58,17,1,23
2023-03,휴일,73,94,66,94,152,193,185,182,194,218,208,211,184,152,144,124,72,43,10,0,8
2023-04,평일,97,118,111,170,235,292,306,267,299,355,401,396,347,263,202,164,127,64,17,1,20
2023-04,휴일,82,95,73,102,157,193,189,183,199,189,191,215,179,178,173,138,79,51,17,0,10
