월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,18,13,25,36,37,38,31,29,31,35,33,31,33,21,17,8,6,1,0,,22
2021-07,휴일,12,9,11,19,26,25,21,25,21,17,15,14,14,12,10,4,2,2,1,,9
2021-08,평일,19,14,26,32,35,37,31,30,36,37,32,36,31,20,15,7,4,1,0,,22
2021-08,휴일,12,8,8,18,24,22,23,26,19,18,15,17,15,13,9,3,3,2,1,,9
2021-09,평일,17,12,26,32,34,38,34,32,35,40,38,37,31,22,14,8,5,2,0,,22
2021-09,휴일,14,9,11,24,28,26,27,27,26,24,19,17,17,14,10,4,4,2,1,,8
2021-10,평일,18,12,28,33,38,40,36,37,41,41,39,42,35,23,15,7,5,3,1,,21
2021-10,휴일,13,6,10,17,28,26,31,33,28,24,24,22,18,15,11,6,3,3,0,,10
2021-11,평일,20,11,28,31,38,39,36,36,41,43,40,45,33,24,15,8,6,2,1,,22
2021-11,휴일,14,7,12,20,27,30,32,35,33,30,22,26,22,16,12,6,4,2,0,,8
2021-12,평일,18,12,24,27,37,31,33,37,40,39,38,43,33,24,13,8,4,1,1,,23
2021-12,휴일,13,6,8,12,18,22,24,30,26,23,16,18,16,10,9,4,4,1,1,,8
2022-01,평일,18,10,25,27,34,33,31,34,39,38,36,36,28,21,12,7,4,1,1,0,21
2022-01,휴일,11,6,9,12,24,28,26,33,34,26,19,20,14,12,7,4,3,1,0,0,10
2022-02,평일,17,11,26,29,30,32,31,30,35,35,32,35,28,21,12,6,4,2,1,0,20
2022-02,휴일,12,6,9,13,21,23,28,35,32,23,18,18,17,12,8,3,2,1,0,0,8
2022-03,평일,17,10,27,29,32,33,36,33,37,38,34,40,28,24,11,6,3,2,1,0,23
2022-03,휴일,11,7,11,13,20,23,27,29,30,20,17,19,15,14,9,7,2,2,0,0,8
2022-04,평일,18,12,35,35,37,41,36,32,46,43,40,48,36,25,16,10,5,3,1,0,21
2022-04,휴일,13,8,13,21,30,30,31,33,34,28,23,27,20,17,11,8,4,4,0,0,9
2022-05,평일,19,13,35,37,43,41,37,37,42,42,39,49,37,27,16,10,7,4,1,0,22
2022-05,휴일,13,8,12,27,34,35,31,36,36,31,21,26,22,18,15,8,5,5,1,0,9
2022-06,평일,17,12,33,37,42,40,38,35,43,42,40,45,35,26,16,10,7,3,1,0,22
2022-06,휴일,13,9,14,23,36,35,36,33,32,26,24,27,22,18,13,11,6,4,1,0,8
2022-07,평일,18,12,37,39,44,40,37,32,40,39,40,43,37,29,18,9,7,4,1,0,21
2022-07,휴일,12,8,13,23,27,34,31,30,29,21,23,28,22,18,13,12,7,5,1,0,10
2022-08,평일,16,12,34,35,40,38,35,32,40,38,40,43,33,26,15,10,6,3,1,0,23
2022-08,휴일,14,8,15,23,30,32,26,30,28,22,20,28,22,15,12,6,5,3,1,0,8
2022-09,평일,16,13,34,36,42,44,42,37,41,41,44,47,38,26,18,8,8,4,1,0,22
2022-09,휴일,11,7,12,21,28,32,25,29,25,26,27,32,21,14,17,10,8,4,1,0,8
2022-10,평일,17,14,34,38,43,39,44,40,43,45,47,53,42,32,18,8,9,4,1,0,21
2022-10,휴일,13,8,13,22,32,38,38,40,42,35,36,42,38,30,23,15,14,6,1,0,10
2022-11,평일,16,14,33,39,47,43,47,45,48,49,48,59,46,29,15,8,8,5,1,0,22
2022-11,휴일,15,8,11,21,31,37,36,38,39,40,36,33,27,15,13,17,8,3,0,0,8
2022-12,평일,15,12,28,33,38,39,41,41,45,42,47,53,41,27,18,11,11,5,1,0,22
2022-12,휴일,11,7,11,18,27,29,30,33,36,33,28,34,26,17,12,9,7,7,1,0,9
2023-01,평일,16,11,26,29,38,38,40,38,42,39,40,47,31,26,12,8,7,4,1,0,22
2023-01,휴일,11,5,9,15,22,27,27,34,28,26,22,31,21,12,13,6,6,4,0,0,9
2023-02,평일,19,44,30,35,46,39,42,43,46,42,46,51,43,32,14,8,8,4,1,0,20
2023-02,휴일,13,31,11,17,30,33,32,35,36,36,31,36,19,16,15,10,8,3,2,0,8
2023-03,평일,20,100,31,38,46,44,45,45,49,44,56,51,43,31,17,11,8,4,0,0,23
2023-03,휴일,15,74,13,22,37,40,30,37,38,32,29,33,22,20,13,7,6,3,0,0,8
2023-04,평일,18,92,33,41,48,44,46,48,48,44,48,54,42,34,20,13,10,4,1,0,20
2023-04,휴일,16,71,15,25,35,36,30,35,36,34,33,27,27,20,16,10,7,3,1,0,10
2023-05,평일,17,13,32,37,50,44,45,43,49,41,49,47,38,29,19,13,12,6,1,0,23
2023-05,휴일,15,7,14,26,34,37,31,34,35,28,28,27,23,17,14,11,11,7,1,0,8
2023-06,평일,20,14,34,38,47,43,42,40,47,39,48,42,36,30,18,11,11,5,1,0,22
2023-06,휴일,18,8,16,26,37,36,29,33,35,31,28,25,23,17,14,11,10,4,1,0,8
2023-07,평일,18,13,35,38,47,42,40,38,46,33,47,40,34,29,13,11,7,4,1,0,21
2023-07,휴일,12,9,14,21,27,29,25,31,33,29,24,24,20,17,12,8,6,4,2,0,10
2023-08,평일,17,13,32,34,44,36,35,34,40,32,41,40,31,26,14,10,6,4,1,0,23
2023-08,휴일,15,7,15,20,37,35,31,28,33,26,22,20,16,17,12,10,7,5,1,0,8
2023-09,평일,17,14,30,33,50,43,43,43,45,41,51,47,38,27,16,11,9,4,1,0,21
2023-09,휴일,14,7,15,20,34,36,33,33,32,30,29,32,29,19,17,9,8,4,2,0,9
2023-10,평일,16,14,30,33,50,42,44,47,47,43,52,50,45,31,16,14,11,4,1,0,22
2023-10,휴일,14,8,14,24,34,42,33,37,36,32,38,25,32,18,13,13,9,4,1,0,9
2023-11,평일,18,15,32,35,49,46,46,47,49,43,50,51,42,33,15,16,16,5,0,0,22
2023-11,휴일,14,8,14,21,32,36,30,37,38,35,35,44,25,18,16,26,7,5,2,0,8
2023-12,평일,17,12,29,34,40,43,45,43,47,41,48,50,41,32,14,12,20,6,1,0,21
2023-12,휴일,13,7,12,15,28,34,31,35,34,28,27,28,24,19,32,12,8,6,1,0,10
