월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,122,118,140,145,146,133,127,105,94,93,96,85,82,63,41,24,15,9,1,,22
2021-07,휴일,66,75,67,83,89,98,87,75,76,60,62,58,39,41,25,17,10,8,1,,9
2021-08,평일,114,113,134,144,146,141,123,113,98,98,94,89,75,58,39,22,14,8,1,,22
2021-08,휴일,57,73,57,81,87,103,86,79,80,65,61,56,47,40,26,14,12,6,0,,9
2021-09,평일,111,103,130,138,147,147,133,126,118,114,109,98,76,58,37,22,14,8,2,,22
2021-09,휴일,67,74,74,91,114,119,110,99,93,76,72,65,53,43,25,17,12,6,2,,8
2021-10,평일,120,106,142,149,159,152,146,132,135,129,121,114,86,64,38,23,13,8,2,,21
2021-10,휴일,59,73,70,82,118,133,114,102,107,96,75,74,54,36,27,18,12,5,2,,10
2021-11,평일,118,111,147,152,158,155,150,135,133,122,117,120,90,62,36,21,15,8,2,,22
2021-11,휴일,62,72,67,88,113,135,122,103,95,94,78,76,55,38,24,15,11,5,2,,8
2021-12,평일,118,108,145,141,139,145,143,134,137,131,116,110,90,59,35,20,16,7,2,,23
2021-12,휴일,56,59,54,70,91,106,100,98,97,81,81,65,51,32,21,12,9,5,1,,8
2022-01,평일,117,104,142,137,143,139,142,139,134,130,124,114,88,64,35,18,15,6,1,0,21
2022-01,휴일,58,63,55,70,90,116,106,108,106,96,87,65,50,33,21,17,13,2,1,0,10
2022-02,평일,116,97,130,123,128,126,128,128,124,116,108,107,83,61,36,19,14,6,2,0,20
2022-02,휴일,62,65,63,71,97,117,110,106,100,89,80,66,52,36,24,14,10,4,1,0,8
2022-03,평일,128,101,139,130,144,138,136,139,131,126,109,103,87,60,36,20,12,7,1,0,23
2022-03,휴일,62,61,69,75,89,109,95,101,103,84,78,61,51,35,21,18,9,4,1,0,8
2022-04,평일,145,117,159,151,166,162,149,150,146,137,123,114,105,67,42,26,14,9,3,0,21
2022-04,휴일,74,76,80,101,134,157,135,126,120,112,85,70,57,43,32,23,13,6,1,0,9
2022-05,평일,150,121,167,153,180,182,165,165,150,142,139,127,108,73,44,28,16,11,3,0,22
2022-05,휴일,76,81,85,102,143,169,135,120,118,101,91,81,63,48,34,25,16,6,3,0,9
2022-06,평일,135,121,162,158,169,169,150,156,146,129,129,124,98,78,38,29,18,12,3,0,22
2022-06,휴일,82,84,87,110,154,168,141,119,127,112,89,81,62,49,37,28,16,6,3,0,8
2022-07,평일,145,122,163,162,168,168,145,155,141,121,127,124,106,76,43,28,20,10,2,0,21
2022-07,휴일,79,76,82,99,128,143,120,116,120,90,83,76,57,43,32,22,15,7,1,0,10
2022-08,평일,129,113,151,160,155,157,140,144,138,115,119,115,101,70,43,26,16,9,3,0,23
2022-08,휴일,82,79,84,96,125,143,121,110,106,86,86,73,55,46,33,19,16,8,2,0,8
2022-09,평일,128,116,149,163,170,166,150,154,151,132,132,123,103,74,42,29,19,11,3,1,22
2022-09,휴일,69,67,72,97,121,143,122,114,114,95,80,76,49,45,29,20,12,6,2,0,8
2022-10,평일,132,114,152,166,176,172,158,163,161,137,141,136,106,70,43,30,21,10,2,0,21
2022-10,휴일,86,79,92,109,149,171,137,130,131,106,99,84,68,42,30,21,13,8,2,0,10
2022-11,평일,138,118,154,161,176,167,156,163,159,136,139,135,101,68,46,29,19,11,2,1,22
2022-11,휴일,80,67,71,95,128,156,131,128,132,107,97,89,58,41,32,19,10,9,2,0,8
2022-12,평일,132,111,141,143,161,166,154,164,167,147,143,131,106,66,44,29,15,11,2,1,22
2022-12,휴일,67,65,67,79,118,158,142,132,136,117,107,89,67,44,29,22,13,11,3,0,9
2023-01,평일,122,108,145,142,156,163,155,166,164,146,138,127,101,68,45,27,17,9,2,1,22
2023-01,휴일,57,59,63,73,102,127,116,119,122,105,94,79,51,38,32,19,10,6,3,1,9
2023-02,평일,146,218,169,172,190,189,173,176,187,159,159,156,117,82,54,35,20,11,3,1,20
2023-02,휴일,75,204,78,105,141,179,153,142,152,126,119,100,76,52,35,31,15,10,3,0,8
2023-03,평일,148,389,179,189,206,196,178,189,187,164,160,151,118,89,58,35,20,11,3,2,23
2023-03,휴일,78,360,87,117,163,196,171,151,156,137,120,104,70,60,36,27,19,9,2,0,8
2023-04,평일,159,391,194,194,203,204,178,188,183,157,162,138,111,89,57,36,23,10,3,2,20
2023-04,휴일,92,384,91,121,172,182,158,143,143,121,117,90,64,60,43,32,20,7,3,0,10
2023-05,평일,160,145,172,186,209,206,183,185,177,162,165,139,114,90,57,39,22,11,3,1,23
2023-05,휴일,89,83,85,119,147,181,136,137,127,104,106,83,59,54,36,31,16,7,3,0,8
2023-06,평일,164,148,174,189,189,193,162,170,161,140,149,132,104,92,53,37,21,10,3,1,22
2023-06,휴일,97,92,95,125,170,190,142,128,124,111,105,84,65,52,41,34,19,7,3,0,8
2023-07,평일,162,142,172,186,182,180,163,154,148,131,141,117,100,84,53,35,20,9,2,1,21
2023-07,휴일,93,82,87,109,151,159,129,110,113,100,93,69,55,50,37,25,16,9,4,0,10
2023-08,평일,159,139,164,181,182,169,155,145,137,125,128,118,102,82,50,32,18,9,3,0,23
2023-08,휴일,95,82,86,110,149,164,136,116,118,97,89,73,62,52,38,24,20,9,2,0,8
2023-09,평일,160,141,172,183,192,176,159,151,152,138,140,117,101,83,49,32,17,8,3,1,21
2023-09,휴일,93,88,88,116,159,180,141,112,124,112,105,83,62,46,35,26,18,7,2,0,9
2023-10,평일,160,140,167,184,196,190,174,165,172,149,147,129,109,83,47,32,18,8,3,0,22
2023-10,휴일,99,86,94,120,173,200,162,135,135,120,112,79,64,51,33,26,16,7,2,0,9
2023-11,평일,170,139,175,186,185,179,178,168,163,149,155,132,106,82,46,30,19,8,2,0,22
2023-11,휴일,87,80,81,117,152,171,143,132,135,121,110,88,63,47,32,21,16,7,2,0,8
2023-12,평일,157,127,162,180,177,180,178,165,164,153,156,133,107,77,45,32,16,9,2,1,21
2023-12,휴일,77,75,77,106,153,178,163,135,129,126,112,94,65,46,30,27,16,9,3,0,10
