월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,72,46,88,116,121,129,110,96,95,101,112,104,71,54,42,31,20,8,1,,22
2021-07,휴일,46,29,41,55,67,76,61,56,54,44,51,44,39,24,18,16,14,5,1,,9
2021-08,평일,73,40,79,105,111,126,108,97,99,100,109,98,68,51,37,30,17,6,1,,22
2021-08,휴일,45,26,39,51,61,70,68,60,56,54,48,39,32,25,18,14,12,4,0,,9
2021-09,평일,74,39,77,107,111,132,121,105,110,109,122,108,74,60,44,27,20,7,1,,22
2021-09,휴일,48,24,44,61,81,94,88,79,76,68,59,56,42,28,19,19,11,5,0,,8
2021-10,평일,76,42,85,118,122,148,133,116,124,120,129,122,84,61,41,32,20,10,3,,21
2021-10,휴일,44,26,44,57,85,101,96,87,80,71,60,59,42,28,20,15,13,6,1,,10
2021-11,평일,81,44,88,124,129,148,142,123,132,132,132,135,90,67,44,35,22,10,2,,22
2021-11,휴일,46,28,44,65,101,104,94,86,86,73,71,64,42,30,22,20,14,5,0,,8
2021-12,평일,74,41,81,115,113,127,127,118,125,118,127,121,88,56,44,32,18,6,1,,23
2021-12,휴일,41,24,37,49,81,82,73,73,74,64,57,53,44,26,19,17,10,4,0,,8
2022-01,평일,72,39,75,106,117,131,129,114,129,120,125,115,80,56,45,31,18,5,1,0,21
2022-01,휴일,41,25,36,49,76,88,81,77,74,71,59,56,40,28,18,18,8,3,0,0,10
2022-02,평일,67,38,72,104,110,117,114,103,120,107,115,109,74,53,41,32,19,6,1,0,20
2022-02,휴일,40,24,41,54,83,80,81,81,72,64,60,48,39,29,19,15,11,3,0,0,8
2022-03,평일,68,41,74,105,112,120,112,107,119,107,119,101,73,54,44,34,22,9,1,0,23
2022-03,휴일,40,25,39,42,76,76,75,78,73,60,56,48,36,28,19,19,12,2,1,0,8
2022-04,평일,77,44,83,118,137,148,136,115,132,117,137,127,84,66,51,35,27,11,2,0,21
2022-04,휴일,50,25,48,67,106,104,99,90,84,73,67,60,46,35,26,22,16,5,2,0,9
2022-05,평일,83,50,88,137,151,164,153,127,136,129,143,137,95,74,51,39,28,13,2,0,22
2022-05,휴일,53,31,52,76,110,122,107,84,85,73,71,62,49,33,28,22,17,8,2,0,9
2022-06,평일,80,50,89,131,143,171,160,125,130,124,143,130,98,74,49,40,30,12,3,0,22
2022-06,휴일,58,30,57,76,116,125,103,98,88,74,71,76,48,34,28,25,18,7,1,0,8
2022-07,평일,81,52,92,139,142,165,154,119,130,119,132,125,92,74,53,37,32,14,3,0,21
2022-07,휴일,54,30,51,82,100,102,92,89,74,69,64,61,43,37,25,18,15,8,1,0,10
2022-08,평일,78,48,84,130,137,160,154,121,133,126,131,127,87,68,44,34,26,13,2,0,23
2022-08,휴일,50,30,48,73,99,105,92,83,82,61,62,60,45,34,27,21,13,4,1,0,8
2022-09,평일,82,49,90,136,149,164,148,121,143,126,134,130,92,76,48,40,28,12,2,0,22
2022-09,휴일,49,30,48,72,101,105,97,90,78,71,61,59,43,29,21,20,14,5,1,0,8
2022-10,평일,86,47,96,143,149,165,160,136,149,130,141,134,92,75,47,50,29,12,2,0,21
2022-10,휴일,57,30,53,85,113,128,114,100,92,88,72,72,53,36,30,34,24,4,1,0,10
2022-11,평일,87,47,101,145,146,164,149,125,151,131,146,143,98,73,48,41,30,11,3,0,22
2022-11,휴일,54,28,53,77,108,126,114,96,84,88,70,73,54,39,25,24,12,6,1,0,8
2022-12,평일,78,43,91,131,132,165,155,139,143,132,146,144,103,75,47,43,28,12,3,0,22
2022-12,휴일,46,25,45,63,96,111,115,96,94,79,81,74,53,34,28,22,14,7,2,0,9
2023-01,평일,71,40,80,120,128,150,154,123,136,126,136,126,89,72,48,35,24,12,3,0,22
2023-01,휴일,45,24,39,58,88,96,93,82,72,71,63,63,46,31,20,20,11,7,1,0,9
2023-02,평일,81,46,93,139,155,174,173,151,157,139,163,143,106,83,57,38,27,11,2,1,20
2023-02,휴일,52,30,44,75,112,120,116,106,96,86,67,71,60,39,27,22,12,6,1,0,8
2023-03,평일,88,58,99,142,161,180,171,150,154,139,157,141,111,88,54,41,28,13,3,2,23
2023-03,휴일,55,39,53,81,119,131,117,103,98,85,75,73,60,39,32,23,13,6,1,1,8
2023-04,평일,96,62,105,150,160,171,171,154,155,141,156,136,107,92,53,40,28,14,3,3,20
2023-04,휴일,59,39,51,87,118,131,120,104,98,89,85,80,60,43,35,30,14,5,2,1,10
2023-05,평일,91,47,95,141,163,173,171,143,153,136,145,129,102,82,49,46,26,15,3,1,23
2023-05,휴일,61,31,54,84,114,117,101,96,88,74,72,75,64,42,29,22,16,6,1,0,8
2023-06,평일,91,50,102,146,165,179,175,145,151,138,153,133,111,84,53,45,30,16,4,1,22
2023-06,휴일,64,32,58,90,129,133,110,103,96,77,78,83,60,40,38,30,17,8,1,0,8
