월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,74,30,67,92,117,114,121,119,104,116,173,130,116,94,62,37,17,12,3,,22
2021-07,휴일,61,24,35,49,62,66,74,76,65,56,46,46,41,39,29,18,13,8,2,,9
2021-08,평일,71,29,61,89,117,112,121,120,103,114,172,129,116,98,64,37,14,13,3,,22
2021-08,휴일,59,26,31,43,56,62,67,78,61,54,54,52,44,39,26,19,13,6,2,,9
2021-09,평일,72,28,61,91,114,119,125,123,109,132,190,132,123,98,61,38,19,13,3,,22
2021-09,휴일,62,25,35,55,72,83,95,103,82,77,68,59,52,47,31,24,14,10,2,,8
2021-10,평일,78,29,65,99,129,138,143,134,124,153,205,159,141,108,65,38,22,12,4,,21
2021-10,휴일,65,24,38,48,74,89,91,105,89,75,65,64,59,39,28,20,14,7,2,,10
2021-11,평일,74,30,67,105,139,145,154,135,130,165,221,173,148,111,71,39,25,13,5,,22
2021-11,휴일,62,24,42,53,77,103,95,108,84,83,77,74,59,52,39,22,11,8,3,,8
2021-12,평일,71,28,59,93,124,126,141,129,126,163,215,163,141,105,64,38,24,12,4,,23
2021-12,휴일,60,19,28,37,59,73,74,88,80,62,61,60,48,42,30,16,12,7,3,,8
2022-01,평일,74,30,57,100,121,131,132,126,128,144,202,157,135,106,70,40,26,11,4,0,21
2022-01,휴일,62,22,28,45,64,82,81,97,82,76,78,66,56,42,33,20,13,8,2,0,10
2022-02,평일,74,30,55,89,109,112,121,126,113,136,187,145,124,105,66,36,20,13,4,0,20
2022-02,휴일,61,26,31,42,68,80,84,91,82,73,64,64,49,42,32,20,12,9,2,0,8
2022-03,평일,77,30,61,91,109,111,123,113,113,147,188,143,123,112,63,41,23,14,5,0,23
2022-03,휴일,63,23,30,45,53,77,80,92,79,70,63,60,54,43,34,16,10,10,2,0,8
2022-04,평일,82,33,67,109,140,145,149,128,128,170,215,171,146,121,80,46,29,16,6,0,21
2022-04,휴일,69,27,36,56,85,97,91,110,91,81,84,76,62,56,42,24,16,9,3,0,9
2022-05,평일,90,37,75,122,155,162,167,138,140,175,227,178,172,122,89,51,31,16,6,0,22
2022-05,휴일,71,29,40,66,88,108,100,119,91,85,86,71,63,52,40,27,11,11,3,0,9
2022-06,평일,87,34,78,118,146,158,174,143,144,178,223,173,160,121,81,50,30,16,6,0,22
2022-06,휴일,72,35,46,71,102,124,105,116,96,92,75,78,64,49,34,27,13,12,3,0,8
2022-07,평일,84,31,80,124,152,155,177,146,142,172,227,173,160,124,84,49,35,16,6,0,21
2022-07,휴일,70,27,45,69,88,114,98,107,91,81,76,76,62,50,39,30,24,13,3,0,10
2022-08,평일,81,32,72,114,136,143,157,135,133,160,194,161,140,115,74,42,31,15,5,0,23
2022-08,휴일,65,26,44,64,92,103,96,114,101,80,76,80,64,51,37,24,18,10,3,0,8
2022-09,평일,88,32,77,121,156,160,172,147,141,179,210,173,157,119,76,44,32,16,6,0,22
2022-09,휴일,72,22,44,62,90,102,104,104,87,84,76,67,53,48,34,20,18,12,2,0,8
2022-10,평일,92,34,76,123,160,172,176,153,149,175,220,185,163,121,75,46,35,15,6,0,21
2022-10,휴일,79,27,51,71,94,125,114,126,101,97,92,84,67,50,38,24,20,10,3,0,10
2022-11,평일,92,35,78,126,166,174,184,155,161,192,234,197,173,119,75,44,28,18,6,0,22
2022-11,휴일,79,27,43,70,102,119,118,126,103,97,105,92,72,50,42,26,15,14,3,0,8
2022-12,평일,95,30,73,114,148,169,198,164,169,200,248,212,181,125,78,45,30,16,6,0,22
2022-12,휴일,78,22,39,59,88,114,114,128,107,99,104,95,67,53,39,27,18,10,3,1,9
2023-01,평일,104,28,66,109,137,156,165,148,162,172,213,182,162,120,75,43,29,13,6,0,22
2023-01,휴일,86,20,36,52,71,92,89,117,96,84,87,81,59,42,37,26,12,7,2,0,9
2023-02,평일,117,33,75,126,168,190,203,169,174,199,250,214,184,143,87,52,28,15,6,0,20
2023-02,휴일,99,27,41,60,99,119,130,128,111,116,101,88,72,60,40,26,13,12,2,0,8
2023-03,평일,113,51,79,140,175,198,191,170,170,202,255,210,183,147,102,51,30,18,6,0,23
2023-03,휴일,97,43,46,75,109,129,120,124,111,122,100,91,78,53,47,27,16,10,2,0,8
2023-04,평일,117,51,91,139,185,206,192,176,171,209,249,207,185,149,101,59,34,19,7,0,20
2023-04,휴일,101,43,54,80,110,126,120,124,123,107,104,98,85,58,45,32,16,11,3,0,10
2023-05,평일,119,33,86,131,178,189,184,165,170,190,239,194,184,139,95,56,31,17,6,0,23
2023-05,휴일,99,25,48,74,104,122,109,111,102,96,85,78,72,55,40,29,15,13,3,0,8
2023-06,평일,124,35,84,136,179,196,188,162,166,194,241,194,190,147,96,62,33,18,5,0,22
2023-06,휴일,102,29,57,83,107,138,121,125,111,107,101,100,77,62,43,36,14,12,2,0,8
2023-07,평일,116,36,83,135,168,181,193,160,157,189,229,191,173,144,94,59,31,15,6,0,21
2023-07,휴일,97,25,46,68,90,114,107,120,99,91,86,74,70,51,47,29,15,11,3,0,10
2023-08,평일,113,36,77,131,160,175,167,143,147,168,210,182,161,136,91,54,29,15,6,0,23
2023-08,휴일,96,27,45,71,93,115,111,138,124,95,82,73,66,54,46,29,16,12,2,0,8
