월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,33,23,40,51,61,47,37,36,37,29,35,28,20,15,14,7,5,2,1,,22
2021-07,휴일,19,15,21,27,35,34,31,30,28,25,26,23,16,11,11,5,3,2,0,,9
2021-08,평일,31,22,35,49,56,47,36,38,40,32,32,25,17,15,13,7,4,2,0,,22
2021-08,휴일,18,17,16,29,36,27,29,37,29,29,29,24,18,12,8,3,3,2,0,,9
2021-09,평일,31,23,33,47,57,42,41,41,42,37,39,28,20,19,12,5,5,2,1,,22
2021-09,휴일,20,17,21,30,34,40,36,40,34,35,36,35,19,16,9,5,5,2,0,,8
2021-10,평일,32,25,38,53,59,52,48,42,47,40,43,30,20,18,12,6,5,2,1,,21
2021-10,휴일,17,18,21,28,37,42,36,37,41,38,42,31,21,13,7,3,4,2,1,,10
2021-11,평일,34,21,38,51,54,48,45,40,44,40,39,28,18,15,12,6,4,2,1,,22
2021-11,휴일,19,16,20,27,42,42,35,32,38,36,38,25,18,11,6,5,4,1,0,,8
2021-12,평일,30,20,31,43,48,44,35,38,42,38,38,29,16,15,11,7,5,3,1,,23
2021-12,휴일,15,16,16,22,30,32,28,29,30,30,26,23,13,9,4,4,3,2,0,,8
2022-01,평일,26,18,29,39,52,46,39,39,43,39,37,26,17,15,9,6,4,2,1,0,21
2022-01,휴일,14,13,13,20,32,30,31,34,34,35,29,24,14,10,7,4,2,1,0,0,10
2022-02,평일,24,18,27,41,50,42,35,41,37,35,35,25,15,15,11,6,3,1,1,0,20
2022-02,휴일,14,15,16,20,32,26,32,33,29,32,27,24,17,10,6,5,2,1,1,0,8
2022-03,평일,25,18,31,45,51,40,38,42,40,37,34,26,15,17,12,7,4,2,1,0,23
2022-03,휴일,10,14,17,22,32,30,28,30,31,34,27,22,18,11,8,6,3,1,0,0,8
2022-04,평일,30,20,36,52,61,43,38,45,41,38,38,29,17,19,14,7,4,2,1,0,21
2022-04,휴일,17,16,21,28,38,39,39,32,37,37,34,31,22,15,8,8,3,2,1,0,9
2022-05,평일,32,23,37,55,68,47,41,45,44,38,39,30,21,20,13,10,4,2,1,0,22
2022-05,휴일,17,18,21,34,43,37,37,39,32,36,36,28,21,13,10,7,4,2,1,0,9
2022-06,평일,32,23,36,56,66,51,42,43,40,39,36,30,19,20,13,8,3,1,1,0,22
2022-06,휴일,18,20,25,33,51,43,37,36,33,39,32,33,24,14,6,8,4,2,1,0,8
2022-07,평일,33,22,41,61,65,52,49,48,40,38,38,33,22,22,16,8,4,1,1,0,21
2022-07,휴일,18,16,25,33,46,43,37,37,35,30,33,29,21,14,10,9,3,2,0,0,10
2022-08,평일,32,20,38,49,59,51,42,47,39,35,38,31,19,20,15,7,3,1,1,0,23
2022-08,휴일,18,17,21,30,49,41,40,32,34,29,36,30,22,16,10,7,4,1,0,0,8
2022-09,평일,32,20,36,52,65,48,44,54,43,39,41,36,22,21,16,6,3,1,0,0,22
2022-09,휴일,16,17,24,28,48,37,38,35,34,34,33,33,22,17,9,7,3,2,0,0,8
2022-10,평일,31,19,38,54,65,49,46,60,46,41,43,37,22,21,13,7,2,1,0,0,21
2022-10,휴일,16,18,26,33,50,45,47,41,38,38,38,32,23,15,7,5,3,1,0,0,10
2022-11,평일,29,22,40,55,63,53,41,53,44,46,44,34,21,17,12,5,2,1,0,0,22
2022-11,휴일,16,16,21,32,45,42,41,40,38,35,33,30,19,10,8,5,2,1,0,0,8
2022-12,평일,29,19,43,47,65,49,42,47,45,41,40,35,22,18,12,4,2,1,1,0,22
2022-12,휴일,14,17,21,27,44,35,37,38,35,30,33,25,19,13,10,4,3,2,0,0,9
2023-01,평일,23,18,34,50,56,44,40,47,44,37,37,31,19,19,13,6,3,1,1,0,22
2023-01,휴일,13,14,19,24,42,33,31,29,32,27,26,20,17,11,7,4,2,2,0,0,9
2023-02,평일,25,45,42,58,63,51,43,58,45,43,47,32,23,22,12,5,3,2,2,0,20
2023-02,휴일,13,35,21,30,53,41,44,38,37,34,38,25,19,16,8,5,2,2,1,0,8
