월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2023-05,평일,12,14,17,24,38,59,68,67,82,110,123,119,107,81,54,38,30,22,9,1,46
2023-05,휴일,7,8,8,13,19,26,40,48,59,68,73,70,56,48,34,26,21,12,7,0,16
2023-06,평일,12,12,18,24,40,60,65,68,78,105,113,112,116,82,50,37,30,21,8,1,44
2023-06,휴일,7,6,8,12,18,32,40,54,59,72,80,76,59,48,32,24,20,14,6,0,16
2023-07,평일,12,12,18,25,40,56,68,64,76,97,105,108,110,82,52,35,28,18,7,1,42
2023-07,휴일,6,4,9,10,20,30,37,46,49,58,63,64,54,51,31,21,17,13,4,0,20
2023-08,평일,11,11,16,24,39,47,60,57,68,87,98,100,99,76,48,31,26,17,7,1,46
2023-08,휴일,6,6,9,12,19,30,38,49,52,61,62,61,46,46,35,20,15,10,4,0,16
2023-09,평일,11,12,17,25,38,51,59,56,71,94,103,101,101,77,49,36,29,18,7,2,42
2023-09,휴일,6,5,10,13,19,25,38,47,53,67,73,66,56,47,34,29,24,12,5,0,18
