월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,25,25,29,53,81,121,162,206,228,249,260,249,204,136,71,41,27,12,4,,44
2021-07,휴일,20,17,22,43,84,152,237,291,342,368,377,299,221,142,68,32,17,8,2,,18
2021-08,평일,24,25,32,48,74,110,162,202,233,245,260,248,210,127,64,35,22,9,3,,44
2021-08,휴일,19,17,24,42,81,148,230,317,379,431,485,416,296,179,70,30,16,8,2,,18
2021-09,평일,23,23,32,45,75,106,156,213,259,285,313,291,244,139,60,36,25,11,4,,44
2021-09,휴일,20,20,28,44,84,161,261,377,469,547,579,508,368,222,76,31,21,11,3,,16
2021-10,평일,24,27,31,45,75,108,157,222,279,322,355,343,266,129,58,33,25,16,3,,42
2021-10,휴일,17,20,23,39,77,134,241,376,487,572,628,556,395,174,58,28,15,11,3,,20
2021-11,평일,23,27,33,49,68,105,147,205,272,309,334,310,243,106,53,33,24,14,4,,44
2021-11,휴일,17,19,23,38,70,131,220,337,465,597,664,606,414,155,58,26,18,11,5,,16
2021-12,평일,20,25,30,46,64,96,140,194,249,307,332,295,205,95,49,34,19,12,3,,46
2021-12,휴일,13,15,20,30,60,103,174,278,384,502,555,420,249,99,39,21,13,9,3,,16
2022-01,평일,20,21,29,44,59,91,132,185,251,302,333,300,215,103,51,33,21,13,2,0,42
2022-01,휴일,13,14,20,28,56,103,180,296,406,558,594,523,328,133,48,25,17,10,2,0,20
2022-02,평일,19,22,29,42,54,87,122,177,222,273,309,286,196,112,51,31,19,14,3,0,40
2022-02,휴일,15,14,19,30,56,108,186,297,400,518,583,489,304,151,49,25,16,11,3,0,16
2022-03,평일,24,25,31,48,62,97,143,211,257,292,328,305,237,131,60,35,22,17,6,0,46
2022-03,휴일,15,14,20,31,59,106,179,276,366,450,505,446,322,177,61,27,16,13,4,0,16
2022-04,평일,25,29,37,57,72,110,162,223,290,318,349,328,271,154,71,43,26,22,6,0,42
2022-04,휴일,18,21,26,45,78,147,249,379,502,601,635,561,404,256,97,38,23,13,5,0,18
2022-05,평일,31,33,39,57,79,122,179,240,327,335,358,325,303,176,82,46,34,22,6,0,44
2022-05,휴일,22,24,29,48,88,171,272,409,524,610,636,569,416,250,102,43,23,15,4,0,18
2022-06,평일,28,34,38,59,78,116,172,241,315,300,298,284,285,158,77,48,36,19,5,0,44
2022-06,휴일,24,24,29,50,95,175,276,392,497,557,575,488,372,220,94,47,24,15,5,0,16
2022-07,평일,31,33,36,59,82,122,199,235,271,268,299,281,263,151,77,52,40,20,5,0,42
2022-07,휴일,23,22,28,50,100,185,285,384,436,460,457,405,279,172,84,46,35,16,5,0,20
2022-08,평일,29,28,35,55,73,112,167,209,255,265,269,261,223,133,70,43,32,16,5,0,46
2022-08,휴일,24,21,27,44,95,176,309,398,443,482,494,417,315,196,85,38,33,14,4,0,16
2022-09,평일,31,31,37,56,78,120,184,257,325,331,350,327,306,164,75,46,34,19,6,1,44
2022-09,휴일,22,20,27,46,80,142,236,358,425,495,515,472,333,205,74,36,20,15,4,0,16
2022-10,평일,30,32,37,54,73,114,168,253,339,358,379,364,317,148,63,48,31,19,6,1,42
2022-10,휴일,21,24,31,47,88,157,257,386,507,604,635,563,402,195,70,40,20,15,4,0,20
2022-11,평일,30,31,35,54,73,103,170,232,331,342,373,353,303,126,60,45,34,17,5,2,44
2022-11,휴일,19,23,27,42,81,146,240,363,519,698,652,586,395,163,61,32,22,13,4,0,16
2022-12,평일,24,29,35,49,67,100,161,218,278,325,349,330,238,107,60,43,29,18,5,1,44
2022-12,휴일,15,19,23,34,60,116,200,310,440,572,614,527,309,132,57,33,21,14,4,0,18
2023-01,평일,22,27,32,47,66,98,151,219,273,319,355,335,235,109,57,38,25,14,4,1,44
2023-01,휴일,13,16,21,30,56,108,172,261,367,461,516,439,257,116,44,24,16,10,4,0,18
2023-02,평일,25,64,36,53,73,107,170,228,286,361,407,383,279,152,76,53,28,21,6,2,40
2023-02,휴일,17,44,26,34,70,132,226,374,526,697,751,690,462,213,74,36,22,14,5,1,16
2023-03,평일,28,128,41,55,80,115,180,260,362,390,420,400,354,185,85,52,35,23,7,2,46
2023-03,휴일,17,90,29,43,88,168,269,397,535,681,746,668,471,270,91,43,26,14,5,2,16
2023-04,평일,31,123,41,56,80,113,177,242,341,345,356,332,323,172,88,53,36,22,6,3,40
2023-04,휴일,23,93,29,45,97,175,279,396,511,624,659,578,438,279,102,46,25,16,4,2,20
2023-05,평일,28,29,40,56,82,127,208,286,335,363,397,374,317,168,92,59,34,24,6,1,46
2023-05,휴일,22,21,28,45,93,163,272,363,443,507,515,453,337,212,94,45,26,16,4,0,16
2023-06,평일,31,33,38,55,85,127,185,248,328,333,332,318,312,175,90,57,40,22,5,1,44
2023-06,휴일,25,22,30,57,112,207,334,449,531,596,606,486,360,248,109,57,31,16,5,0,16
2023-07,평일,32,34,38,57,83,123,196,246,272,276,295,290,253,146,83,53,37,21,6,1,42
2023-07,휴일,22,23,26,50,100,189,280,371,397,424,433,350,272,170,79,47,30,17,5,0,20
2023-08,평일,31,33,36,54,78,123,173,217,262,253,269,261,225,135,73,47,30,20,5,1,46
2023-08,휴일,22,25,25,54,105,197,305,414,502,542,499,415,305,202,94,45,31,17,4,0,16
2023-09,평일,29,32,37,54,81,121,180,241,306,308,322,303,276,150,73,48,32,22,6,1,42
2023-09,휴일,22,23,27,51,93,185,299,425,513,580,570,506,366,219,86,42,22,15,4,0,18
2023-10,평일,28,31,38,57,82,119,182,265,362,386,421,391,330,161,75,48,31,22,4,1,44
2023-10,휴일,22,22,29,51,96,170,286,426,556,646,683,623,447,230,78,43,23,14,5,0,18
2023-11,평일,29,33,40,54,77,109,173,244,322,335,374,347,287,121,66,44,31,19,5,1,44
2023-11,휴일,20,21,24,42,90,157,246,354,495,639,664,568,365,158,64,33,20,15,4,0,16
2023-12,평일,26,30,34,52,73,106,158,243,292,329,350,334,257,117,65,52,28,19,5,1,42
2023-12,휴일,16,19,22,38,72,136,227,337,457,573,613,518,319,141,62,40,22,14,5,1,20
