월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,67,42,63,71,89,101,88,85,88,107,120,116,107,96,52,33,20,15,2,,22
2021-07,휴일,44,33,38,38,65,69,60,60,63,50,49,44,42,34,18,20,16,9,1,,9
2021-08,평일,62,43,62,71,85,98,92,86,88,101,115,114,94,90,55,31,19,13,2,,22
2021-08,휴일,41,33,37,45,56,65,61,58,60,51,46,44,39,37,19,18,12,6,1,,9
2021-09,평일,59,41,63,73,92,100,97,95,104,112,128,125,105,93,53,33,26,16,3,,22
2021-09,휴일,46,34,38,50,72,81,76,70,74,58,62,65,47,35,27,19,14,8,2,,8
2021-10,평일,63,46,65,80,99,109,112,110,107,126,146,142,116,96,56,34,30,19,3,,21
2021-10,휴일,47,31,34,51,62,87,75,88,85,73,74,76,58,36,29,20,15,11,2,,10
2021-11,평일,63,44,69,83,94,107,112,120,123,140,160,140,119,101,59,35,28,21,4,,22
2021-11,휴일,44,30,40,50,69,86,86,98,99,83,86,86,69,41,31,24,15,15,3,,8
2021-12,평일,58,40,65,69,83,105,111,109,112,132,147,140,114,90,55,33,24,16,2,,23
2021-12,휴일,37,27,31,38,53,86,67,115,78,67,75,60,59,31,27,24,12,8,2,,8
2022-01,평일,57,36,61,65,78,89,109,102,113,137,142,132,109,97,51,33,26,13,2,0,21
2022-01,휴일,33,26,31,38,51,72,67,83,77,67,57,51,44,32,17,16,13,6,1,0,10
2022-02,평일,53,34,56,65,78,91,108,93,103,120,139,123,107,93,49,27,20,12,2,0,20
2022-02,휴일,39,27,32,38,51,76,65,74,77,67,58,55,45,34,23,19,11,7,2,0,8
2022-03,평일,60,36,61,70,81,101,106,98,113,114,135,126,104,96,49,31,21,14,4,0,23
2022-03,휴일,36,26,33,41,53,72,70,75,74,60,60,53,52,39,30,19,12,7,1,0,8
2022-04,평일,66,40,66,81,93,115,112,115,125,140,166,151,129,112,62,37,28,20,6,0,21
2022-04,휴일,50,29,39,52,74,93,92,96,91,89,84,84,67,51,40,25,18,8,3,0,9
2022-05,평일,71,44,67,83,106,119,121,115,120,137,165,172,134,112,67,44,33,22,5,0,22
2022-05,휴일,54,29,40,56,87,95,94,94,102,84,84,91,63,52,34,27,24,9,1,0,9
2022-06,평일,68,40,68,75,96,119,127,120,118,137,153,158,133,108,61,38,28,20,4,1,22
2022-06,휴일,54,31,47,50,82,106,107,122,109,94,96,93,76,56,44,33,21,12,2,0,8
2022-07,평일,65,43,68,74,97,113,125,118,117,129,159,148,129,116,65,42,30,19,5,1,21
2022-07,휴일,48,29,40,50,72,83,76,82,89,68,75,71,61,40,31,27,20,12,2,0,10
2022-08,평일,63,39,67,77,91,107,111,115,115,124,150,145,120,99,62,38,27,16,4,1,23
2022-08,휴일,47,27,46,48,71,89,79,88,84,68,76,70,64,46,33,26,17,10,1,0,8
2022-09,평일,65,42,66,83,102,116,115,114,120,132,161,156,126,107,65,37,30,21,7,2,22
2022-09,휴일,46,27,40,49,68,82,74,78,84,73,84,76,64,47,38,26,17,10,2,0,8
2022-10,평일,67,41,72,86,103,120,126,123,131,141,175,165,127,111,61,39,32,18,8,1,21
2022-10,휴일,56,32,47,58,78,90,93,101,92,92,107,99,71,58,44,31,23,12,1,0,10
2022-11,평일,64,42,68,82,102,120,127,123,130,139,180,170,130,110,63,42,32,18,5,1,22
2022-11,휴일,48,26,41,50,74,87,98,94,102,91,100,89,64,50,34,25,22,12,2,0,8
2022-12,평일,61,33,68,78,90,107,131,110,120,142,182,158,135,108,59,40,31,18,5,2,22
2022-12,휴일,47,22,38,38,73,98,109,106,88,94,94,85,61,45,34,22,18,10,2,0,9
2023-01,평일,58,32,55,74,84,97,106,99,122,132,162,133,118,98,53,32,22,15,4,1,22
2023-01,휴일,43,21,31,32,55,66,70,74,76,63,72,61,47,32,26,20,13,8,3,0,9
2023-02,평일,63,64,70,85,101,122,129,122,137,154,189,154,135,119,66,38,32,19,5,1,20
2023-02,휴일,52,47,38,44,74,93,93,93,104,81,93,85,62,49,40,26,17,13,3,0,8
2023-03,평일,65,118,66,87,104,122,131,125,133,154,185,167,145,122,68,43,35,25,5,1,23
2023-03,휴일,51,88,40,54,84,91,96,102,101,101,119,94,71,62,44,24,18,14,3,0,8
2023-04,평일,68,119,68,89,103,117,133,130,131,154,207,181,151,130,72,46,36,24,6,1,20
2023-04,휴일,57,94,43,51,88,94,100,95,102,104,108,105,80,62,59,34,23,16,4,0,10
2023-05,평일,66,44,65,83,102,134,129,133,132,149,185,164,150,121,72,41,32,22,5,1,23
2023-05,휴일,58,28,43,56,87,86,92,86,93,84,84,82,69,54,45,32,18,14,4,0,8
2023-06,평일,63,44,66,89,106,125,131,133,126,145,185,177,152,126,73,39,38,21,6,1,22
2023-06,휴일,55,32,41,56,93,116,107,114,106,99,106,98,80,61,46,39,24,14,3,0,8
2023-07,평일,61,45,69,86,102,114,122,124,120,138,174,167,135,127,66,36,33,19,6,1,21
2023-07,휴일,53,30,35,56,78,88,83,77,86,75,77,70,57,48,33,26,21,12,4,0,10
2023-08,평일,63,42,62,88,97,107,120,116,108,118,169,158,135,113,64,34,34,14,5,1,23
2023-08,휴일,53,30,42,51,74,85,82,85,83,70,74,73,66,52,39,24,23,11,3,0,8
2023-09,평일,61,41,63,83,102,116,128,123,121,138,178,157,146,116,71,36,37,17,6,1,21
2023-09,휴일,49,29,46,56,81,86,94,91,91,83,87,81,72,65,43,23,22,13,4,0,9
2023-10,평일,62,40,67,90,101,117,129,128,136,154,199,175,158,125,68,41,39,19,7,1,22
2023-10,휴일,53,28,45,57,84,94,94,95,111,99,115,105,84,64,48,30,24,10,3,0,9
2023-11,평일,65,37,68,87,107,122,131,130,128,155,205,184,164,130,69,40,36,20,7,1,22
2023-11,휴일,50,23,41,49,83,87,95,100,115,98,104,92,73,60,38,23,27,10,5,0,8
2023-12,평일,59,33,64,81,91,113,129,121,121,156,197,169,162,121,64,40,40,19,6,1,21
2023-12,휴일,49,20,37,41,81,94,115,98,103,98,105,87,70,54,40,28,23,14,2,0,10
