월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,67,43,77,83,91,73,57,65,60,61,72,70,66,50,44,29,17,6,2,,22
2021-07,휴일,44,28,47,58,65,55,51,47,49,46,48,48,48,37,31,24,17,6,2,,9
2021-08,평일,66,41,70,77,90,74,57,66,59,61,68,66,60,53,42,25,14,5,2,,22
2021-08,휴일,45,28,46,57,64,58,50,52,45,47,56,55,54,44,29,24,15,7,2,,9
2021-09,평일,61,37,76,81,91,77,60,72,62,70,74,73,66,60,41,25,14,5,2,,22
2021-09,휴일,42,28,54,66,90,72,64,53,59,56,59,62,56,53,31,19,14,7,2,,8
2021-10,평일,64,42,80,86,105,92,69,77,73,81,86,80,76,60,41,23,10,5,2,,21
2021-10,휴일,42,30,50,63,86,81,77,69,68,61,68,72,62,37,25,17,14,5,2,,10
2021-11,평일,64,40,82,91,104,93,70,71,74,80,82,74,64,53,34,20,10,4,2,,22
2021-11,휴일,43,27,47,60,85,82,73,65,68,67,70,67,50,36,22,22,11,5,2,,8
2021-12,평일,56,40,76,81,95,84,65,70,74,69,81,71,60,47,30,18,10,4,1,,23
2021-12,휴일,33,25,34,48,62,65,59,62,58,53,51,47,35,21,18,13,10,3,1,,8
2022-01,평일,55,36,74,81,89,82,69,71,73,69,77,69,58,47,34,16,9,3,2,0,21
2022-01,휴일,36,24,33,46,67,66,67,61,56,53,52,50,46,26,17,15,10,3,2,0,10
2022-02,평일,54,35,70,81,85,74,66,72,72,73,74,71,56,53,32,17,11,4,1,0,20
2022-02,휴일,35,28,36,52,75,72,65,66,71,48,59,52,48,31,18,18,10,3,2,0,8
2022-03,평일,59,37,74,90,90,79,67,66,83,70,83,73,66,56,32,20,12,5,3,0,23
2022-03,휴일,36,26,34,58,71,62,56,59,60,52,56,50,50,28,23,16,10,5,2,0,8
2022-04,평일,68,44,90,100,115,97,74,69,94,86,92,88,80,64,41,28,16,7,4,0,21
2022-04,휴일,46,33,54,73,102,95,80,75,80,75,80,74,63,50,33,25,17,6,4,0,9
2022-05,평일,75,46,98,112,129,99,80,82,91,86,95,88,81,66,50,37,21,9,3,0,22
2022-05,휴일,52,36,62,84,109,103,79,81,84,78,84,78,64,48,39,35,18,8,3,0,9
2022-06,평일,75,47,94,105,119,96,83,82,88,77,92,85,80,65,48,38,22,12,4,0,22
2022-06,휴일,56,42,62,85,107,99,82,78,78,82,76,76,72,50,47,39,22,14,4,0,8
2022-07,평일,77,50,97,111,122,91,78,84,84,80,90,85,81,64,49,41,25,14,4,0,21
2022-07,휴일,55,41,56,84,91,90,77,75,66,71,72,67,64,47,37,37,25,13,4,0,10
2022-08,평일,69,46,91,103,115,87,77,74,82,80,93,85,80,62,43,29,18,11,3,1,23
2022-08,휴일,58,39,58,76,89,82,62,78,72,64,71,69,74,56,40,32,23,12,4,0,8
2022-09,평일,73,53,92,109,127,96,86,82,89,91,97,99,84,72,50,34,18,11,4,1,22
2022-09,휴일,50,34,54,72,96,95,85,81,76,74,74,81,72,56,41,34,21,12,4,0,8
2022-10,평일,74,49,98,109,134,107,85,92,99,91,99,101,83,64,44,33,14,11,3,0,21
2022-10,휴일,61,40,63,88,110,96,79,78,84,89,78,91,66,44,33,33,20,11,3,0,10
2022-11,평일,71,50,92,110,132,100,83,92,98,91,97,105,79,57,40,26,16,7,2,0,22
2022-11,휴일,53,32,54,78,102,96,78,88,76,78,74,75,63,37,25,23,14,8,3,0,8
2022-12,평일,70,45,84,97,117,93,87,79,90,86,98,87,75,51,34,25,15,7,2,0,22
2022-12,휴일,49,32,43,56,88,83,90,73,80,72,69,75,53,33,23,25,12,8,2,0,9
2023-01,평일,62,46,80,83,104,85,82,80,90,84,92,83,69,52,32,21,11,5,3,0,22
2023-01,휴일,42,29,40,53,76,76,58,66,64,64,53,55,41,26,18,16,10,4,2,0,9
