월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,32,24,62,77,76,81,66,58,60,69,85,83,57,38,25,15,13,6,1,,22
2021-07,휴일,20,20,27,35,43,46,45,39,30,35,31,28,23,14,13,8,6,4,1,,9
2021-08,평일,28,24,62,75,70,82,72,56,58,70,86,79,49,39,23,14,11,4,1,,22
2021-08,휴일,20,16,29,36,40,48,40,38,32,33,31,29,23,16,13,7,7,3,1,,9
2021-09,평일,27,21,55,70,74,88,74,63,73,76,99,89,53,38,23,14,11,5,1,,22
2021-09,휴일,22,18,29,40,51,61,54,45,40,41,43,38,32,18,11,9,10,3,1,,8
2021-10,평일,30,24,59,75,81,93,80,72,77,82,109,103,66,43,23,15,13,6,1,,21
2021-10,휴일,22,17,28,42,51,58,57,49,47,46,47,42,31,19,13,8,9,3,1,,10
2021-11,평일,29,25,62,75,84,97,86,75,82,86,115,104,65,41,24,14,10,8,1,,22
2021-11,휴일,22,18,27,41,55,60,64,53,44,51,47,40,34,18,12,10,7,3,1,,8
2021-12,평일,28,24,57,67,71,84,79,66,82,84,112,96,62,41,20,14,13,6,1,,23
2021-12,휴일,17,18,19,32,43,46,47,40,38,44,42,30,25,14,10,7,6,3,1,,8
2022-01,평일,29,25,54,68,70,85,78,67,80,86,113,90,62,42,21,14,15,5,0,0,21
2022-01,휴일,18,18,22,36,46,53,49,48,41,43,45,34,29,14,10,7,8,2,0,0,10
2022-02,평일,26,22,49,69,71,77,73,63,70,78,102,91,55,39,22,13,13,5,1,0,20
2022-02,휴일,18,20,24,39,48,50,53,52,47,44,36,39,24,12,12,6,6,3,1,0,8
2022-03,평일,31,25,55,74,71,83,78,70,75,80,106,91,59,42,21,14,13,6,2,0,23
2022-03,휴일,16,20,25,39,47,48,46,48,43,42,34,36,28,17,12,7,6,2,1,0,8
2022-04,평일,37,26,65,86,92,98,90,73,86,88,117,99,70,43,26,19,14,7,2,0,21
2022-04,휴일,25,20,34,49,60,61,62,57,54,51,50,45,32,25,15,12,9,6,1,0,9
2022-05,평일,42,26,67,84,99,112,106,79,95,99,119,107,77,49,32,23,17,10,1,0,22
2022-05,휴일,25,22,39,48,64,67,66,58,46,53,46,54,34,25,21,14,7,6,1,0,9
2022-06,평일,44,25,65,80,96,103,92,76,89,86,108,95,71,47,32,21,18,12,2,0,22
2022-06,휴일,29,24,36,54,66,73,66,53,53,52,44,46,42,21,20,16,12,6,0,0,8
2022-07,평일,44,26,66,85,99,109,94,78,90,92,113,95,78,45,30,23,18,10,3,0,21
2022-07,휴일,29,23,34,49,67,68,59,51,44,44,37,38,31,19,20,15,11,6,0,0,10
2022-08,평일,40,22,61,81,90,93,83,74,82,86,104,91,69,43,26,18,17,10,2,0,23
2022-08,휴일,28,22,35,49,63,65,60,53,49,45,39,40,34,19,17,12,12,6,1,0,8
2022-09,평일,42,22,66,85,98,106,89,80,90,92,114,97,69,47,32,18,18,11,2,0,22
2022-09,휴일,29,20,30,44,60,67,55,52,48,43,41,37,34,24,19,15,9,7,1,0,8
2022-10,평일,44,27,67,82,100,108,91,82,90,101,117,106,73,49,27,19,19,9,2,0,21
2022-10,휴일,28,26,34,52,70,78,66,59,58,51,49,51,39,26,18,22,8,7,1,0,10
2022-11,평일,44,32,65,84,100,110,93,83,94,102,124,109,74,48,26,21,20,8,1,0,22
2022-11,휴일,28,22,33,52,73,69,69,58,60,52,48,52,39,20,15,11,12,3,0,0,8
2022-12,평일,37,29,61,78,89,100,87,84,100,113,130,108,73,46,25,22,23,9,1,0,22
2022-12,휴일,23,23,27,40,56,72,71,64,58,54,55,55,40,18,17,12,12,5,1,0,9
2023-01,평일,34,27,53,68,80,97,81,80,88,104,125,95,65,45,18,18,18,7,1,0,22
2023-01,휴일,23,22,21,37,51,55,51,49,51,46,48,38,29,16,14,11,9,3,1,0,9
2023-02,평일,37,53,60,86,97,112,98,92,109,120,138,115,81,56,25,24,19,8,1,0,20
2023-02,휴일,26,40,26,50,69,81,77,66,59,58,61,54,37,25,17,17,10,3,1,0,8
2023-03,평일,45,98,66,91,106,115,96,93,108,115,142,105,80,60,33,25,21,9,1,0,23
2023-03,휴일,27,71,30,53,70,81,76,70,59,56,65,62,41,28,20,18,9,3,1,0,8
2023-04,평일,47,92,72,94,117,115,98,93,99,118,147,116,83,59,35,28,21,8,1,1,20
2023-04,휴일,32,72,31,55,81,83,79,71,60,62,59,56,41,31,24,14,11,6,1,0,10
2023-05,평일,45,34,65,93,120,125,103,91,103,119,139,108,82,64,34,29,22,11,1,0,23
