월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,113,93,163,176,205,208,158,155,153,158,138,104,79,62,38,29,14,8,2,,22
2021-07,휴일,56,66,69,104,131,133,113,108,91,87,76,62,56,46,31,22,11,5,2,,9
2021-08,평일,110,87,151,167,199,199,170,156,153,167,147,97,73,58,37,25,13,8,1,,22
2021-08,휴일,53,61,69,108,122,130,122,102,93,89,84,66,56,49,30,18,8,5,2,,9
2021-09,평일,110,83,154,167,206,204,177,178,170,172,154,108,81,60,38,27,10,8,2,,22
2021-09,휴일,62,66,79,117,153,166,154,132,108,107,91,80,60,49,35,20,12,6,2,,8
2021-10,평일,114,87,162,197,225,227,191,191,188,193,169,112,85,63,37,24,15,9,2,,21
2021-10,휴일,58,61,78,116,166,174,161,142,122,112,96,80,60,50,27,17,9,7,2,,10
2021-11,평일,114,91,170,200,221,220,198,194,185,200,166,121,82,55,36,25,14,9,3,,22
2021-11,휴일,57,64,76,108,164,186,160,150,143,124,101,95,68,46,26,19,11,5,2,,8
2021-12,평일,111,83,153,172,200,206,188,185,193,194,168,115,84,51,31,23,12,8,2,,23
2021-12,휴일,51,53,58,79,133,133,127,125,117,99,82,71,55,38,24,13,9,5,2,,8
2022-01,평일,102,80,135,174,193,203,181,176,180,192,170,108,80,54,33,23,15,8,1,0,21
2022-01,휴일,47,54,62,76,140,147,140,141,132,104,86,77,55,41,26,16,9,4,2,0,10
2022-02,평일,99,75,141,174,188,181,157,164,173,173,157,105,75,53,30,23,11,7,2,0,20
2022-02,휴일,50,51,65,91,139,148,132,133,125,108,85,76,52,37,24,13,9,6,2,0,8
2022-03,평일,104,81,149,181,204,196,174,170,180,175,159,103,78,58,33,25,12,7,3,0,23
2022-03,휴일,50,54,63,94,136,148,134,142,122,105,85,70,51,48,26,13,8,5,3,0,8
2022-04,평일,121,97,169,208,239,229,190,195,201,186,180,120,92,67,40,27,15,9,4,0,21
2022-04,휴일,65,68,90,126,179,182,167,157,139,115,96,83,60,49,37,19,11,6,2,0,9
2022-05,평일,126,106,176,231,256,251,206,205,202,194,186,124,102,74,48,33,19,11,5,0,22
2022-05,휴일,70,68,89,136,198,202,170,161,132,110,97,90,71,55,38,21,15,6,3,0,9
2022-06,평일,127,102,172,227,249,243,204,203,192,191,177,127,95,74,44,31,19,11,5,0,22
2022-06,휴일,69,71,100,140,199,203,175,169,142,114,113,92,72,54,40,22,16,5,3,0,8
2022-07,평일,125,105,181,230,263,243,214,217,194,178,182,129,102,78,49,33,20,10,4,1,21
2022-07,휴일,66,72,98,135,175,182,173,150,121,106,98,87,76,47,40,24,14,5,4,0,10
2022-08,평일,115,98,162,211,238,232,198,205,198,176,184,117,96,66,45,28,17,7,4,0,23
2022-08,휴일,69,70,92,134,180,185,168,155,128,102,99,91,71,49,39,20,13,4,4,0,8
2022-09,평일,121,99,183,225,255,249,208,216,206,193,197,131,104,79,46,31,18,10,4,1,22
2022-09,휴일,68,69,90,127,169,174,152,143,127,111,99,92,64,53,34,21,13,4,4,0,8
2022-10,평일,130,97,189,235,260,250,223,233,218,202,200,135,100,70,44,31,17,10,3,0,21
2022-10,휴일,83,75,98,146,206,203,187,181,157,119,114,101,78,47,35,20,10,6,2,0,10
2022-11,평일,129,95,192,234,257,251,220,235,225,198,203,126,101,66,45,29,16,9,4,1,22
2022-11,휴일,68,69,93,132,181,192,185,174,148,127,113,96,73,46,34,20,8,5,3,0,8
2022-12,평일,117,91,169,211,233,238,223,230,224,208,205,137,100,66,38,28,16,10,4,0,22
2022-12,휴일,59,64,75,106,160,190,189,181,151,127,126,103,79,48,35,21,13,9,3,0,9
2023-01,평일,109,83,151,190,218,215,215,211,211,202,203,131,94,62,42,26,15,8,4,0,22
2023-01,휴일,55,60,65,95,147,154,149,145,129,106,93,89,59,44,28,18,11,5,3,0,9
2023-02,평일,125,113,177,237,248,253,240,249,242,219,221,146,102,76,50,30,18,10,4,0,20
2023-02,휴일,67,83,80,136,190,209,200,190,162,136,126,111,75,53,37,20,12,7,4,0,8
2023-03,평일,139,150,185,253,273,276,248,269,236,218,213,151,109,80,53,32,19,11,5,0,23
2023-03,휴일,71,110,89,139,211,229,215,188,161,138,127,105,71,54,39,23,14,7,4,0,8
2023-04,평일,148,156,198,265,281,265,238,266,230,213,208,145,111,80,49,35,20,11,4,1,20
2023-04,휴일,87,122,101,156,210,221,186,185,158,133,117,104,76,58,41,28,14,10,3,0,10
2023-05,평일,145,98,186,247,284,274,248,253,229,205,208,145,113,84,53,34,20,10,5,0,23
2023-05,휴일,87,72,102,150,195,204,176,168,144,123,115,102,74,55,44,26,18,6,4,0,8
2023-06,평일,151,105,198,248,292,264,236,253,223,206,207,149,112,81,53,37,23,11,7,1,22
2023-06,휴일,87,77,106,156,228,236,194,184,147,116,112,106,80,66,41,27,14,9,4,0,8
2023-07,평일,149,109,198,251,277,259,249,251,209,199,205,146,114,83,51,37,22,10,7,1,21
2023-07,휴일,82,74,102,135,195,202,177,166,127,105,108,101,70,52,43,27,14,9,4,0,10
2023-08,평일,140,106,187,245,263,239,226,240,194,187,193,140,105,79,51,32,19,9,6,1,23
2023-08,휴일,83,79,109,146,204,205,183,175,140,111,109,102,72,54,46,21,15,7,5,0,8
2023-09,평일,141,106,191,262,274,255,241,266,226,206,206,142,115,86,54,34,19,10,6,1,21
2023-09,휴일,79,73,104,154,213,209,192,181,148,132,119,114,81,63,41,25,16,9,4,0,9
2023-10,평일,144,106,193,266,285,272,246,288,238,215,215,150,117,79,52,31,21,11,5,1,22
2023-10,휴일,88,85,104,155,221,243,199,203,157,129,116,101,78,59,34,23,14,8,5,0,9
2023-11,평일,147,109,199,269,275,251,244,289,234,216,228,155,122,78,51,30,21,11,5,2,22
2023-11,휴일,82,80,93,142,199,200,193,180,149,131,128,99,74,49,36,20,12,8,4,0,8
