월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,55,27,60,79,108,121,107,99,115,133,164,128,129,79,53,35,28,12,3,,22
2021-07,휴일,37,23,32,44,62,64,74,76,65,56,50,49,37,30,26,20,16,8,2,,9
2021-08,평일,52,26,58,76,108,114,112,101,122,139,154,126,131,81,53,32,24,12,1,,22
2021-08,휴일,40,20,30,37,58,61,71,73,64,58,53,48,40,38,25,15,13,6,1,,9
2021-09,평일,51,24,56,76,111,118,112,111,128,142,165,131,121,90,57,36,31,15,2,,22
2021-09,휴일,39,21,36,51,67,74,94,88,82,72,62,60,47,35,34,23,16,10,2,,8
2021-10,평일,53,24,59,95,119,133,134,119,139,163,183,142,136,100,58,43,34,23,2,,21
2021-10,휴일,39,18,37,51,74,84,91,95,92,76,72,65,44,40,34,23,18,14,2,,10
2021-11,평일,58,23,55,94,121,132,129,127,148,173,191,148,142,104,64,48,39,23,6,,22
2021-11,휴일,42,18,36,55,79,84,97,110,99,88,84,74,50,40,35,29,21,11,2,,8
2021-12,평일,55,22,54,84,109,115,122,114,140,162,178,143,131,90,64,44,39,17,4,,23
2021-12,휴일,37,14,27,38,64,70,70,85,82,67,71,51,45,34,29,24,20,6,1,,8
2022-01,평일,50,22,51,82,105,112,120,108,136,163,178,140,128,89,60,46,38,11,1,0,21
2022-01,휴일,33,15,29,37,71,71,77,90,84,73,69,60,47,34,31,22,16,6,1,0,10
2022-02,평일,50,22,51,77,101,98,108,105,122,148,160,124,121,92,55,43,35,14,1,0,20
2022-02,휴일,33,14,28,40,68,70,73,91,82,71,67,55,49,36,32,25,16,9,1,0,8
2022-03,평일,51,24,53,80,102,106,103,104,124,141,158,125,112,86,54,39,28,17,4,0,23
2022-03,휴일,36,16,26,40,64,69,73,86,74,70,64,52,44,33,27,19,15,11,3,0,8
2022-04,평일,60,24,61,93,120,126,120,115,137,160,176,136,133,98,68,51,37,23,5,0,21
2022-04,휴일,40,19,36,56,84,95,95,100,96,87,82,68,52,43,44,29,22,14,3,0,9
2022-05,평일,61,31,66,99,130,138,130,132,143,171,184,141,140,107,73,60,46,26,5,0,22
2022-05,휴일,46,21,35,67,95,94,93,102,102,88,85,72,51,48,44,38,30,14,3,0,9
2022-06,평일,60,28,68,94,124,134,128,136,145,165,183,149,135,102,72,66,53,26,6,1,22
2022-06,휴일,45,23,40,66,96,99,90,104,98,90,90,80,55,51,54,38,32,16,3,0,8
2022-07,평일,62,28,73,98,121,134,128,140,148,165,197,151,141,109,70,64,52,28,5,1,21
2022-07,휴일,47,21,41,61,81,89,89,100,93,84,81,70,58,41,40,36,30,14,2,0,10
2022-08,평일,58,26,67,86,114,123,129,133,134,157,183,139,135,105,69,58,38,20,5,1,23
2022-08,휴일,44,22,39,64,77,93,84,96,100,87,79,70,57,45,43,32,25,12,3,0,8
2022-09,평일,58,28,69,97,120,134,132,132,145,170,192,148,136,110,72,60,46,22,6,0,22
2022-09,휴일,42,19,37,58,77,88,86,94,86,81,76,74,54,43,44,31,23,13,2,0,8
2022-10,평일,59,33,76,103,125,142,139,147,152,172,203,154,143,115,73,64,45,22,5,1,21
2022-10,휴일,49,23,48,63,90,109,98,114,108,94,100,79,69,49,50,61,44,26,5,0,10
2022-11,평일,56,33,74,98,130,145,139,146,146,173,211,152,148,122,76,63,48,22,5,1,22
2022-11,휴일,45,22,39,66,88,105,102,108,103,105,89,83,62,46,50,32,32,16,2,0,8
2022-12,평일,53,30,73,90,115,139,143,146,152,185,224,164,147,114,86,84,64,32,6,1,22
2022-12,휴일,37,19,35,55,70,100,98,107,109,116,105,99,71,49,59,45,38,18,4,0,9
2023-01,평일,51,26,70,83,109,127,129,130,134,164,195,133,132,99,68,49,42,23,4,0,22
2023-01,휴일,36,17,32,48,62,81,74,89,84,77,72,64,50,32,37,28,26,14,2,0,9
2023-02,평일,57,54,79,95,127,147,152,150,154,186,223,163,152,116,79,66,52,26,8,1,20
2023-02,휴일,41,37,38,58,93,101,103,118,109,114,102,80,65,47,51,37,33,16,3,0,8
2023-03,평일,62,100,80,109,141,149,150,153,154,181,217,162,147,111,84,68,50,28,6,1,23
2023-03,휴일,45,71,40,69,94,113,112,117,105,109,100,86,65,50,53,38,33,15,3,0,8
2023-04,평일,65,94,84,109,144,150,146,149,158,179,215,160,149,115,82,68,49,26,8,1,20
2023-04,휴일,48,73,48,66,101,118,110,114,107,99,91,80,67,48,48,32,31,13,3,0,10
2023-05,평일,65,31,81,110,140,144,140,147,159,177,205,161,137,108,77,65,48,23,6,0,23
2023-05,휴일,51,23,46,70,93,105,104,107,107,103,86,82,60,45,51,43,38,17,4,0,8
2023-06,평일,71,32,83,111,136,148,144,146,156,184,215,151,142,113,78,71,53,24,7,1,22
2023-06,휴일,56,24,51,75,99,110,101,120,122,102,107,79,62,52,49,47,36,16,5,0,8
2023-07,평일,66,31,80,108,134,146,138,144,154,171,209,163,148,108,75,65,51,23,7,1,21
2023-07,휴일,49,21,46,61,84,99,88,103,86,92,76,75,60,43,46,38,28,15,6,0,10
2023-08,평일,62,30,76,108,128,132,131,138,143,150,198,138,138,109,72,63,48,20,6,1,23
2023-08,휴일,48,22,48,63,93,92,96,98,97,90,83,68,61,45,43,39,28,12,6,0,8
2023-09,평일,63,28,80,113,134,150,142,141,155,168,209,150,146,114,75,67,48,20,5,1,21
2023-09,휴일,49,23,49,69,94,102,98,105,105,93,96,92,71,52,47,35,24,12,5,0,9
2023-10,평일,64,27,82,114,144,149,145,151,162,176,214,156,150,114,74,63,49,20,7,1,22
2023-10,휴일,50,19,49,72,103,110,105,117,108,113,95,92,72,49,50,69,45,17,7,0,9
2023-11,평일,59,27,83,120,139,153,144,151,161,179,232,169,166,125,81,69,54,22,7,2,22
2023-11,휴일,46,21,44,67,95,109,106,112,107,99,91,85,71,44,41,43,28,13,6,0,8
2023-12,평일,55,24,77,99,125,152,149,151,174,199,230,168,167,118,82,91,62,28,8,2,21
2023-12,휴일,40,16,41,53,76,107,107,110,109,121,107,98,67,50,53,52,38,16,5,0,10
