월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,96,85,106,139,180,152,138,127,132,125,117,110,102,76,46,29,24,12,1,,22
2021-07,휴일,59,53,57,75,107,102,88,82,71,72,60,64,51,44,31,18,12,9,1,,9
2021-08,평일,91,78,104,136,171,154,135,126,135,129,121,106,96,78,46,24,20,11,1,,22
2021-08,휴일,62,53,51,74,99,106,84,83,75,75,67,56,58,46,34,17,15,7,1,,9
2021-09,평일,87,72,103,129,172,159,140,132,142,134,134,116,100,76,49,28,20,12,1,,22
2021-09,휴일,63,53,65,90,122,122,101,101,85,85,86,71,76,54,40,20,13,7,1,,8
2021-10,평일,94,73,108,148,197,172,153,142,159,152,149,135,110,80,53,32,20,13,2,,21
2021-10,휴일,62,51,63,88,124,137,123,105,101,101,101,94,83,62,40,27,17,11,2,,10
2021-11,평일,94,73,114,146,196,179,161,154,165,162,151,148,124,83,48,29,21,14,4,,22
2021-11,휴일,60,50,64,90,131,133,122,118,109,111,104,111,83,57,38,24,17,9,3,,8
2021-12,평일,87,72,105,128,170,168,152,150,161,149,145,135,109,72,44,26,21,11,2,,23
2021-12,휴일,50,41,47,66,105,113,92,90,89,81,80,66,64,40,32,15,15,8,2,,8
2022-01,평일,79,73,102,125,163,169,147,147,164,150,135,120,102,72,42,25,18,8,1,0,21
2022-01,휴일,50,46,46,68,117,112,97,100,90,87,76,72,62,41,30,15,15,5,1,0,10
2022-02,평일,78,65,96,123,162,146,138,132,149,139,126,116,91,69,40,24,16,8,1,0,20
2022-02,휴일,51,45,49,75,114,108,92,99,95,84,74,72,58,45,33,17,12,7,2,0,8
2022-03,평일,88,70,98,128,176,158,144,147,149,139,132,117,98,74,45,23,16,12,2,0,23
2022-03,휴일,51,44,52,72,110,105,94,88,87,78,66,68,54,44,28,16,11,8,1,0,8
2022-04,평일,96,76,119,149,202,178,165,160,163,150,148,130,110,79,54,29,21,15,3,0,21
2022-04,휴일,64,53,66,96,136,142,112,103,101,89,84,82,74,51,45,25,18,11,3,0,9
2022-05,평일,98,87,127,157,215,190,166,174,166,151,146,136,122,86,56,37,29,13,4,0,22
2022-05,휴일,66,60,73,109,158,149,117,103,102,98,91,88,72,54,41,28,23,10,3,0,9
2022-06,평일,93,86,122,160,209,182,171,164,165,151,143,128,122,88,57,37,25,14,5,1,22
2022-06,휴일,70,64,76,110,153,149,119,118,110,88,96,86,81,61,50,32,20,13,5,0,8
2022-07,평일,95,93,119,169,219,190,176,165,161,157,153,146,123,86,55,33,26,15,4,1,21
2022-07,휴일,65,58,73,107,138,135,110,110,104,85,77,73,66,54,37,24,18,13,5,0,10
2022-08,평일,90,87,115,157,204,173,168,157,151,147,143,130,112,78,51,30,23,15,3,1,23
2022-08,휴일,68,56,73,108,140,139,114,107,97,81,80,74,66,57,40,26,20,12,3,0,8
2022-09,평일,93,88,120,161,216,187,174,169,170,161,159,141,119,90,58,32,25,16,4,1,22
2022-09,휴일,61,53,70,103,134,139,108,104,105,97,88,91,64,58,48,28,19,9,5,0,8
2022-10,평일,98,93,126,165,216,188,191,182,171,166,165,165,132,99,60,38,28,15,5,1,21
2022-10,휴일,67,64,73,108,156,156,124,132,136,133,137,131,117,86,64,52,46,17,6,0,10
2022-11,평일,97,93,124,165,220,194,195,178,178,177,166,166,130,84,54,33,25,12,4,1,22
2022-11,휴일,62,61,71,107,150,147,134,120,126,112,112,106,82,63,44,27,23,11,4,0,8
2022-12,평일,87,85,117,152,191,193,188,180,182,174,169,159,121,81,53,34,29,16,4,1,22
2022-12,휴일,55,52,56,83,125,144,134,122,110,104,101,91,69,50,42,27,22,17,4,0,9
2023-01,평일,81,74,110,138,174,169,163,158,170,161,148,137,110,78,48,30,25,13,4,1,22
2023-01,휴일,49,48,48,72,115,129,98,105,98,87,78,74,62,40,34,21,16,11,4,0,9
2023-02,평일,90,95,123,165,211,203,196,189,191,179,173,158,123,98,60,36,28,16,4,2,20
2023-02,휴일,56,68,58,97,159,164,136,133,122,105,106,96,84,58,40,26,20,14,5,0,8
2023-03,평일,92,117,136,167,216,204,193,193,195,176,168,160,131,92,64,34,29,17,4,2,23
2023-03,휴일,58,90,66,104,171,165,140,131,117,106,114,118,84,69,49,30,24,11,5,0,8
2023-04,평일,104,124,149,176,228,203,183,192,196,173,172,162,148,88,66,43,28,15,5,2,20
2023-04,휴일,70,96,78,112,171,161,137,129,122,103,103,92,84,69,62,37,26,12,6,0,10
2023-05,평일,99,93,140,173,229,207,188,178,183,162,164,156,131,97,66,44,28,17,6,1,23
2023-05,휴일,68,69,77,114,167,159,127,109,103,99,96,95,75,63,41,33,26,16,6,0,8
2023-06,평일,101,99,142,180,235,205,184,179,183,160,171,160,139,97,66,43,34,20,4,1,22
2023-06,휴일,66,72,83,128,185,166,137,123,129,112,104,128,134,81,52,41,33,16,3,0,8
2023-07,평일,106,89,144,179,221,203,187,167,183,150,155,148,134,89,61,40,33,20,4,1,21
2023-07,휴일,66,63,75,102,151,143,124,116,106,94,83,77,69,55,41,28,24,16,4,0,10
2023-08,평일,101,82,139,167,205,182,179,160,166,141,144,144,128,91,62,40,32,19,4,1,23
2023-08,휴일,63,62,78,108,150,141,121,115,99,90,83,89,77,56,46,35,28,13,4,0,8
2023-09,평일,104,84,139,164,216,188,195,169,171,163,166,158,135,94,70,44,29,16,4,1,21
2023-09,휴일,65,64,77,109,162,141,126,115,106,104,100,91,87,63,46,31,26,13,4,0,9
2023-10,평일,98,88,138,165,217,197,207,194,197,180,194,174,152,106,72,45,30,20,6,1,22
2023-10,휴일,64,65,73,117,168,163,142,140,142,160,173,166,135,107,87,56,33,25,8,0,9
2023-11,평일,107,86,145,169,223,198,205,185,192,183,196,175,134,88,65,36,29,23,5,1,22
2023-11,휴일,66,56,63,108,160,144,128,121,127,123,114,109,85,62,48,28,22,14,5,0,8
2023-12,평일,95,80,129,162,213,211,210,188,203,177,164,156,135,88,63,39,31,24,5,1,21
2023-12,휴일,55,52,58,96,147,149,145,130,114,106,108,103,81,53,45,28,24,17,6,0,10
