월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,62,33,79,102,132,146,143,123,128,149,172,181,167,128,67,43,32,14,4,,22
2021-07,휴일,42,26,44,51,84,85,93,74,69,78,68,58,56,43,31,25,25,11,1,,9
2021-08,평일,60,31,71,101,138,142,138,128,121,168,172,176,157,117,68,38,27,10,3,,22
2021-08,휴일,40,22,41,57,77,84,86,85,67,75,63,63,55,41,29,19,21,8,2,,9
2021-09,평일,59,30,70,104,139,150,148,132,151,178,183,179,163,116,71,40,27,14,3,,22
2021-09,휴일,45,22,43,73,101,105,103,104,88,92,71,77,63,50,34,22,23,9,2,,8
2021-10,평일,60,37,84,116,155,169,172,148,174,187,209,208,193,128,74,43,31,13,4,,21
2021-10,휴일,45,26,44,72,109,113,112,114,104,102,100,94,80,53,39,29,23,12,2,,10
2021-11,평일,62,33,87,119,165,165,175,152,180,197,216,231,200,128,77,47,35,17,6,,22
2021-11,휴일,44,25,47,72,108,121,111,124,116,108,108,105,74,60,39,34,26,11,3,,8
2021-12,평일,60,29,77,103,142,146,149,130,167,188,197,219,181,114,72,44,39,15,4,,23
2021-12,휴일,37,19,39,48,74,84,87,100,95,97,81,77,63,39,27,21,24,10,2,,8
2022-01,평일,56,26,72,98,130,144,139,131,177,191,199,203,178,120,73,45,40,9,3,0,21
2022-01,휴일,37,18,34,44,78,97,96,103,89,94,77,75,62,39,30,20,25,9,1,0,10
2022-02,평일,57,24,66,97,120,136,128,124,150,167,178,182,163,115,70,42,34,13,3,0,20
2022-02,휴일,39,16,37,56,78,95,93,109,98,94,73,77,60,45,35,24,21,10,2,0,8
2022-03,평일,59,24,73,100,127,145,148,136,192,197,203,220,216,144,83,46,34,18,5,0,23
2022-03,휴일,38,18,40,54,81,98,97,119,114,110,92,94,92,68,47,26,21,13,4,0,8
2022-04,평일,65,30,87,115,156,169,181,188,274,254,266,282,268,174,101,60,41,19,6,0,21
2022-04,휴일,47,23,48,72,112,116,117,143,165,152,127,124,139,85,55,33,28,14,3,0,9
2022-05,평일,73,36,90,128,172,182,202,226,260,248,274,280,255,167,103,62,50,21,7,0,22
2022-05,휴일,53,25,53,83,119,132,111,136,124,134,125,126,114,76,48,44,37,17,4,0,9
2022-06,평일,70,38,90,122,166,186,201,238,259,255,268,277,260,168,102,69,45,22,6,1,22
2022-06,휴일,53,32,60,83,117,137,127,142,149,135,130,160,129,76,60,48,36,18,5,0,8
2022-07,평일,72,38,88,126,166,183,201,236,255,261,275,277,251,170,99,66,46,23,7,2,21
2022-07,휴일,49,29,55,73,100,113,111,128,110,121,124,139,124,62,48,35,37,18,4,0,10
2022-08,평일,66,35,83,122,154,168,186,228,232,240,254,249,227,159,90,53,39,20,7,1,23
2022-08,휴일,50,26,50,68,101,118,112,127,125,121,108,128,119,65,56,34,32,13,2,0,8
2022-09,평일,68,38,87,126,169,185,196,237,227,241,248,242,230,162,92,55,39,17,5,1,22
2022-09,휴일,52,25,46,64,105,120,111,128,118,118,109,124,97,54,51,32,26,16,4,0,8
2022-10,평일,69,42,91,131,184,191,221,239,225,249,267,248,218,156,85,55,40,18,6,2,21
2022-10,휴일,57,30,56,80,119,146,132,147,152,156,142,135,103,65,50,41,31,14,4,0,10
2022-11,평일,68,39,93,128,182,185,204,245,224,246,265,249,224,150,82,54,40,17,7,2,22
2022-11,휴일,56,30,51,72,117,130,129,135,143,144,143,121,92,62,54,40,29,17,3,0,8
2022-12,평일,62,34,87,118,156,177,200,230,214,244,262,268,229,143,86,65,44,19,7,2,22
2022-12,휴일,42,23,43,58,96,121,129,135,139,146,151,146,97,64,56,45,29,17,6,0,9
2023-01,평일,58,34,80,108,150,173,176,175,192,214,241,240,207,140,81,53,34,18,6,3,22
2023-01,휴일,40,23,38,49,78,99,91,113,115,111,104,93,79,56,33,33,25,12,3,0,9
2023-02,평일,62,54,89,126,180,190,217,241,247,251,301,282,235,164,95,61,46,20,6,3,20
2023-02,휴일,53,36,43,71,114,132,136,142,150,141,144,124,103,66,60,38,30,15,4,0,8
2023-03,평일,65,88,90,127,187,200,225,245,241,241,287,285,239,165,101,62,43,21,7,3,23
