월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,43,26,50,65,92,99,99,84,91,130,165,121,115,72,41,35,26,12,3,,22
2021-07,휴일,27,16,24,38,44,49,50,47,50,51,46,37,35,27,19,18,14,5,1,,9
2021-08,평일,39,24,49,62,86,98,101,80,93,133,158,118,115,67,40,31,23,11,2,,22
2021-08,휴일,27,15,26,38,43,52,48,49,48,45,42,37,33,26,22,16,11,3,1,,9
2021-09,평일,37,21,46,60,86,98,102,91,100,138,163,125,105,66,43,29,24,13,2,,22
2021-09,휴일,27,16,29,44,53,61,61,63,58,57,64,53,43,30,21,21,16,5,1,,8
2021-10,평일,43,24,51,68,91,107,117,97,114,154,186,137,119,72,43,32,28,14,3,,21
2021-10,휴일,28,15,30,40,56,68,67,79,69,70,71,67,50,44,30,19,17,8,2,,10
2021-11,평일,44,23,53,69,94,109,121,109,123,168,198,151,126,78,45,33,25,12,3,,22
2021-11,휴일,27,13,32,40,62,67,70,90,94,95,86,72,60,50,37,29,21,8,3,,8
2021-12,평일,42,20,50,69,102,115,126,112,136,166,208,152,121,72,41,34,26,12,3,,23
2021-12,휴일,22,12,21,36,56,63,61,76,86,74,66,60,46,41,28,21,18,6,1,,8
2022-01,평일,39,19,45,58,90,108,116,108,125,168,202,144,125,79,43,37,27,8,3,0,21
2022-01,휴일,20,10,23,34,51,57,58,74,71,66,64,50,41,30,21,22,14,4,2,0,10
2022-02,평일,34,18,45,54,86,97,111,97,109,150,179,131,122,79,41,33,26,10,3,0,20
2022-02,휴일,21,12,25,34,51,61,62,74,72,69,69,63,51,35,26,24,14,5,2,0,8
2022-03,평일,38,21,44,63,94,109,109,103,113,153,178,130,118,72,45,31,23,16,3,0,23
2022-03,휴일,19,12,26,37,54,59,57,66,75,76,66,59,48,34,30,21,14,10,1,0,8
2022-04,평일,42,21,49,68,102,127,124,112,131,176,221,161,144,88,51,37,29,16,4,0,21
2022-04,휴일,27,13,33,50,67,80,69,87,98,83,92,82,52,44,39,28,21,11,2,0,9
2022-05,평일,47,25,55,78,104,128,137,111,135,180,222,165,146,95,52,39,34,20,4,0,22
2022-05,휴일,26,15,33,55,74,81,67,90,98,94,83,79,60,44,37,30,23,14,2,0,9
2022-06,평일,45,23,53,75,106,128,127,110,130,174,215,162,143,91,51,38,35,20,4,0,22
2022-06,휴일,29,16,36,57,71,73,81,101,99,102,86,81,55,53,42,31,24,14,3,0,8
2022-07,평일,42,25,58,75,106,124,134,120,134,176,212,165,161,97,56,41,37,19,5,0,21
2022-07,휴일,24,19,31,51,62,70,61,80,88,81,81,63,58,45,33,30,23,10,3,0,10
2022-08,평일,41,25,51,72,99,123,122,115,128,162,211,160,148,86,48,34,29,18,5,1,23
2022-08,휴일,26,20,32,49,67,70,67,81,86,74,76,71,61,43,31,22,20,10,5,0,8
2022-09,평일,42,25,57,78,104,124,133,123,140,180,222,169,144,83,52,38,35,19,7,1,22
2022-09,휴일,24,16,33,46,68,73,61,84,90,78,84,63,55,46,36,28,24,10,4,0,8
2022-10,평일,46,24,56,84,113,130,137,126,142,193,227,182,158,84,57,41,37,18,6,1,21
2022-10,휴일,28,18,37,58,88,83,74,103,110,103,98,100,72,67,52,40,31,11,4,0,10
2022-11,평일,46,23,56,81,112,134,144,129,150,206,250,190,171,90,48,38,33,16,6,1,22
2022-11,휴일,28,17,34,52,74,78,72,94,109,108,100,84,68,56,47,34,32,11,3,0,8
2022-12,평일,41,24,57,74,104,129,131,131,152,206,249,185,171,86,56,49,41,19,7,1,22
2022-12,휴일,23,15,28,46,65,75,74,94,100,103,107,87,69,52,43,43,28,9,3,0,9
2023-01,평일,39,24,53,63,97,114,120,123,133,179,225,157,164,84,48,37,36,16,6,1,22
2023-01,휴일,20,16,26,38,54,65,61,86,89,89,74,55,54,40,27,22,20,8,4,0,9
2023-02,평일,43,97,63,77,116,124,148,145,154,206,254,209,183,101,61,43,43,20,8,1,20
2023-02,휴일,24,121,30,47,76,82,77,113,134,115,99,92,72,62,49,35,28,12,6,0,8
2023-03,평일,47,217,59,78,120,138,147,135,155,204,257,192,173,95,61,46,40,19,7,1,23
2023-03,휴일,29,237,33,56,80,87,76,104,120,122,101,88,67,51,52,34,26,10,4,0,8
2023-04,평일,51,211,66,83,121,137,141,130,143,205,250,183,165,98,63,52,40,20,6,1,20
2023-04,휴일,29,245,34,60,79,89,79,109,120,114,104,92,73,57,49,32,25,15,4,0,10
2023-05,평일,50,31,64,79,117,142,139,130,144,201,227,162,146,94,54,43,38,21,8,1,23
2023-05,휴일,28,22,34,51,74,80,75,90,100,94,97,80,68,55,52,30,26,13,4,0,8
2023-06,평일,54,31,62,82,117,133,138,131,139,201,227,162,149,91,55,51,39,22,7,1,22
2023-06,휴일,30,25,32,65,80,97,82,101,108,120,109,94,67,59,53,38,28,14,4,0,8
2023-07,평일,51,28,62,80,112,127,128,129,131,203,232,166,161,96,55,48,41,20,7,1,21
2023-07,휴일,29,22,34,53,68,79,72,88,89,92,88,69,58,47,38,26,23,10,2,0,10
2023-08,평일,44,28,58,77,111,110,129,124,128,197,216,153,149,92,53,44,38,19,6,1,23
2023-08,휴일,29,23,27,56,69,80,71,86,99,87,75,73,69,52,48,32,24,10,4,0,8
2023-09,평일,47,29,61,84,113,134,135,137,138,200,222,163,145,95,54,39,38,19,6,1,21
2023-09,휴일,33,22,33,59,76,89,77,92,112,112,105,88,71,57,43,32,24,11,4,0,9
2023-10,평일,48,30,66,87,117,132,146,127,146,210,228,181,151,93,54,44,36,18,6,1,22
