월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,72,53,104,137,157,130,101,95,94,90,127,103,85,56,31,25,22,17,3,,22
2021-07,휴일,40,29,54,72,97,99,89,77,56,58,60,61,48,35,26,24,21,12,1,,9
2021-08,평일,71,52,98,130,148,128,103,103,96,100,131,96,78,59,33,22,20,14,2,,22
2021-08,휴일,36,30,51,66,94,96,91,85,62,69,66,62,50,34,27,17,21,14,2,,9
2021-09,평일,68,48,106,131,156,144,121,118,117,114,151,102,82,63,36,23,22,16,3,,22
2021-09,휴일,39,29,56,96,120,125,116,99,85,79,84,79,58,44,30,19,26,18,2,,8
2021-10,평일,73,55,120,150,180,168,146,137,135,134,177,125,99,63,41,22,25,20,4,,21
2021-10,휴일,39,32,58,98,131,143,122,113,91,93,98,86,72,46,33,19,27,19,2,,10
2021-11,평일,78,58,121,150,176,169,147,139,135,130,184,137,108,65,36,22,21,16,3,,22
2021-11,휴일,36,33,55,98,143,152,134,115,103,94,94,89,72,50,34,25,27,14,3,,8
2021-12,평일,68,54,106,135,162,155,136,135,125,131,183,123,100,63,35,23,24,15,3,,23
2021-12,휴일,28,27,41,69,112,121,114,97,86,84,81,68,52,38,25,20,24,10,1,,8
2022-01,평일,69,45,109,131,157,149,135,134,135,130,174,128,101,72,34,24,25,15,1,0,21
2022-01,휴일,32,26,42,70,117,129,115,111,96,82,75,71,60,36,27,23,25,10,1,0,10
2022-02,평일,62,47,103,132,143,135,122,113,121,120,165,115,90,72,36,23,20,11,3,0,20
2022-02,휴일,32,30,46,80,116,125,124,109,101,80,83,77,56,40,26,23,22,12,1,0,8
2022-03,평일,67,50,103,144,163,144,129,129,137,118,173,126,99,80,38,25,16,14,3,0,23
2022-03,휴일,30,30,46,80,120,121,118,106,98,82,78,66,58,43,23,22,21,13,2,0,8
2022-04,평일,77,57,119,176,191,171,149,144,162,154,205,149,114,94,47,32,25,17,3,0,21
2022-04,휴일,43,32,63,116,162,162,154,129,121,106,113,98,76,54,40,32,26,16,2,0,9
2022-05,평일,84,66,130,190,210,193,164,148,172,160,210,162,120,99,52,36,29,18,5,0,22
2022-05,휴일,48,41,67,127,171,185,150,119,118,106,115,102,73,47,45,39,34,18,2,0,9
2022-06,평일,83,68,129,181,209,195,166,159,177,147,199,157,111,99,51,36,31,19,5,2,22
2022-06,휴일,52,47,76,132,175,182,171,127,128,107,116,98,72,54,40,38,32,22,3,0,8
2022-07,평일,88,70,126,184,211,189,167,151,163,140,200,152,108,92,48,35,34,21,6,2,21
2022-07,휴일,50,44,69,114,149,169,136,121,112,92,104,92,64,50,39,35,30,20,4,0,10
2022-08,평일,78,66,117,165,189,165,152,149,162,136,193,141,102,97,48,33,30,18,4,2,23
2022-08,휴일,47,44,67,110,149,159,143,122,104,97,100,84,67,46,42,29,30,20,3,0,8
2022-09,평일,81,67,126,184,208,195,171,166,171,158,210,160,117,113,54,34,32,17,5,2,22
2022-09,휴일,45,40,64,109,158,167,139,127,111,94,104,93,66,57,39,29,31,18,3,0,8
2022-10,평일,79,67,129,192,223,206,182,177,192,176,227,176,123,113,52,33,33,21,6,2,21
2022-10,휴일,54,44,76,127,189,182,175,151,146,119,129,107,80,64,45,32,32,20,4,0,10
2022-11,평일,77,65,128,187,218,209,171,178,193,177,236,180,118,106,50,32,30,18,5,2,22
2022-11,휴일,46,39,68,116,169,186,163,156,146,119,116,108,75,56,36,28,31,20,2,0,8
2022-12,평일,71,60,110,156,196,205,185,169,191,177,259,174,114,96,46,32,28,20,5,2,22
2022-12,휴일,36,32,56,91,144,184,185,149,141,117,127,98,74,50,35,27,28,23,4,0,9
2023-01,평일,70,56,99,145,173,188,171,170,185,166,232,162,98,89,43,33,29,21,4,2,22
2023-01,휴일,35,30,50,77,114,155,144,124,120,103,101,86,61,49,29,28,25,15,3,0,9
2023-02,평일,78,93,117,182,213,219,197,203,207,187,260,189,122,118,56,40,33,23,4,2,20
2023-02,휴일,41,59,63,107,169,212,178,163,152,127,131,110,75,61,42,29,32,16,4,0,8
2023-03,평일,91,143,132,198,232,233,199,202,202,191,258,193,130,127,62,42,33,25,5,3,23
2023-03,휴일,47,100,74,130,190,232,194,171,147,141,137,121,85,60,48,41,33,26,3,0,8
2023-04,평일,95,148,141,194,226,213,185,197,203,184,269,195,136,131,63,45,37,24,6,3,20
2023-04,휴일,61,108,83,128,188,206,171,154,139,123,144,112,87,70,57,39,36,21,4,0,10
2023-05,평일,86,66,148,190,235,218,182,182,176,168,236,174,128,128,64,47,44,23,6,2,23
2023-05,휴일,57,45,77,123,172,180,168,133,129,118,126,104,71,63,48,42,45,17,3,0,8
2023-06,평일,89,70,145,196,234,216,180,174,182,168,242,177,139,135,63,46,43,26,6,3,22
2023-06,휴일,61,48,84,137,193,218,176,146,129,118,123,117,80,75,55,47,46,20,5,0,8
2023-07,평일,93,69,141,194,214,204,170,178,182,163,235,173,118,127,57,48,46,26,6,2,21
2023-07,휴일,55,46,69,111,165,182,147,133,117,92,115,96,77,55,45,45,41,21,3,0,10
2023-08,평일,88,70,131,183,197,192,169,167,172,157,234,172,123,127,59,43,39,25,6,2,23
2023-08,휴일,61,44,76,120,155,179,158,139,126,106,108,102,83,61,44,39,45,19,4,0,8
2023-09,평일,91,68,153,194,218,209,179,175,186,183,238,180,131,121,58,52,39,20,5,3,21
2023-09,휴일,55,48,80,126,180,202,172,153,145,131,134,124,101,63,52,42,40,18,5,0,9
2023-10,평일,92,70,154,200,241,229,199,200,198,197,261,196,136,124,62,52,38,19,5,3,22
2023-10,휴일,58,49,87,133,195,221,191,157,150,127,138,126,90,65,57,42,41,17,5,0,9
2023-11,평일,84,68,156,199,236,222,196,192,208,198,271,212,137,118,55,45,39,20,6,3,22
2023-11,휴일,51,46,86,120,179,201,173,156,148,132,133,122,85,64,46,40,34,13,3,0,8
2023-12,평일,77,60,149,179,225,235,205,196,209,206,265,214,140,113,61,47,43,19,7,2,21
2023-12,휴일,36,37,71,102,170,212,196,168,150,138,139,130,82,59,48,41,38,16,6,0,10
