월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,24,8,27,38,47,47,46,51,57,60,79,115,81,72,50,28,17,7,1,,22
2021-07,휴일,22,8,10,20,27,27,35,54,34,35,37,40,35,32,18,12,9,8,0,,9
2021-08,평일,23,7,23,37,47,45,46,49,55,57,78,107,72,69,44,23,19,6,1,,22
2021-08,휴일,22,6,11,20,24,25,35,46,31,36,33,38,40,30,18,11,11,9,0,,9
2021-09,평일,24,6,21,38,53,51,52,50,63,67,82,107,74,66,44,25,20,8,1,,22
2021-09,휴일,21,7,12,24,33,32,43,59,41,42,42,41,36,32,20,13,13,10,0,,8
2021-10,평일,22,5,24,41,57,54,54,56,65,74,89,120,81,73,42,31,22,10,1,,21
2021-10,휴일,22,5,13,25,34,41,45,48,40,41,49,46,44,37,19,13,16,13,1,,10
2021-11,평일,21,7,26,43,55,56,53,58,72,75,102,121,88,72,46,27,28,9,1,,22
2021-11,휴일,20,6,16,24,35,40,42,57,42,51,46,51,44,34,24,19,13,14,1,,8
2021-12,평일,23,6,22,41,49,51,52,55,70,72,95,116,83,65,46,26,23,10,1,,23
2021-12,휴일,20,6,10,17,25,35,36,46,35,37,44,43,36,23,19,12,13,12,0,,8
2022-01,평일,21,8,20,38,52,48,54,53,63,72,93,124,89,70,45,28,26,7,1,0,21
2022-01,휴일,19,6,12,19,27,31,39,50,40,38,47,43,38,26,22,14,15,11,0,0,10
2022-02,평일,18,7,19,36,43,44,43,50,56,63,89,109,77,68,42,25,20,7,1,0,20
2022-02,휴일,19,5,11,24,29,34,38,51,37,33,47,44,35,28,18,12,13,10,0,0,8
2022-03,평일,20,6,22,40,49,47,47,54,62,69,83,108,77,69,42,26,19,7,1,0,23
2022-03,휴일,18,5,12,25,30,34,36,48,39,37,42,45,40,30,22,14,12,12,0,0,8
2022-04,평일,21,7,26,48,60,57,59,62,75,79,98,122,96,79,53,35,24,10,1,0,21
2022-04,휴일,19,5,15,29,38,40,48,62,45,48,52,52,49,35,28,18,15,13,1,0,9
2022-05,평일,24,7,28,49,63,61,60,65,77,80,105,128,98,79,57,38,30,10,1,0,22
2022-05,휴일,20,5,18,30,41,44,47,63,47,53,58,59,50,39,33,26,18,15,1,0,9
2022-06,평일,25,8,28,52,62,60,66,66,81,84,112,129,104,81,57,43,31,12,2,0,22
2022-06,휴일,22,5,16,31,41,51,44,68,54,51,61,59,52,38,30,25,20,13,1,0,8
2022-07,평일,26,10,30,51,64,63,62,63,79,86,110,132,109,82,58,39,29,12,2,0,21
2022-07,휴일,23,7,16,29,37,39,46,62,44,53,51,57,56,38,32,24,18,14,1,0,10
2022-08,평일,26,9,29,46,59,58,61,63,68,80,95,123,95,76,53,39,24,9,2,0,23
2022-08,휴일,22,5,15,28,42,36,42,58,44,47,54,57,50,37,32,24,16,13,2,0,8
2022-09,평일,27,8,31,48,69,62,64,65,83,85,102,131,97,80,54,41,24,9,2,0,22
2022-09,휴일,23,5,14,24,37,38,41,53,48,49,50,51,46,36,28,23,15,10,1,0,8
2022-10,평일,27,9,33,50,67,66,66,69,82,94,108,145,108,82,57,39,27,9,2,0,21
2022-10,휴일,23,6,17,30,48,51,50,70,51,54,61,67,56,38,30,26,16,13,2,0,10
2022-11,평일,24,10,34,51,74,70,67,74,85,98,112,165,104,82,58,42,27,9,3,0,22
2022-11,휴일,19,6,16,27,41,51,50,69,58,67,62,60,50,35,30,20,17,14,2,0,8
2022-12,평일,20,10,32,46,65,59,66,69,84,103,125,167,109,80,57,38,27,10,2,0,22
2022-12,휴일,18,6,13,21,35,42,47,68,61,68,70,66,55,35,28,27,16,13,2,0,9
2023-01,평일,23,6,30,44,56,60,58,63,80,89,107,153,96,76,54,38,24,10,2,0,22
2023-01,휴일,18,5,12,17,33,35,35,57,45,49,55,54,41,30,23,17,12,13,1,0,9
2023-02,평일,23,10,31,51,68,66,66,72,84,109,129,177,122,90,66,45,26,8,1,0,20
2023-02,휴일,20,10,14,24,43,44,50,70,57,64,74,69,57,42,28,22,17,13,1,0,8
2023-03,평일,27,17,34,52,72,67,72,75,96,111,128,177,112,93,69,42,31,9,1,0,23
2023-03,휴일,22,16,16,31,46,51,52,74,57,69,75,75,56,45,32,24,17,13,1,0,8
2023-04,평일,28,19,35,57,77,67,69,74,89,106,130,179,112,92,64,46,32,11,2,0,20
2023-04,휴일,22,16,18,32,50,43,50,67,52,67,68,71,56,46,35,27,20,14,1,0,10
2023-05,평일,27,9,35,53,76,64,70,70,89,103,121,158,111,93,63,48,28,9,2,0,23
2023-05,휴일,22,7,17,28,47,42,40,62,55,68,68,64,52,42,35,27,20,13,1,0,8
2023-06,평일,30,10,36,55,70,62,68,73,88,110,124,169,113,93,68,48,31,12,2,0,22
2023-06,휴일,25,7,21,31,51,52,44,70,55,71,68,71,58,48,37,27,23,16,1,0,8
2023-07,평일,29,10,34,53,66,65,62,69,85,103,125,169,116,93,64,49,26,11,2,0,21
2023-07,휴일,23,9,18,29,43,39,42,64,55,63,71,78,61,44,36,25,21,13,2,0,10
2023-08,평일,29,10,31,49,65,57,59,67,77,99,113,159,101,88,61,45,26,11,1,0,23
2023-08,휴일,22,7,21,27,42,39,43,66,58,64,68,72,59,50,32,28,14,15,1,0,8
2023-09,평일,28,11,31,50,66,60,70,71,85,99,118,159,109,88,63,48,26,11,2,0,21
2023-09,휴일,25,8,18,28,45,46,51,67,60,71,69,72,58,47,37,27,17,14,1,0,9
2023-10,평일,26,11,34,47,68,62,67,79,88,106,125,165,114,92,60,47,26,12,2,0,22
2023-10,휴일,22,10,20,30,47,50,49,72,59,69,69,76,64,48,37,22,19,13,1,0,9
2023-11,평일,25,11,30,50,69,66,67,77,94,120,131,175,120,88,68,44,27,10,2,0,22
2023-11,휴일,19,8,16,27,39,45,47,73,66,70,74,79,69,45,35,26,19,13,1,0,8
2023-12,평일,23,10,29,48,60,62,68,74,96,114,131,170,132,81,65,44,30,10,2,0,21
2023-12,휴일,19,9,13,27,38,44,49,68,66,70,72,85,68,42,33,22,21,12,1,0,10
