월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,52,31,77,87,145,182,177,157,149,176,202,193,146,110,68,39,35,20,4,,22
2021-07,휴일,37,26,40,47,74,82,84,90,93,101,89,94,69,57,46,30,29,16,2,,9
2021-08,평일,50,33,76,86,134,185,181,153,148,190,207,192,142,101,60,36,32,15,2,,22
2021-08,휴일,31,23,42,45,68,76,74,85,84,100,95,91,72,54,39,28,23,13,2,,9
2021-09,평일,43,31,72,87,131,181,183,165,167,199,230,199,147,108,70,42,35,17,4,,22
2021-09,휴일,31,25,45,54,77,87,94,114,115,128,116,119,89,69,53,36,26,19,2,,8
2021-10,평일,45,30,79,99,150,191,198,183,187,230,264,243,166,116,72,43,34,21,4,,21
2021-10,휴일,31,22,41,58,79,94,94,129,148,152,154,152,114,89,57,38,27,20,4,,10
2021-11,평일,44,29,82,98,147,195,207,197,196,240,271,245,157,115,77,48,38,25,8,,22
2021-11,휴일,32,24,42,57,84,100,103,138,150,162,175,171,122,92,67,41,31,23,6,,8
2021-12,평일,40,25,73,87,130,182,199,177,186,229,261,214,153,103,65,45,37,20,5,,23
2021-12,휴일,27,20,36,45,64,77,82,107,118,138,125,126,93,62,45,31,32,17,4,,8
2022-01,평일,37,27,71,87,124,177,192,174,185,224,254,209,148,103,67,45,38,14,3,0,21
2022-01,휴일,27,19,32,46,65,82,89,110,121,129,122,111,79,61,45,32,28,14,2,0,10
2022-02,평일,39,28,70,84,112,166,184,167,165,208,249,205,146,106,60,37,37,16,2,0,20
2022-02,휴일,29,19,33,51,68,90,80,129,118,130,127,119,90,64,47,38,28,17,2,0,8
2022-03,평일,42,31,73,85,127,178,205,183,182,221,255,208,158,113,63,41,36,23,5,0,23
2022-03,휴일,32,19,31,51,66,89,99,129,130,132,123,125,92,70,45,32,30,26,6,0,8
2022-04,평일,48,33,80,90,148,211,217,202,207,242,288,248,175,135,81,53,40,30,7,0,21
2022-04,휴일,36,25,45,62,85,110,106,150,155,168,166,160,124,96,64,50,37,29,7,0,9
2022-05,평일,50,36,84,103,166,216,222,223,225,269,303,268,191,140,90,71,54,33,8,0,22
2022-05,휴일,36,25,46,67,99,110,117,147,154,186,173,174,126,102,82,65,43,27,8,0,9
2022-06,평일,52,35,82,99,165,204,222,212,222,272,302,273,186,136,88,72,61,29,9,1,22
2022-06,휴일,40,27,46,72,96,110,111,140,170,186,188,172,127,114,78,68,44,30,9,0,8
2022-07,평일,60,37,81,104,174,219,233,221,213,269,292,284,202,145,92,75,61,33,9,2,21
2022-07,휴일,40,27,44,70,93,102,105,127,132,148,151,141,108,92,76,58,46,25,7,0,10
2022-08,평일,56,36,75,93,157,197,230,208,203,250,263,264,185,129,86,59,47,27,9,2,23
2022-08,휴일,40,28,42,58,89,100,108,122,137,142,141,128,106,87,77,56,48,27,4,0,8
2022-09,평일,55,39,77,98,161,208,238,219,227,270,301,270,187,135,89,72,49,37,10,2,22
2022-09,휴일,38,28,38,62,86,94,102,116,141,166,153,166,117,93,71,52,42,23,6,0,8
2022-10,평일,55,38,82,104,168,211,241,233,243,282,321,272,196,146,85,74,52,34,8,2,21
2022-10,휴일,43,29,45,68,110,111,122,164,177,195,203,194,133,107,76,69,46,24,8,0,10
2022-11,평일,55,38,83,98,175,218,243,240,248,292,347,293,194,137,90,72,49,33,10,1,22
2022-11,휴일,40,25,41,64,92,107,126,152,174,207,205,184,126,106,88,57,45,23,5,0,8
2022-12,평일,49,38,68,88,153,208,230,226,248,309,343,300,192,129,98,86,60,37,10,1,22
2022-12,휴일,33,26,30,51,82,103,117,143,168,199,207,246,133,108,80,72,55,25,4,0,9
2023-01,평일,45,33,64,81,148,189,214,204,220,275,296,257,178,131,81,63,44,29,8,1,22
2023-01,휴일,32,22,26,48,68,81,90,123,139,147,144,129,117,95,59,44,34,21,6,0,9
2023-02,평일,54,40,72,101,172,227,250,235,246,315,370,321,218,155,98,71,53,36,8,1,20
2023-02,휴일,36,29,29,61,94,110,121,150,176,208,217,204,143,113,85,60,43,24,6,0,8
2023-03,평일,58,52,79,115,175,227,255,246,254,308,346,316,221,156,102,78,58,39,8,1,23
2023-03,휴일,38,41,37,73,94,118,135,150,179,200,217,202,169,123,86,61,46,27,5,0,8
2023-04,평일,64,56,87,113,182,226,261,245,254,317,364,314,219,159,111,85,59,42,8,1,20
2023-04,휴일,41,43,43,74,102,120,130,158,185,206,200,186,172,124,104,70,46,31,7,0,10
2023-05,평일,59,38,83,111,186,228,255,251,248,311,339,300,220,150,108,85,69,40,10,1,23
2023-05,휴일,40,30,46,75,97,115,113,150,180,196,209,175,170,108,90,75,48,34,7,0,8
2023-06,평일,60,40,86,110,184,230,251,241,258,305,338,300,222,161,107,93,67,41,10,2,22
2023-06,휴일,46,32,48,84,118,126,133,158,185,208,214,181,155,122,96,82,54,29,6,0,8
2023-07,평일,66,36,89,113,180,230,236,227,238,286,323,310,219,160,110,92,67,44,10,1,21
2023-07,휴일,44,29,42,66,99,114,122,135,160,180,182,158,153,110,90,63,47,26,4,0,10
2023-08,평일,62,33,88,105,173,223,226,203,212,259,301,267,215,155,103,83,65,39,9,1,23
2023-08,휴일,46,26,37,68,97,112,116,144,162,176,180,161,157,113,102,74,49,27,6,0,8
2023-09,평일,63,33,87,109,178,224,248,236,240,286,331,288,219,156,102,89,69,39,10,1,21
2023-09,휴일,40,28,41,73,101,120,130,169,180,205,211,181,157,135,100,71,48,29,7,0,9
2023-10,평일,62,36,91,116,175,234,270,252,263,316,370,326,245,193,128,96,68,38,8,1,22
2023-10,휴일,44,32,46,75,106,130,131,168,192,209,228,201,175,132,118,88,57,33,6,0,9
2023-11,평일,64,37,88,118,187,232,248,249,259,334,365,324,240,158,103,89,66,43,9,1,22
2023-11,휴일,44,31,39,76,93,120,130,163,195,213,239,218,173,117,106,66,52,35,6,0,8
2023-12,평일,63,33,84,105,167,216,250,251,265,339,383,348,259,158,120,106,76,51,9,2,21
2023-12,휴일,41,24,36,70,87,123,133,150,198,234,253,230,187,133,108,92,58,37,7,0,10
