월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,96,42,73,89,145,142,126,120,127,146,165,157,135,98,59,37,30,13,3,,22
2021-07,휴일,74,25,40,48,77,78,76,77,80,67,60,58,44,36,27,19,18,5,2,,9
2021-08,평일,87,36,72,88,137,137,128,127,126,152,160,155,131,91,58,33,23,10,2,,22
2021-08,휴일,68,23,37,40,81,72,76,75,71,73,62,55,47,34,27,21,17,6,1,,9
2021-09,평일,88,35,67,89,145,145,142,135,142,164,171,166,130,97,62,38,27,13,2,,22
2021-09,휴일,73,25,40,50,94,102,94,108,94,90,76,71,61,47,32,24,19,6,1,,8
2021-10,평일,95,32,70,100,158,172,166,157,165,188,196,190,158,103,67,44,32,17,2,,21
2021-10,휴일,76,26,35,52,101,109,110,129,112,109,90,90,69,44,36,25,19,9,1,,10
2021-11,평일,93,33,76,106,169,166,176,165,173,200,205,203,170,109,71,48,36,18,4,,22
2021-11,휴일,76,25,38,58,109,114,116,126,122,119,102,90,73,50,39,28,22,10,2,,8
2021-12,평일,91,32,70,95,143,158,151,150,165,183,191,187,156,101,63,40,38,15,3,,23
2021-12,휴일,70,23,32,43,77,90,90,113,99,98,81,66,53,38,32,25,19,6,2,,8
2022-01,평일,88,28,65,90,143,152,144,144,158,179,179,183,148,104,64,43,36,12,2,0,21
2022-01,휴일,67,18,29,37,80,97,94,122,109,102,79,71,47,35,25,23,22,5,1,0,10
2022-02,평일,86,30,62,88,132,139,137,126,151,167,165,165,134,99,61,39,33,13,1,0,20
2022-02,휴일,70,22,32,44,84,97,95,117,101,96,73,58,57,34,29,19,18,7,1,0,8
2022-03,평일,92,31,65,90,134,143,142,133,146,165,164,159,136,98,61,35,28,14,2,0,23
2022-03,휴일,68,19,36,39,81,91,88,107,95,86,69,66,52,36,29,22,16,10,2,0,8
2022-04,평일,102,31,75,104,162,177,167,154,166,187,184,181,159,116,73,49,40,19,4,0,21
2022-04,휴일,80,22,43,57,112,122,115,135,107,116,86,82,68,46,44,28,21,10,2,0,9
2022-05,평일,108,34,80,117,178,185,177,166,180,201,201,209,168,122,81,60,51,24,5,0,22
2022-05,휴일,81,25,47,63,124,118,125,138,142,123,104,94,72,51,45,40,26,16,2,0,9
2022-06,평일,107,38,78,111,167,184,186,164,185,203,217,193,156,130,83,64,47,23,7,1,22
2022-06,휴일,83,28,47,64,122,117,131,150,134,130,109,104,78,59,48,44,26,12,3,0,8
2022-07,평일,106,35,78,111,161,183,175,160,170,196,210,181,159,117,78,61,46,25,5,3,21
2022-07,휴일,75,25,43,60,107,106,112,131,120,108,86,82,57,44,42,39,23,12,2,0,10
2022-08,평일,100,36,76,106,153,164,163,147,159,176,193,179,143,111,72,54,37,19,5,2,23
