월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,64,33,79,81,96,93,87,81,75,68,100,77,61,56,33,24,17,10,0,,22
2021-07,휴일,42,24,32,47,59,63,59,62,49,44,42,38,33,23,19,15,18,6,1,,9
2021-08,평일,62,31,75,79,90,95,90,84,73,73,98,74,56,52,32,20,16,7,0,,22
2021-08,휴일,39,25,36,43,57,60,61,58,49,42,40,37,32,24,23,13,13,6,1,,9
2021-09,평일,59,30,71,85,90,93,93,84,76,80,103,84,65,55,32,23,16,9,1,,22
2021-09,휴일,43,23,36,54,71,84,71,77,62,57,54,52,40,29,22,15,17,5,0,,8
2021-10,평일,61,30,76,93,104,108,107,94,88,86,113,88,78,53,32,25,20,12,1,,21
2021-10,휴일,42,22,36,54,75,92,79,84,69,62,55,47,41,30,22,13,20,7,1,,10
2021-11,평일,61,29,84,92,101,110,113,94,96,87,118,93,80,57,32,23,22,12,2,,22
2021-11,휴일,42,22,38,60,82,96,88,97,77,74,62,56,46,33,22,19,17,8,3,,8
2021-12,평일,59,29,73,86,94,96,100,89,92,89,113,87,77,51,31,25,24,10,1,,23
2021-12,휴일,40,19,24,44,56,77,62,83,66,57,48,42,46,22,18,16,18,6,2,,8
2022-01,평일,58,28,69,86,92,102,101,93,91,88,109,84,73,53,33,27,25,8,0,0,21
2022-01,휴일,37,18,26,45,60,80,66,86,66,65,52,44,45,28,19,16,18,4,1,0,10
2022-02,평일,54,27,65,83,91,87,89,91,79,76,99,76,67,52,32,22,23,10,0,0,20
2022-02,휴일,38,18,32,47,62,76,71,82,68,63,50,52,40,26,21,18,16,6,1,0,8
2022-03,평일,58,30,69,86,99,92,88,86,86,80,101,75,70,54,32,21,22,12,2,0,23
2022-03,휴일,38,19,30,48,60,72,61,79,67,58,54,45,38,31,18,16,16,11,2,0,8
2022-04,평일,61,32,79,94,110,114,102,95,100,91,107,83,79,57,42,24,25,11,4,0,21
2022-04,휴일,44,22,39,57,84,92,77,85,80,68,56,53,51,34,26,18,21,11,3,0,9
