월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,15,10,14,23,30,26,22,18,17,15,31,19,13,13,8,4,2,1,0,,22
2021-07,휴일,11,8,7,11,17,17,13,22,10,9,11,10,5,4,4,2,1,1,0,,9
2021-08,평일,14,10,12,22,27,24,20,18,16,16,30,20,14,13,7,3,1,0,0,,22
2021-08,휴일,11,8,7,12,17,16,15,19,11,10,10,13,6,4,4,2,1,0,0,,9
2021-09,평일,13,10,13,22,27,24,21,18,16,18,30,21,16,14,7,3,1,1,0,,22
2021-09,휴일,10,9,8,11,18,21,17,22,11,12,12,14,7,6,4,2,1,1,0,,8
2021-10,평일,14,10,14,24,30,27,20,19,17,18,31,19,15,16,7,4,2,1,0,,21
2021-10,휴일,11,9,9,11,20,17,15,20,13,11,10,9,8,6,4,2,1,2,0,,10
2021-11,평일,13,10,18,25,32,29,20,22,17,19,35,23,23,15,8,4,2,1,0,,22
2021-11,휴일,10,8,9,14,18,21,18,22,14,11,16,11,9,5,5,3,2,0,0,,8
2021-12,평일,14,10,18,26,36,30,23,21,22,22,36,23,23,13,8,4,2,1,0,,23
2021-12,휴일,13,8,9,12,20,23,14,23,12,12,13,12,10,5,4,2,2,0,0,,8
2022-01,평일,15,10,18,28,34,31,26,24,26,21,34,28,18,14,9,4,2,1,0,0,21
2022-01,휴일,13,9,8,14,23,22,18,24,19,15,14,13,9,5,3,4,2,1,0,0,10
2022-02,평일,13,10,18,25,35,32,24,20,21,21,32,22,17,15,8,3,2,1,0,0,20
2022-02,휴일,12,8,8,14,26,25,18,25,14,13,11,12,10,6,3,1,1,0,0,0,8
2022-03,평일,15,10,18,29,34,31,25,22,26,23,33,23,18,17,9,4,2,1,0,0,23
2022-03,휴일,13,8,9,13,24,23,20,22,17,13,12,13,10,7,4,2,1,1,0,0,8
2022-04,평일,18,11,20,33,40,37,30,26,28,24,41,27,19,19,10,5,1,1,0,0,21
2022-04,휴일,14,11,12,19,34,30,20,27,21,15,16,15,13,8,6,3,1,0,0,0,9
2022-05,평일,18,13,22,38,48,39,36,27,27,27,40,28,24,22,12,10,2,1,0,0,22
2022-05,휴일,16,11,14,20,33,33,22,26,23,21,17,14,13,9,6,2,2,1,0,0,9
