월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,62,55,72,84,109,106,92,88,91,93,107,100,77,60,38,22,15,9,1,,22
2021-07,휴일,31,36,39,45,64,70,71,62,58,52,60,53,45,31,30,15,14,6,1,,9
2021-08,평일,56,50,71,81,100,103,98,86,83,90,106,95,75,55,34,20,14,8,1,,22
2021-08,휴일,32,33,36,44,65,62,64,59,58,56,58,50,41,31,26,16,12,6,0,,9
2021-09,평일,55,49,74,89,106,105,105,95,102,102,118,98,76,56,31,21,14,8,1,,22
2021-09,휴일,35,32,43,58,80,87,80,70,67,66,68,55,49,35,28,17,14,6,1,,8
2021-10,평일,59,50,77,98,122,119,114,109,114,118,135,122,87,61,34,20,17,9,2,,21
2021-10,휴일,34,36,39,60,89,88,85,85,79,79,82,70,54,38,30,16,14,8,1,,10
2021-11,평일,67,54,76,96,120,120,115,111,118,111,132,117,84,60,32,22,17,8,2,,22
2021-11,휴일,32,39,36,66,87,97,91,90,77,76,82,68,51,38,28,20,14,8,1,,8
2021-12,평일,60,53,70,89,111,115,118,114,118,114,128,109,80,57,30,19,15,9,1,,23
2021-12,휴일,31,33,28,47,66,69,71,76,66,66,72,59,46,26,20,15,12,9,1,,8
