월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,135,110,162,155,195,222,222,250,223,245,240,223,203,152,109,88,60,29,4,,44
2021-07,휴일,76,61,82,86,120,139,131,164,149,165,136,132,123,110,85,67,49,23,4,,18
2021-08,평일,126,108,150,153,184,219,225,262,230,253,251,222,200,153,104,81,50,23,4,,44
2021-08,휴일,75,64,75,81,111,128,126,155,153,165,153,133,129,112,84,64,48,19,3,,18
2021-09,평일,118,98,142,148,194,230,234,268,248,284,276,239,214,152,122,97,71,31,5,,44
2021-09,휴일,76,64,86,92,143,163,153,188,181,218,195,173,153,131,114,99,69,28,3,,16
2021-10,평일,126,104,153,162,222,254,269,312,295,360,348,286,245,167,135,115,84,41,6,,42
2021-10,휴일,75,59,83,99,156,176,186,194,218,262,252,206,178,152,139,121,87,42,5,,20
2021-11,평일,127,106,153,166,221,253,268,318,319,405,376,304,247,175,148,138,96,47,10,,44
2021-11,휴일,74,62,85,105,172,191,183,210,254,301,293,247,207,168,167,141,101,42,12,,16
2021-12,평일,120,103,144,151,200,228,250,303,284,335,316,274,230,150,125,107,78,30,7,,46
2021-12,휴일,57,51,64,75,130,139,143,178,189,212,204,177,139,113,106,84,56,23,5,,16
2022-01,평일,115,95,138,146,194,221,242,295,277,320,307,266,230,154,126,104,74,22,4,0,42
2022-01,휴일,54,49,64,73,138,152,154,174,186,220,207,179,148,129,108,90,57,19,3,0,20
2022-02,평일,108,92,136,137,181,208,222,274,252,279,273,248,211,148,114,92,63,22,4,0,40
2022-02,휴일,61,48,75,78,139,152,149,191,194,208,199,168,150,129,118,91,62,24,4,0,16
2022-03,평일,119,94,138,146,192,220,226,268,254,281,277,245,220,154,124,92,62,35,6,0,46
2022-03,휴일,63,45,74,80,144,146,146,181,190,201,186,169,142,130,121,87,54,36,9,0,16
2022-04,평일,137,107,157,176,232,276,274,322,316,352,346,308,260,191,159,143,97,49,12,0,42
2022-04,휴일,82,59,94,116,193,206,197,220,255,284,262,236,198,172,171,148,95,56,13,0,18
