월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,13,9,12,19,25,30,28,30,37,44,48,39,34,30,20,13,11,5,1,,44
2021-07,휴일,10,4,9,9,15,19,17,21,22,19,23,19,18,15,10,7,7,4,0,,18
2021-08,평일,11,8,13,18,23,29,30,32,40,42,47,42,35,28,19,14,12,5,1,,44
2021-08,휴일,9,4,7,8,13,19,17,21,19,20,21,19,16,16,14,9,6,4,1,,18
2021-09,평일,12,8,12,17,27,29,31,32,40,46,49,44,36,28,19,14,12,6,2,,44
2021-09,휴일,11,4,7,9,15,22,25,30,28,31,25,24,21,17,14,11,7,4,1,,16
2021-10,평일,12,9,12,18,26,34,36,37,47,55,57,50,38,31,20,15,13,7,3,,42
2021-10,휴일,9,5,7,9,16,21,24,32,33,39,31,28,28,17,14,9,9,5,1,,20
2021-11,평일,12,9,14,19,27,32,34,36,45,54,58,52,41,33,21,16,12,6,2,,44
2021-11,휴일,8,4,7,9,18,25,24,39,43,47,43,35,29,18,16,9,7,5,2,,16
2021-12,평일,10,9,12,17,23,29,32,36,48,52,56,47,37,27,21,14,13,4,2,,46
2021-12,휴일,7,4,5,7,14,15,22,32,31,35,32,28,24,12,11,9,7,3,1,,16
2022-01,평일,10,8,10,16,23,28,32,34,47,49,57,47,37,30,20,14,12,3,1,0,42
2022-01,휴일,7,4,5,8,14,17,19,32,32,30,31,25,20,15,11,6,7,2,1,0,20
2022-02,평일,8,7,10,19,22,29,28,29,40,42,50,43,36,28,20,14,12,4,1,0,40
2022-02,휴일,8,4,5,8,14,18,22,34,32,32,32,22,18,19,13,7,7,4,1,0,16
2022-03,평일,9,8,12,20,22,27,32,32,42,48,51,48,35,31,21,14,11,8,3,0,46
2022-03,휴일,8,3,6,9,15,16,21,31,37,35,31,25,21,16,13,7,5,5,1,0,16
2022-04,평일,10,9,14,20,28,33,35,37,46,52,56,55,42,33,26,16,13,8,2,0,42
2022-04,휴일,10,4,9,11,20,22,25,34,38,39,38,34,25,19,20,12,9,6,2,0,18
2022-05,평일,11,11,15,22,33,38,40,45,56,66,71,65,49,40,29,24,15,11,3,0,44
2022-05,휴일,10,6,10,13,23,29,30,47,50,48,47,40,33,26,21,15,9,7,2,0,18
2022-06,평일,10,10,15,21,29,36,43,47,64,68,68,68,48,40,28,22,18,11,3,1,44
2022-06,휴일,10,5,9,13,21,28,33,51,53,61,56,51,37,27,25,22,12,9,2,0,16
2022-07,평일,10,10,15,21,29,34,37,40,54,52,59,56,43,35,23,22,16,10,3,1,42
2022-07,휴일,9,6,9,11,19,22,29,38,38,38,34,32,29,23,19,11,9,6,2,0,20
2022-08,평일,9,10,14,20,26,32,36,41,45,49,57,56,44,32,23,18,13,9,3,1,46
2022-08,휴일,8,6,10,11,19,22,29,37,39,36,31,32,24,20,20,12,11,6,2,0,16
2022-09,평일,10,9,14,20,29,36,38,40,49,52,60,60,45,35,22,21,15,9,3,1,44
2022-09,휴일,9,5,9,13,20,25,28,34,40,44,34,34,29,23,17,13,8,5,2,0,16
2022-10,평일,11,9,16,21,31,36,41,44,58,62,64,67,51,38,26,23,16,8,3,1,42
2022-10,휴일,10,6,9,14,23,28,32,45,46,49,55,52,65,60,46,69,28,12,3,0,20
2022-11,평일,10,9,15,22,30,39,44,43,57,64,66,62,51,36,27,23,16,8,3,1,44
2022-11,휴일,9,5,8,14,21,29,31,43,55,53,57,63,79,98,73,81,39,14,3,0,16
2022-12,평일,9,7,14,18,27,35,41,43,59,65,64,61,51,35,28,29,21,10,3,1,44
2022-12,휴일,9,4,8,10,15,24,28,36,41,48,49,54,60,57,55,29,16,8,3,0,18
2023-01,평일,9,7,12,17,25,32,38,39,53,53,60,51,40,29,21,19,15,8,3,1,44
2023-01,휴일,8,3,8,10,14,21,24,35,36,40,37,44,35,35,33,27,13,7,2,0,18
2023-02,평일,11,36,15,19,29,38,39,45,60,61,70,63,49,36,27,27,16,10,3,1,40
2023-02,휴일,9,25,11,12,19,26,32,48,53,56,59,62,53,67,56,35,14,7,3,0,16
2023-03,평일,12,86,16,22,33,38,43,47,63,69,72,58,59,47,31,22,18,10,3,1,46
2023-03,휴일,8,67,12,13,22,25,33,42,48,48,55,62,62,57,54,29,15,9,2,0,16
2023-04,평일,12,81,17,24,35,40,44,46,60,61,66,61,51,37,27,23,18,9,3,1,40
2023-04,휴일,10,65,13,14,21,28,31,38,46,53,47,48,50,54,57,36,18,7,3,0,20
2023-05,평일,13,8,16,23,35,40,43,45,58,59,71,65,56,43,32,22,18,9,4,1,46
2023-05,휴일,9,5,13,16,21,26,31,39,46,51,48,50,43,50,58,30,15,7,4,0,16
2023-06,평일,13,9,18,24,33,38,41,44,63,61,70,62,57,49,30,24,19,11,5,1,44
2023-06,휴일,10,6,11,16,22,26,33,50,49,52,48,40,45,50,67,50,26,10,4,0,16
2023-07,평일,13,8,17,21,31,36,41,41,50,53,60,58,47,34,27,22,18,10,4,1,42
2023-07,휴일,10,5,12,12,17,22,29,34,38,39,45,37,34,30,39,43,23,8,4,0,20
