월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,164,137,209,265,267,250,217,197,178,173,166,141,123,108,80,42,31,15,4,,22
2021-07,휴일,94,91,105,144,182,183,153,142,127,125,96,97,85,78,54,36,26,14,3,,9
2021-08,평일,155,130,198,249,249,243,218,206,180,173,168,133,118,105,78,39,24,12,3,,22
2021-08,휴일,84,85,96,139,173,167,152,144,133,138,120,110,88,85,53,32,23,15,2,,9
2021-09,평일,153,132,200,249,241,246,223,227,205,196,186,145,147,108,75,39,28,18,3,,22
2021-09,휴일,93,97,117,164,211,221,191,174,167,151,147,134,114,95,62,36,30,16,1,,8
2021-10,평일,157,140,207,278,277,271,248,238,224,215,205,168,150,104,73,41,35,19,3,,21
2021-10,휴일,91,92,108,161,223,240,208,191,162,176,147,132,110,96,54,34,30,21,2,,10
2021-11,평일,161,135,209,293,272,271,244,239,231,208,212,163,142,99,73,36,28,17,5,,22
2021-11,휴일,93,88,105,158,230,244,225,215,177,182,159,132,108,79,48,31,24,18,5,,8
2021-12,평일,155,131,185,251,247,242,245,231,227,215,206,168,128,85,65,34,29,15,3,,23
2021-12,휴일,78,77,81,116,172,184,168,178,168,146,134,117,84,63,40,29,25,11,4,,8
2022-01,평일,142,122,184,235,243,241,223,217,226,220,201,167,128,97,66,34,32,11,2,0,21
2022-01,휴일,72,76,75,121,174,205,189,189,174,158,145,120,99,71,40,29,26,9,1,0,10
2022-02,평일,136,117,178,223,218,223,205,206,207,191,186,152,115,93,66,33,30,14,2,0,20
2022-02,휴일,80,73,79,127,176,195,179,182,154,158,134,118,99,80,49,30,20,12,2,0,8
2022-03,평일,151,121,199,232,234,235,221,242,221,210,196,157,141,96,68,34,25,16,4,0,23
2022-03,휴일,80,74,88,121,177,195,177,189,168,164,134,122,99,79,50,27,24,14,5,0,8
2022-04,평일,177,144,224,281,274,280,251,279,271,233,239,195,199,126,85,43,30,19,5,0,21
2022-04,휴일,102,96,111,185,232,273,247,227,218,214,209,175,144,100,66,42,31,18,5,0,9
2022-05,평일,178,152,235,303,303,302,274,275,273,245,237,211,213,131,91,50,38,19,6,0,22
2022-05,휴일,97,93,118,191,275,285,254,247,232,216,188,172,136,107,69,41,35,17,4,0,9
2022-06,평일,172,148,233,289,286,288,273,271,256,215,213,171,196,133,84,47,35,22,5,0,22
2022-06,휴일,102,102,125,193,268,290,255,233,195,196,167,154,118,99,74,51,33,23,6,0,8
