월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,76,60,82,118,150,143,121,121,104,122,137,112,118,73,72,46,23,12,2,,22
2021-07,휴일,48,41,39,66,88,92,87,96,74,64,70,51,60,37,33,27,16,9,1,,9
2021-08,평일,74,53,73,116,143,140,124,124,110,116,133,108,112,73,65,44,22,9,2,,22
2021-08,휴일,46,37,43,61,82,94,87,90,68,65,70,54,56,39,30,23,12,6,1,,9
2021-09,평일,72,52,71,114,148,143,126,128,118,131,139,104,108,73,68,49,22,12,2,,22
2021-09,휴일,53,38,44,71,114,114,99,111,88,81,84,68,60,39,32,28,14,8,1,,8
2021-10,평일,75,57,83,125,170,160,145,136,131,144,148,125,121,71,72,55,22,12,2,,21
2021-10,휴일,52,40,45,71,112,126,108,120,96,92,84,67,67,40,29,22,18,9,2,,10
2021-11,평일,75,60,89,131,169,154,144,133,141,144,160,128,130,76,67,56,23,10,3,,22
2021-11,휴일,55,41,46,71,124,125,116,127,106,93,85,76,71,38,32,26,15,7,1,,8
2021-12,평일,66,54,84,114,155,147,134,141,135,143,150,124,115,72,62,46,23,10,2,,23
2021-12,휴일,37,35,31,55,84,98,81,115,99,82,79,61,51,34,27,24,13,6,2,,8
2022-01,평일,65,56,82,109,148,139,133,133,132,135,146,119,115,70,65,48,25,8,2,0,21
2022-01,휴일,38,35,35,54,91,104,101,116,97,88,74,55,54,37,28,21,16,6,1,0,10
2022-02,평일,65,52,75,106,137,132,116,124,121,125,132,101,105,68,65,43,22,10,2,0,20
2022-02,휴일,41,36,40,55,90,103,98,119,98,84,81,64,58,39,28,24,16,7,0,0,8
2022-03,평일,71,56,76,113,141,134,117,126,126,124,130,98,99,63,67,44,21,8,4,0,23
2022-03,휴일,44,38,40,55,89,96,94,114,92,80,68,56,56,38,26,22,16,7,3,0,8
2022-04,평일,79,61,84,124,163,155,138,141,140,132,149,109,114,71,73,50,24,13,3,0,21
2022-04,휴일,56,45,50,74,116,128,118,127,116,88,87,69,62,43,37,24,17,10,3,0,9
2022-05,평일,83,62,90,131,177,158,140,145,146,138,146,128,121,76,80,56,27,13,3,0,22
2022-05,휴일,60,45,55,82,123,134,119,135,115,94,98,75,62,42,36,30,20,10,1,0,9
2022-06,평일,79,57,88,137,167,159,145,141,136,136,146,120,115,80,77,55,30,14,3,0,22
2022-06,휴일,64,43,54,85,127,134,117,131,113,98,100,81,70,41,35,29,26,10,2,0,8
2022-07,평일,83,58,92,141,180,162,138,143,142,133,148,124,125,80,77,52,26,11,2,0,21
2022-07,휴일,53,46,53,83,117,118,116,127,105,85,89,78,70,42,37,25,16,8,2,0,10
2022-08,평일,74,56,91,129,164,150,134,140,136,134,137,113,118,70,68,46,24,11,2,0,23
2022-08,휴일,56,40,49,75,114,116,116,121,105,88,82,81,64,47,31,23,16,9,2,0,8
2022-09,평일,78,59,99,135,166,162,144,145,134,142,146,124,122,71,74,50,27,10,2,1,22
2022-09,휴일,54,42,52,73,108,116,110,115,98,91,81,70,57,42,30,24,17,8,2,0,8
2022-10,평일,88,58,98,138,170,160,146,152,146,145,148,132,118,76,71,51,25,12,2,0,21
2022-10,휴일,64,46,53,82,133,142,124,134,128,110,98,83,63,41,34,25,17,9,2,0,10
2022-11,평일,84,59,94,142,167,159,139,156,145,148,156,131,127,71,67,47,25,12,2,1,22
2022-11,휴일,56,40,49,78,120,129,132,136,121,103,95,86,64,38,33,25,18,10,1,0,8
2022-12,평일,80,57,90,132,159,153,145,155,147,156,156,131,127,77,77,48,26,14,2,1,22
2022-12,휴일,47,37,43,68,103,118,125,131,113,108,107,86,67,39,38,30,18,11,2,1,9
2023-01,평일,72,53,82,119,160,146,136,140,137,137,148,121,116,72,72,44,24,9,2,0,22
2023-01,휴일,39,33,38,61,94,103,97,118,109,88,84,75,57,34,30,21,12,8,2,0,9
2023-02,평일,80,97,96,139,177,157,158,160,148,153,155,142,125,76,86,50,24,13,2,1,20
2023-02,휴일,53,66,50,72,119,132,126,132,122,105,106,94,70,52,39,25,17,8,2,0,8
2023-03,평일,90,170,104,138,187,170,155,165,148,150,158,137,126,83,90,58,28,11,3,2,23
2023-03,휴일,57,118,56,88,128,145,140,142,121,116,104,90,80,54,39,33,22,9,2,1,8
2023-04,평일,91,174,106,150,188,165,157,157,153,153,155,132,130,85,97,60,30,14,3,2,20
2023-04,휴일,64,124,57,88,141,140,128,135,119,110,101,91,75,50,44,34,21,8,2,1,10
2023-05,평일,85,67,108,144,183,168,151,145,141,150,146,134,121,75,84,55,30,13,3,1,23
2023-05,휴일,66,41,54,88,138,136,117,124,114,94,100,83,73,47,37,28,19,11,2,0,8
2023-06,평일,88,67,105,139,179,164,153,155,143,149,151,142,123,78,83,50,30,12,2,1,22
2023-06,휴일,63,49,60,96,134,148,124,133,108,108,100,95,70,47,44,28,24,9,2,0,8
2023-07,평일,85,69,101,142,180,163,152,148,141,149,150,133,127,82,85,50,26,10,2,0,21
2023-07,휴일,57,42,51,83,120,126,116,123,106,100,101,86,69,45,33,27,22,8,2,0,10
