월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,55,57,77,109,109,90,71,65,64,59,57,49,45,28,30,12,7,3,1,,22
2021-07,휴일,27,37,44,60,75,65,52,48,47,38,37,28,22,16,12,8,3,1,0,,9
2021-08,평일,55,55,70,98,100,92,75,72,62,62,59,48,44,24,24,11,5,2,1,,22
2021-08,휴일,24,39,38,56,71,67,56,50,49,41,37,27,23,19,11,7,4,3,0,,9
2021-09,평일,55,54,73,97,105,98,84,70,73,71,63,52,44,27,30,12,8,4,1,,22
2021-09,휴일,26,40,43,66,82,84,71,62,58,48,42,33,26,17,10,8,6,2,1,,8
2021-10,평일,59,57,78,108,114,103,86,81,79,76,67,55,48,28,31,12,9,2,1,,21
2021-10,휴일,24,40,45,62,94,91,84,69,55,55,41,32,27,17,12,6,4,2,1,,10
2021-11,평일,57,61,76,110,105,100,84,79,86,81,65,54,45,33,30,11,6,3,1,,22
2021-11,휴일,24,42,43,64,85,92,84,76,63,53,41,32,30,18,11,6,4,3,1,,8
2021-12,평일,54,55,69,104,98,90,81,81,82,76,58,48,39,26,21,9,5,3,1,,23
2021-12,휴일,19,32,31,49,67,77,63,59,59,44,37,30,19,12,7,7,4,2,1,,8
2022-01,평일,49,52,63,103,96,91,82,78,84,74,59,44,35,25,22,9,6,3,1,0,21
2022-01,휴일,19,29,29,50,72,77,73,63,58,54,38,30,23,13,6,5,6,3,0,0,10
2022-02,평일,49,53,64,102,87,80,74,72,75,64,53,40,34,24,21,10,5,4,0,0,20
2022-02,휴일,23,34,30,57,75,77,63,66,62,50,40,29,22,13,8,5,3,2,0,0,8
2022-03,평일,53,52,72,104,98,81,74,77,75,68,55,42,37,25,24,10,7,3,1,0,23
2022-03,휴일,22,33,33,58,69,74,68,62,62,49,43,26,22,16,8,5,4,2,1,0,8
2022-04,평일,62,57,89,120,110,100,84,80,79,73,64,49,44,25,27,11,7,5,1,0,21
2022-04,휴일,32,38,43,73,95,94,87,75,69,51,39,32,26,20,12,7,4,2,1,0,9
2022-05,평일,67,62,91,123,115,106,90,88,88,80,71,56,46,33,29,14,8,5,1,0,22
2022-05,휴일,35,41,46,75,98,103,90,76,72,55,47,38,30,19,11,7,7,3,1,0,9
2022-06,평일,62,55,88,121,118,102,96,86,81,72,71,56,45,27,27,13,8,4,1,0,22
