월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,148,127,179,205,197,165,145,148,154,128,110,110,90,72,47,29,19,10,2,,22
2021-07,휴일,72,87,85,101,134,131,110,115,108,88,75,69,67,51,40,23,14,10,1,,9
2021-08,평일,137,124,164,204,193,168,155,143,156,132,113,106,91,71,46,27,15,7,1,,22
2021-08,휴일,65,87,83,99,124,114,110,112,105,102,79,75,63,53,39,26,14,7,1,,9
2021-09,평일,128,122,163,197,197,176,161,161,170,147,127,120,91,76,48,27,20,9,1,,22
2021-09,휴일,73,86,90,121,150,155,138,141,133,112,90,80,71,60,40,29,19,7,1,,8
2021-10,평일,141,131,179,217,221,200,181,183,194,160,145,142,104,73,48,30,20,10,2,,21
2021-10,휴일,76,86,86,124,167,177,149,154,148,124,93,93,80,59,39,25,21,11,1,,10
2021-11,평일,141,138,179,221,208,195,176,176,188,159,142,142,106,67,45,27,18,13,4,,22
2021-11,휴일,76,90,90,122,168,172,148,154,159,119,101,88,78,53,37,28,17,11,2,,8
2021-12,평일,130,127,160,188,179,179,154,163,181,151,129,124,97,60,41,28,20,9,3,,23
2021-12,휴일,60,77,62,94,124,136,116,120,117,100,82,74,59,47,26,20,14,8,2,,8
2022-01,평일,121,121,151,185,183,171,153,159,170,147,131,116,94,57,42,28,18,9,1,0,21
2022-01,휴일,55,82,64,90,136,141,119,130,136,108,94,86,66,48,31,22,19,9,2,0,10
2022-02,평일,116,115,154,190,173,159,150,157,162,140,123,110,85,58,43,28,17,8,1,0,20
2022-02,휴일,60,87,75,103,136,142,121,121,139,111,89,89,67,50,33,22,19,9,2,0,8
2022-03,평일,126,129,161,201,188,170,152,163,175,142,127,113,95,63,47,26,16,9,2,0,23
2022-03,휴일,62,86,73,104,145,126,111,135,136,110,95,78,69,46,32,18,16,8,2,0,8
2022-04,평일,144,147,188,238,229,202,186,192,194,162,148,141,115,75,58,34,21,13,3,0,21
2022-04,휴일,79,98,95,142,179,182,158,154,174,140,116,110,81,70,55,38,21,12,4,0,9
2022-05,평일,149,165,194,260,251,210,196,200,190,157,142,147,114,80,63,40,28,14,4,0,22
2022-05,휴일,82,108,101,154,204,196,163,152,170,140,111,102,87,61,43,33,29,11,3,0,9
2022-06,평일,139,158,191,247,238,199,195,188,181,149,137,134,110,76,57,38,27,13,4,1,22
2022-06,휴일,90,113,102,157,203,211,176,166,164,128,111,98,87,64,45,31,28,11,3,0,8
2022-07,평일,142,167,197,250,240,195,185,191,178,145,139,130,107,77,61,38,28,13,3,0,21
2022-07,휴일,79,112,97,150,187,181,153,150,144,116,92,95,70,62,47,36,26,11,4,0,10
2022-08,평일,130,160,170,232,221,186,182,182,176,144,137,127,103,74,62,32,24,12,2,0,23
2022-08,휴일,80,112,94,136,175,177,159,157,147,112,104,91,72,57,46,32,22,11,3,0,8
2022-09,평일,132,165,182,237,241,205,188,192,185,156,145,139,114,79,61,30,27,12,3,1,22
2022-09,휴일,75,104,92,136,175,173,148,145,154,118,102,90,78,64,41,26,22,8,4,0,8
2022-10,평일,137,168,185,244,250,216,207,207,203,174,153,146,122,79,60,32,24,14,4,1,21
2022-10,휴일,88,115,107,161,213,200,184,174,182,150,122,105,87,71,44,29,22,13,3,0,10
2022-11,평일,139,168,193,244,244,213,198,202,198,156,154,149,123,74,57,30,22,14,4,1,22
2022-11,휴일,83,106,95,144,191,194,164,170,167,133,123,104,84,51,40,24,22,13,3,0,8
2022-12,평일,130,148,170,218,212,209,196,196,188,149,150,157,116,71,56,30,23,14,5,0,22
2022-12,휴일,70,93,77,124,168,185,175,169,162,135,116,108,85,58,41,29,24,12,3,0,9
2023-01,평일,113,135,146,208,194,192,181,194,188,160,145,136,110,71,58,28,23,10,3,1,22
2023-01,휴일,58,84,62,106,155,162,131,136,144,117,104,93,64,47,36,25,18,9,3,0,9
2023-02,평일,134,181,188,259,238,216,216,223,210,165,157,157,124,92,63,31,27,14,3,1,20
2023-02,휴일,71,120,87,136,203,215,191,184,183,143,125,118,91,70,50,30,27,12,2,0,8
2023-03,평일,145,262,202,271,250,214,216,232,224,184,171,159,124,88,68,37,28,14,4,1,23
2023-03,휴일,78,173,90,162,207,222,187,188,185,154,136,119,96,67,49,33,27,11,2,0,8
2023-04,평일,161,265,212,273,265,215,212,214,208,169,168,159,131,98,73,38,28,14,5,1,20
2023-04,휴일,88,185,104,164,218,213,180,168,181,155,137,121,107,85,57,40,28,10,3,0,10
2023-05,평일,156,164,202,262,252,223,217,218,207,170,161,152,125,95,76,38,28,16,4,1,23
2023-05,휴일,88,108,103,157,212,202,167,163,173,136,115,118,87,67,45,34,23,14,3,0,8
2023-06,평일,162,166,210,274,257,222,207,209,199,161,155,161,129,97,77,39,27,14,3,1,22
2023-06,휴일,90,115,110,173,217,215,183,176,176,148,128,112,101,77,57,39,28,14,3,0,8
2023-07,평일,156,170,209,267,241,205,206,212,200,155,144,152,126,97,75,45,23,17,3,1,21
2023-07,휴일,77,110,93,149,197,184,166,160,159,128,118,104,88,62,45,38,22,12,3,0,10
2023-08,평일,155,160,200,258,233,194,199,196,177,144,134,141,118,96,73,37,25,16,4,0,23
2023-08,휴일,79,107,96,152,199,188,170,170,161,123,113,98,92,81,59,43,22,9,3,0,8
2023-09,평일,161,164,199,257,242,202,208,199,202,161,153,159,129,96,72,38,27,14,3,1,21
2023-09,휴일,86,112,102,165,201,195,182,168,162,134,126,119,97,71,55,33,23,12,2,0,9
2023-10,평일,155,161,205,256,257,233,231,220,215,182,161,162,129,96,68,34,26,14,4,0,22
2023-10,휴일,97,114,101,168,226,226,213,198,192,168,139,129,104,72,53,35,28,11,3,0,9
2023-11,평일,162,172,211,264,250,217,207,215,208,172,164,171,134,89,66,34,24,12,4,1,22
2023-11,휴일,87,109,94,151,201,200,184,177,156,133,126,122,85,58,51,26,22,10,3,0,8
2023-12,평일,152,153,192,239,242,210,206,215,199,164,156,174,136,83,63,36,26,12,4,1,21
2023-12,휴일,80,95,88,136,194,199,192,186,165,145,130,136,94,64,49,32,24,14,3,0,10
