월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,108,41,70,98,153,233,307,325,419,643,788,990,679,462,303,211,144,65,12,,22
2021-07,휴일,92,32,50,64,76,91,109,128,141,140,167,163,143,124,99,74,57,32,5,,9
2021-08,평일,107,38,71,94,141,221,293,320,428,650,761,953,675,449,295,203,130,50,11,,22
2021-08,휴일,86,30,47,59,71,83,96,116,114,125,149,157,145,114,92,66,60,24,4,,9
2021-09,평일,104,38,68,88,143,218,296,311,418,627,750,927,626,403,270,190,123,54,10,,22
2021-09,휴일,90,29,52,72,85,110,118,144,147,168,179,192,165,122,107,72,63,29,4,,8
2021-10,평일,108,40,70,96,152,246,328,362,477,707,890,1095,740,472,311,214,142,69,13,,21
2021-10,휴일,92,33,47,71,89,111,130,184,186,190,234,235,199,169,124,94,70,36,5,,10
2021-11,평일,107,40,77,100,160,246,344,375,507,740,971,1156,805,473,328,242,152,73,16,,22
2021-11,휴일,94,36,52,79,89,123,130,195,192,213,241,248,222,205,144,96,62,37,9,,8
2021-12,평일,108,41,67,88,138,234,319,352,466,706,893,1034,705,436,288,210,139,55,13,,23
2021-12,휴일,90,30,43,57,72,88,104,146,161,177,188,194,168,163,99,69,61,25,6,,8
2022-01,평일,105,40,66,83,136,218,297,336,456,674,860,1024,697,453,316,214,152,45,8,0,21
2022-01,휴일,85,29,40,53,74,89,104,155,149,150,176,182,169,142,104,84,63,17,2,0,10
2022-02,평일,101,38,65,81,133,207,278,313,419,613,792,964,638,443,294,209,142,45,10,0,20
2022-02,휴일,93,32,41,59,79,103,121,171,155,174,200,203,196,185,132,92,63,36,4,0,8
2022-03,평일,101,39,62,87,140,216,286,329,443,630,817,995,655,457,312,209,135,66,16,0,23
2022-03,휴일,85,29,41,64,69,86,119,161,169,162,192,201,180,173,115,76,51,41,8,0,8
2022-04,평일,108,43,75,97,160,244,327,370,506,712,940,1069,726,495,339,240,161,75,20,0,21
2022-04,휴일,94,34,54,70,91,113,148,200,208,208,234,241,200,199,135,95,65,41,12,0,9
2022-05,평일,112,48,75,102,176,269,359,404,526,760,951,1107,739,500,354,255,181,82,21,0,22
2022-05,휴일,101,40,50,72,95,121,139,197,192,204,218,229,184,209,138,107,68,40,9,0,9
2022-06,평일,115,48,76,100,169,265,365,413,510,726,943,1083,719,500,351,276,176,86,21,2,22
2022-06,휴일,105,38,60,74,100,130,158,211,214,233,258,246,213,219,143,100,82,46,14,0,8
2022-07,평일,115,47,78,104,169,272,377,414,519,728,946,1120,758,529,379,298,195,94,21,4,21
2022-07,휴일,104,34,56,73,92,118,137,182,168,185,198,217,196,191,136,104,102,52,11,0,10
2022-08,평일,113,47,78,96,159,254,350,383,489,690,908,1029,702,487,356,263,170,82,21,4,23
2022-08,휴일,104,33,57,66,101,117,134,183,180,180,202,229,210,198,148,106,98,52,10,0,8
2022-09,평일,116,48,83,102,177,288,382,414,524,730,971,1019,705,499,357,266,171,84,21,4,22
2022-09,휴일,104,31,58,64,89,101,119,161,175,198,213,221,195,210,133,104,62,38,11,0,8
2022-10,평일,124,50,91,132,209,350,442,485,596,847,1067,1099,766,522,363,278,178,88,22,5,21
2022-10,휴일,114,38,65,75,106,119,167,201,216,236,264,286,233,263,176,121,80,45,10,0,10
2022-11,평일,119,56,86,112,194,326,423,464,585,870,1090,1181,801,512,364,270,166,89,20,5,22
2022-11,휴일,110,39,60,74,106,123,150,209,213,255,283,296,237,270,152,111,73,38,11,0,8
2022-12,평일,115,54,73,102,153,280,386,450,570,846,1058,1138,764,496,353,302,216,102,24,4,22
2022-12,휴일,102,39,51,67,91,124,157,185,218,230,251,289,233,244,147,136,98,53,11,1,9
2023-01,평일,107,45,68,92,140,245,340,410,489,737,940,992,684,458,315,237,163,81,19,4,22
2023-01,휴일,96,34,49,50,75,95,119,131,152,162,185,203,172,183,108,75,62,30,8,1,9
2023-02,평일,112,61,77,102,175,285,404,462,581,865,1106,1183,805,554,402,309,204,97,24,4,20
2023-02,휴일,98,45,56,70,100,134,152,196,204,244,273,296,252,272,155,124,84,51,9,0,8
2023-03,평일,117,76,73,104,188,295,403,480,605,842,1083,1164,795,551,423,318,206,103,25,6,23
2023-03,휴일,100,63,56,76,116,130,163,190,216,232,279,288,248,295,177,117,87,47,11,1,8
2023-04,평일,120,78,83,116,187,302,394,473,585,855,1061,1178,792,538,420,325,230,106,26,6,20
2023-04,휴일,106,59,65,76,117,146,159,200,206,230,270,264,255,275,173,131,91,58,14,1,10
2023-05,평일,119,50,82,115,189,308,384,444,559,780,1018,1096,754,527,404,325,232,114,29,4,23
2023-05,휴일,107,38,61,75,104,121,144,190,203,225,250,256,252,241,141,117,94,50,13,0,8
2023-06,평일,119,51,80,116,186,295,387,481,566,790,1010,1143,845,540,407,334,231,115,28,3,22
2023-06,휴일,112,38,63,79,118,136,162,227,221,241,286,310,280,277,154,131,93,54,13,0,8
2023-07,평일,120,47,82,111,181,284,395,460,564,809,1071,1164,844,583,445,336,230,107,25,3,21
2023-07,휴일,108,34,60,66,104,119,146,164,190,217,269,269,261,231,175,118,108,49,11,0,10
2023-08,평일,116,42,77,106,169,264,347,412,537,763,1053,1084,807,577,462,333,208,100,25,3,23
2023-08,휴일,109,31,62,68,102,123,140,173,204,234,287,284,271,244,223,146,122,52,13,0,8
2023-09,평일,112,45,80,108,174,284,371,435,551,815,1050,1080,805,551,432,313,196,90,22,3,21
2023-09,휴일,107,30,61,66,102,122,138,175,194,240,295,313,291,300,212,141,87,51,12,0,9
2023-10,평일,115,43,81,113,183,291,385,443,579,824,1064,1114,783,541,388,284,187,88,23,3,22
2023-10,휴일,111,31,64,74,105,127,150,214,237,249,290,291,273,306,170,126,81,49,9,0,9
2023-11,평일,116,45,84,116,189,301,384,468,610,897,1145,1224,845,556,412,315,193,94,26,3,22
2023-11,휴일,107,31,64,71,98,127,151,201,229,254,310,348,317,317,168,135,85,46,10,0,8
2023-12,평일,108,41,80,100,171,279,396,440,575,865,1101,1186,827,539,415,350,229,109,24,3,21
2023-12,휴일,100,32,56,67,99,126,153,204,227,268,294,336,282,308,174,125,102,52,12,1,10
