월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,99,61,100,121,143,151,166,152,138,170,228,212,203,190,102,54,43,16,3,,22
2021-07,휴일,69,42,58,77,86,92,100,96,84,73,75,78,71,56,40,30,23,11,2,,9
2021-08,평일,94,58,95,118,126,151,158,152,141,172,216,208,184,180,101,57,39,13,2,,22
2021-08,휴일,67,37,58,68,81,96,98,90,80,75,78,73,73,54,43,29,20,7,1,,9
2021-09,평일,93,54,91,119,132,155,162,154,148,175,227,217,197,171,100,64,45,20,3,,22
2021-09,휴일,68,41,62,79,106,115,117,117,101,96,94,91,88,64,47,37,23,10,2,,8
2021-10,평일,100,62,101,131,144,166,180,171,165,198,252,246,224,196,109,68,45,25,3,,21
2021-10,휴일,68,41,59,85,107,116,127,123,118,104,104,103,96,66,46,37,23,14,2,,10
2021-11,평일,96,62,104,133,141,166,182,181,176,210,267,259,230,207,118,72,45,23,7,,22
2021-11,휴일,63,42,63,84,108,121,143,139,128,119,109,99,84,56,47,35,24,15,4,,8
2021-12,평일,92,58,99,125,131,158,183,173,179,204,264,243,218,196,110,70,51,21,5,,23
2021-12,휴일,56,34,52,64,90,95,106,109,103,99,91,92,78,54,43,29,19,8,3,,8
2022-01,평일,85,55,100,120,131,159,179,175,176,212,268,245,209,200,106,72,55,17,3,0,21
2022-01,휴일,56,34,52,60,92,101,112,132,106,100,94,92,74,55,39,33,26,7,2,0,10
2022-02,평일,81,50,97,116,128,141,167,160,160,182,238,230,185,189,104,65,51,18,3,0,20
2022-02,휴일,58,34,55,71,99,103,116,121,109,98,96,97,78,53,36,31,23,9,2,0,8
2022-03,평일,82,54,100,119,133,151,163,159,161,194,238,229,190,188,110,68,48,28,6,0,23
2022-03,휴일,62,34,58,67,100,97,107,120,104,91,103,91,76,49,41,26,22,12,4,0,8
2022-04,평일,93,62,111,134,149,181,181,179,176,214,264,252,213,203,123,76,54,34,9,0,21
2022-04,휴일,77,41,66,83,125,130,141,142,127,108,115,105,83,61,48,38,23,19,4,0,9
2022-05,평일,98,64,120,144,163,189,197,183,188,214,266,258,223,212,123,84,61,36,10,0,22
2022-05,휴일,76,40,73,94,134,140,141,145,123,134,117,110,83,64,50,42,27,14,5,0,9
2022-06,평일,102,64,117,140,150,179,191,176,174,202,259,242,221,213,120,77,55,34,12,1,22
2022-06,휴일,78,46,76,90,126,150,147,142,137,124,120,108,90,65,57,42,30,16,11,0,8
2022-07,평일,103,68,127,135,160,171,191,180,177,200,270,258,234,219,126,72,52,29,10,1,21
2022-07,휴일,76,45,66,84,119,127,133,131,111,111,109,103,80,62,45,36,23,18,6,0,10
2022-08,평일,93,61,119,131,140,170,178,163,157,199,248,228,211,201,111,65,47,27,9,1,23
2022-08,휴일,72,41,64,83,118,125,112,137,108,106,103,101,83,59,49,37,24,15,5,0,8
2022-09,평일,96,64,117,136,157,177,190,179,175,213,259,242,219,205,116,76,59,33,11,1,22
2022-09,휴일,72,40,59,77,109,121,129,134,116,104,106,99,82,65,47,35,21,18,4,0,8
2022-10,평일,96,64,121,138,163,187,204,188,185,231,283,260,233,215,121,81,56,31,10,2,21
2022-10,휴일,80,45,74,97,131,148,145,149,136,128,136,122,94,71,53,38,22,21,6,0,10
2022-11,평일,98,66,123,144,159,188,205,193,191,240,296,264,254,222,120,74,62,29,10,1,22
2022-11,휴일,76,39,64,90,123,145,155,150,138,127,126,122,99,64,53,31,25,20,6,0,8
2022-12,평일,92,62,107,130,139,173,195,188,197,240,299,277,253,212,120,76,68,29,10,2,22
2022-12,휴일,69,37,52,73,105,133,150,148,135,132,137,130,98,58,52,41,30,21,6,1,9
