월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,63,40,83,111,121,116,94,88,91,96,137,81,72,51,45,25,13,12,4,,22
2021-07,휴일,36,27,39,52,69,72,96,59,59,51,47,38,38,30,20,14,10,7,3,,9
2021-08,평일,55,40,79,99,111,119,99,88,97,94,124,76,70,45,39,23,11,10,3,,22
2021-08,휴일,30,25,37,46,62,73,91,67,58,49,48,44,35,29,19,13,9,5,2,,9
2021-09,평일,58,37,79,106,121,119,104,100,100,97,136,83,68,46,39,22,12,10,3,,22
2021-09,휴일,33,28,42,64,86,91,102,82,72,54,56,52,46,29,24,15,9,6,3,,8
2021-10,평일,58,39,88,120,135,139,125,114,110,114,145,97,80,54,39,24,11,11,4,,21
2021-10,휴일,34,28,43,62,92,111,116,97,81,67,64,54,48,26,20,15,8,6,3,,10
2021-11,평일,62,41,86,123,137,146,126,122,116,115,151,98,86,50,40,24,11,12,4,,22
2021-11,휴일,36,26,42,64,97,121,131,101,92,67,68,67,46,27,22,16,7,4,3,,8
2021-12,평일,60,40,82,105,123,130,117,110,116,113,153,94,80,49,36,21,12,12,3,,23
2021-12,휴일,29,22,33,50,70,97,94,97,81,63,56,52,41,23,20,15,8,5,2,,8
2022-01,평일,53,34,81,101,125,126,110,109,114,108,144,92,78,52,39,24,14,11,3,0,21
2022-01,휴일,26,20,35,47,77,94,108,92,84,65,55,50,44,29,23,14,10,4,2,0,10
2022-02,평일,53,30,78,95,112,110,102,98,107,111,135,87,70,46,33,21,14,10,3,0,20
2022-02,휴일,28,18,39,46,82,94,101,90,76,70,56,49,40,30,21,17,10,5,2,0,8
2022-03,평일,54,33,80,107,117,119,107,96,113,97,136,92,69,50,38,22,15,10,4,0,23
2022-03,휴일,30,18,35,51,74,93,101,88,77,63,54,47,37,32,21,14,10,5,3,0,8
2022-04,평일,66,38,93,137,153,153,137,122,131,119,162,112,89,59,45,33,19,12,4,0,21
2022-04,휴일,38,23,52,74,108,127,139,117,100,83,68,65,50,37,29,23,12,8,4,0,9
2022-05,평일,69,42,100,141,165,167,151,135,134,125,171,114,95,67,51,37,21,14,5,0,22
2022-05,휴일,39,29,61,88,120,135,143,115,96,83,71,74,57,35,30,22,17,6,4,0,9
2022-06,평일,72,42,98,137,168,169,157,142,133,125,164,112,100,66,50,36,24,13,6,0,22
2022-06,휴일,45,32,62,87,124,146,144,120,102,92,70,72,51,41,31,26,18,6,4,0,8
2022-07,평일,73,46,98,139,172,178,154,147,131,127,167,114,102,67,49,36,23,14,6,0,21
2022-07,휴일,40,30,58,77,111,122,136,112,94,78,75,68,53,38,28,26,15,8,5,0,10
2022-08,평일,64,46,95,131,165,165,146,133,135,121,163,103,87,66,47,35,22,13,5,1,23
2022-08,휴일,37,30,58,82,107,129,133,124,100,75,74,72,53,43,26,25,14,7,4,0,8
2022-09,평일,70,45,92,142,177,176,159,148,150,126,173,117,98,73,51,32,21,13,5,1,22
2022-09,휴일,36,26,54,76,113,133,133,119,92,88,75,65,44,34,24,21,16,7,4,0,8
2022-10,평일,74,45,95,154,184,182,169,157,156,133,175,124,104,73,53,31,20,15,6,1,21
2022-10,휴일,46,29,64,99,138,158,157,133,113,98,85,76,62,42,27,22,16,8,5,0,10
2022-11,평일,76,45,92,153,182,183,162,157,154,142,177,123,105,74,56,29,21,16,5,1,22
2022-11,휴일,45,24,57,85,132,157,160,127,122,102,84,74,57,42,26,18,16,9,3,0,8
2022-12,평일,61,42,95,146,175,193,181,161,156,137,197,131,116,76,50,33,21,15,7,1,22
2022-12,휴일,32,21,49,69,110,151,160,134,124,105,85,84,58,38,29,27,15,9,4,0,9
2023-01,평일,53,40,96,136,159,172,156,144,151,134,169,112,99,70,44,32,21,15,7,1,22
2023-01,휴일,31,20,46,54,96,119,115,116,103,89,75,62,47,37,20,17,15,7,4,0,9
2023-02,평일,63,96,105,153,177,196,182,166,165,150,192,131,114,79,52,36,24,14,7,1,20
2023-02,휴일,37,94,54,73,130,158,153,140,123,109,84,80,63,46,26,26,18,8,4,0,8
2023-03,평일,69,178,107,160,198,204,184,163,162,142,190,124,115,81,57,39,27,16,8,1,23
2023-03,휴일,36,184,62,92,145,167,168,138,128,99,83,77,66,52,33,20,17,11,4,0,8
2023-04,평일,80,179,118,163,204,200,186,165,156,148,203,123,118,83,59,41,25,16,9,1,20
2023-04,휴일,51,192,64,92,154,165,164,125,122,101,85,85,62,49,34,27,17,10,5,0,10
2023-05,평일,74,45,109,160,203,208,181,161,157,139,189,124,114,78,60,41,24,18,8,1,23
2023-05,휴일,45,30,69,99,141,159,150,122,115,98,89,76,62,47,28,25,20,10,5,0,8
2023-06,평일,76,48,113,163,198,203,186,168,152,142,194,132,120,82,59,43,28,19,9,0,22
2023-06,휴일,48,31,72,97,150,158,176,139,118,100,87,85,65,50,37,26,19,11,5,0,8
