월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,234,200,260,335,384,384,362,329,304,308,289,274,259,185,146,97,61,27,7,,22
2021-07,휴일,145,131,140,189,238,259,214,216,200,186,171,158,145,131,98,77,53,29,4,,9
2021-08,평일,215,191,237,317,362,391,369,332,302,334,306,269,244,186,144,85,55,22,5,,22
2021-08,휴일,132,122,143,199,228,250,217,222,229,213,183,163,151,128,102,72,46,23,5,,9
2021-09,평일,220,192,241,323,368,408,384,346,328,348,334,284,250,187,141,94,64,32,5,,22
2021-09,휴일,145,147,172,238,279,332,275,248,246,237,219,202,175,140,110,83,56,28,4,,8
2021-10,평일,232,203,268,363,401,431,433,391,376,385,372,334,290,200,150,96,62,29,6,,21
2021-10,휴일,147,146,163,236,299,339,306,284,273,256,233,208,182,141,106,74,59,28,5,,10
2021-11,평일,235,201,277,356,401,423,439,410,383,401,379,325,291,200,149,91,61,28,9,,22
2021-11,휴일,151,140,162,237,308,358,316,306,291,285,256,232,208,173,105,81,54,27,8,,8
2021-12,평일,218,185,250,313,367,393,403,390,375,399,372,324,282,185,138,86,59,25,8,,23
2021-12,휴일,119,115,122,178,232,281,246,262,256,240,207,188,171,144,98,68,51,19,6,,8
2022-01,평일,210,162,241,304,340,374,397,377,368,387,362,307,262,190,135,89,55,22,4,0,21
2022-01,휴일,121,99,113,182,235,298,269,275,273,251,222,192,170,142,96,68,52,17,3,0,10
2022-02,평일,197,160,237,296,335,352,353,360,349,352,326,283,247,188,132,84,54,25,4,0,20
2022-02,휴일,121,106,130,191,245,290,253,288,277,258,220,191,176,149,97,70,51,24,3,0,8
2022-03,평일,223,180,259,315,354,380,379,372,352,353,329,290,253,194,139,78,52,29,9,0,23
2022-03,휴일,128,110,134,187,237,278,245,270,266,252,200,188,172,161,100,67,45,28,11,0,8
2022-04,평일,261,207,302,356,428,440,432,419,395,388,362,326,294,216,172,98,62,35,12,0,21
2022-04,휴일,164,144,175,252,326,381,322,347,301,291,254,222,204,192,125,83,62,34,9,0,9
2022-05,평일,277,227,321,380,466,482,474,448,419,402,384,335,301,226,171,112,73,41,13,0,22
2022-05,휴일,176,151,177,273,369,430,338,345,331,284,268,242,211,194,123,101,70,42,11,0,9
2022-06,평일,261,224,298,366,432,442,446,429,402,380,372,328,290,215,166,110,69,42,15,0,22
2022-06,휴일,187,162,180,286,368,424,362,326,320,297,267,237,224,200,129,95,67,46,13,0,8
2022-07,평일,268,235,297,376,439,464,445,431,392,381,366,328,300,217,170,107,84,38,14,0,21
2022-07,휴일,172,164,167,254,325,355,310,300,289,265,246,227,196,182,129,98,93,38,14,0,10
2022-08,평일,251,218,283,344,399,419,416,407,371,363,343,316,280,195,156,92,73,33,15,1,23
2022-08,휴일,170,164,168,255,322,352,310,313,304,260,242,214,200,184,128,90,83,37,9,0,8
