월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,82,72,121,139,163,136,109,87,97,80,75,92,57,42,30,22,12,7,1,,22
2021-07,휴일,43,47,48,66,92,94,74,70,63,52,38,42,31,23,17,12,8,3,1,,9
2021-08,평일,86,70,114,133,152,142,113,94,104,85,71,89,57,41,27,21,10,6,1,,22
2021-08,휴일,49,44,49,63,87,86,72,67,65,57,45,41,31,25,16,13,6,3,0,,9
2021-09,평일,79,70,114,141,155,152,120,102,111,95,87,86,59,44,29,21,11,6,2,,22
2021-09,휴일,51,46,52,82,114,115,88,100,82,64,55,51,41,26,17,13,6,4,1,,8
2021-10,평일,85,74,124,155,182,174,145,126,124,104,97,96,68,49,33,21,11,7,1,,21
2021-10,휴일,54,48,55,82,126,137,110,106,89,74,60,51,40,29,14,14,8,5,1,,10
2021-11,평일,88,71,133,161,192,174,146,118,126,110,97,102,72,50,31,21,10,6,2,,22
2021-11,휴일,50,47,58,83,126,141,108,108,96,72,63,60,49,28,20,13,6,5,1,,8
2021-12,평일,78,69,122,141,170,157,131,114,129,106,101,101,65,47,28,18,11,6,2,,23
2021-12,휴일,41,42,41,63,100,108,90,92,72,67,58,44,32,25,16,10,7,3,0,,8
2022-01,평일,69,65,116,135,167,152,127,119,126,109,97,91,56,48,28,19,11,5,1,0,21
2022-01,휴일,37,44,38,62,106,113,95,98,79,64,61,45,40,28,17,11,7,2,1,0,10
2022-02,평일,68,63,112,135,157,137,114,110,121,96,84,87,54,43,28,18,10,5,1,0,20
2022-02,휴일,42,46,44,61,108,117,89,97,78,63,58,49,42,25,18,10,10,3,1,0,8
2022-03,평일,76,62,126,148,165,136,117,110,121,94,88,83,55,46,28,18,9,7,2,0,23
2022-03,휴일,38,42,48,68,98,104,82,91,74,60,49,46,37,28,16,10,6,5,1,0,8
2022-04,평일,97,75,143,167,194,177,147,125,135,106,101,96,67,55,34,22,14,9,3,0,21
2022-04,휴일,54,48,67,95,138,148,108,115,92,74,59,52,43,32,21,15,11,4,1,0,9
2022-05,평일,102,79,156,182,206,194,163,132,139,112,100,100,77,56,38,27,17,8,2,0,22
2022-05,휴일,54,52,67,102,151,162,118,116,95,81,68,61,47,31,23,19,11,5,1,0,9
2022-06,평일,97,82,143,175,203,191,172,137,129,108,100,94,73,54,37,28,16,8,3,0,22
2022-06,휴일,58,60,72,106,145,171,122,125,94,88,64,67,45,33,26,22,8,6,1,0,8
