월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,39,39,61,83,87,83,63,62,55,56,56,51,42,35,41,20,12,6,1,,22
2021-07,휴일,23,25,28,40,59,64,53,54,44,34,28,24,23,19,18,10,7,5,0,,9
2021-08,평일,37,38,58,77,83,81,69,64,59,61,62,52,36,36,37,18,11,4,1,,22
2021-08,휴일,22,29,32,39,55,59,55,54,47,43,34,29,22,19,15,11,7,3,1,,9
2021-09,평일,34,35,60,81,86,83,78,66,64,69,64,52,44,39,37,18,12,6,1,,22
2021-09,휴일,22,28,34,48,65,69,68,63,56,49,40,32,26,20,16,10,7,4,1,,8
2021-10,평일,38,40,65,83,97,89,83,75,70,76,70,57,48,41,40,18,11,7,1,,21
2021-10,휴일,26,28,29,46,70,82,78,78,61,50,40,37,26,20,17,10,10,6,0,,10
2021-11,평일,40,37,63,84,94,90,80,71,73,76,72,60,51,44,40,21,10,7,1,,22
2021-11,휴일,23,28,29,47,67,70,69,78,68,57,40,36,28,20,17,10,9,6,1,,8
2021-12,평일,37,35,61,78,84,83,76,75,74,73,74,55,47,40,37,17,10,5,1,,23
2021-12,휴일,18,22,24,34,48,64,61,60,55,40,36,35,24,15,13,6,8,4,0,,8
2022-01,평일,34,30,57,75,89,81,76,72,74,73,70,57,46,40,36,19,15,3,1,0,21
2022-01,휴일,18,18,22,32,51,71,62,69,64,54,37,35,25,13,14,9,8,2,0,0,10
2022-02,평일,33,28,56,81,85,74,71,69,74,65,71,58,46,36,34,18,14,4,1,0,20
2022-02,휴일,19,19,24,36,58,64,67,71,58,48,39,34,28,16,16,7,8,2,0,0,8
2022-03,평일,38,31,63,84,86,84,76,73,70,73,64,59,47,35,37,19,11,7,1,0,23
2022-03,휴일,21,19,25,36,54,63,65,65,59,46,38,30,26,16,14,9,9,4,1,0,8
2022-04,평일,52,35,72,96,100,97,82,81,82,75,73,66,52,42,39,22,14,8,1,0,21
2022-04,휴일,28,23,34,48,76,82,77,80,70,52,40,37,32,23,19,11,10,5,1,0,9
2022-05,평일,56,40,74,103,111,102,89,89,84,79,76,71,58,48,45,26,15,8,2,0,22
2022-05,휴일,32,25,39,54,87,94,80,77,80,61,45,42,33,22,23,17,8,5,1,0,9
2022-06,평일,53,38,73,99,111,96,84,87,78,80,73,63,54,46,45,27,14,9,2,0,22
2022-06,휴일,37,27,42,58,85,92,81,82,80,56,46,44,32,27,25,17,10,6,1,0,8
2022-07,평일,56,42,75,97,116,99,88,84,76,77,77,66,57,48,46,26,16,9,2,0,21
2022-07,휴일,33,28,36,53,78,84,75,69,71,52,44,40,32,26,20,16,12,6,1,0,10
2022-08,평일,50,36,72,92,106,93,84,79,74,71,72,64,48,44,42,21,14,7,2,0,23
2022-08,휴일,32,24,37,51,74,80,76,76,67,51,44,38,33,25,19,14,10,6,3,0,8
2022-09,평일,49,38,72,96,112,101,87,81,84,77,79,70,56,48,43,20,15,7,2,0,22
2022-09,휴일,30,23,34,49,74,75,72,74,62,55,42,38,30,24,19,14,11,6,2,0,8
2022-10,평일,51,37,70,108,113,97,96,85,85,81,72,75,56,49,44,23,15,8,2,0,21
2022-10,휴일,34,26,40,58,82,86,85,79,75,62,50,43,36,29,22,16,10,6,1,0,10
2022-11,평일,48,42,67,101,119,97,88,86,86,76,80,73,58,46,45,25,13,8,2,0,22
2022-11,휴일,34,27,31,57,76,84,80,78,78,64,54,40,35,24,20,12,10,6,1,0,8
2022-12,평일,44,40,62,94,101,97,92,85,84,86,78,74,53,44,42,22,14,9,2,0,22
2022-12,휴일,29,22,26,49,64,74,81,84,79,65,51,50,34,24,19,14,16,10,2,0,9
2023-01,평일,40,35,60,80,98,89,84,83,81,77,68,64,51,45,42,20,17,8,2,0,22
2023-01,휴일,24,23,23,40,56,68,59,70,68,58,46,39,28,21,16,11,11,8,2,0,9
2023-02,평일,45,42,70,100,114,107,100,93,90,88,80,71,58,52,49,27,20,9,2,0,20
2023-02,휴일,29,27,29,51,77,92,84,89,88,73,64,49,36,28,18,18,11,9,1,0,8
2023-03,평일,49,47,67,103,116,103,100,95,86,89,84,71,58,53,54,27,19,9,2,0,23
2023-03,휴일,32,35,38,52,85,97,88,92,84,68,61,48,39,37,22,15,16,11,1,0,8
2023-04,평일,55,47,69,113,120,104,97,94,84,83,81,72,59,56,53,28,18,9,2,0,20
2023-04,휴일,37,37,41,58,87,91,83,85,85,60,50,42,38,28,26,18,18,7,1,0,10
2023-05,평일,51,40,65,106,115,104,103,88,85,83,79,69,62,55,49,31,18,9,2,0,23
2023-05,휴일,37,31,39,56,86,85,77,79,78,61,51,46,37,28,22,18,14,8,2,0,8
2023-06,평일,50,41,64,111,113,106,94,95,83,81,79,72,63,54,49,31,18,13,3,0,22
2023-06,휴일,37,33,42,63,92,85,89,76,79,56,49,46,41,32,29,20,15,10,2,0,8
2023-07,평일,47,41,69,103,112,101,91,91,82,82,74,66,61,52,49,30,18,12,2,0,21
2023-07,휴일,31,32,36,55,78,84,76,74,74,60,51,41,37,25,21,17,11,10,1,0,10
2023-08,평일,45,37,65,101,101,93,86,85,74,70,69,61,54,48,46,26,14,10,2,0,23
2023-08,휴일,33,26,40,58,82,82,75,74,68,60,51,40,32,27,22,19,15,10,1,0,8
2023-09,평일,41,38,66,105,110,98,91,90,80,78,78,69,57,53,50,26,15,9,2,0,21
2023-09,휴일,33,29,39,55,81,85,85,75,75,67,50,44,38,27,25,15,15,7,2,0,9
2023-10,평일,42,40,65,114,114,99,96,97,83,78,80,74,58,51,46,28,18,10,2,0,22
2023-10,휴일,35,33,37,62,88,90,91,85,81,71,54,49,39,25,25,16,10,6,1,0,9
2023-11,평일,41,43,68,116,114,100,97,95,92,84,87,69,67,54,45,27,16,10,2,0,22
2023-11,휴일,34,28,39,58,81,96,82,83,83,65,52,51,39,27,22,14,13,7,1,0,8
2023-12,평일,40,38,57,105,105,100,98,93,83,86,77,77,62,49,45,28,19,9,2,1,21
2023-12,휴일,30,25,30,49,74,84,88,90,85,71,69,54,38,21,24,14,14,7,2,1,10
