월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,48,37,48,64,93,116,120,116,113,126,145,147,141,112,78,49,33,20,3,,44
2021-07,휴일,31,27,29,40,59,72,88,89,98,100,102,94,88,73,47,31,20,14,2,,18
2021-08,평일,45,35,45,61,89,117,119,117,122,133,153,145,137,109,74,46,32,16,2,,44
2021-08,휴일,32,24,24,39,55,71,85,92,106,108,112,103,96,70,47,27,21,10,1,,18
2021-09,평일,44,37,44,56,89,110,117,122,129,141,155,150,137,111,76,52,36,18,4,,44
2021-09,휴일,32,28,32,42,65,89,99,113,120,137,135,129,108,93,55,34,26,12,2,,16
2021-10,평일,48,36,45,61,100,116,127,132,139,154,179,173,155,119,75,51,41,21,4,,42
2021-10,휴일,33,24,28,41,63,89,96,113,123,136,140,136,117,87,48,32,26,16,2,,20
2021-11,평일,49,40,47,66,95,113,126,136,145,153,181,173,163,108,77,51,37,23,7,,44
2021-11,휴일,36,28,26,42,66,81,98,116,127,150,151,145,127,75,46,31,21,18,5,,16
2021-12,평일,48,36,41,59,85,107,119,130,144,155,176,162,158,99,74,52,33,19,5,,46
2021-12,휴일,32,24,22,32,49,68,77,98,117,122,125,116,91,57,38,26,22,13,5,,16
2022-01,평일,45,32,42,58,82,99,115,121,141,152,170,164,151,104,72,57,39,16,3,0,42
2022-01,휴일,30,23,20,31,49,70,81,104,124,132,138,129,100,66,43,30,23,11,2,0,20
2022-02,평일,42,32,39,56,79,92,106,116,128,134,152,154,144,102,70,52,36,19,3,0,40
2022-02,휴일,28,22,24,35,49,68,82,104,120,125,133,125,103,76,45,32,25,14,2,0,16
2022-03,평일,43,31,44,58,86,103,117,123,138,140,160,158,145,111,76,48,35,20,7,0,46
2022-03,휴일,28,23,25,32,55,68,81,95,107,115,120,114,102,70,46,29,22,16,5,0,16
2022-04,평일,49,36,51,68,100,119,131,146,151,150,180,183,153,119,90,58,41,50,8,0,42
2022-04,휴일,33,27,29,43,64,89,98,125,134,144,148,137,119,84,64,39,25,18,5,0,18
2022-05,평일,52,38,54,72,105,119,141,166,156,157,180,190,159,123,95,67,44,27,7,0,44
2022-05,휴일,37,28,30,46,75,96,105,137,135,145,148,141,117,88,66,44,28,18,4,0,18
2022-06,평일,53,38,53,67,99,119,137,164,154,151,179,186,152,119,90,65,42,24,8,1,44
