월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,182,315,208,240,306,324,299,304,330,353,363,340,309,240,167,122,76,39,8,,22
2021-07,휴일,101,175,88,131,170,195,212,220,221,214,212,206,178,164,110,84,53,31,4,,9
2021-08,평일,170,302,203,228,294,309,320,301,323,343,357,332,306,241,155,110,66,32,5,,22
2021-08,휴일,103,166,86,128,167,180,195,202,208,212,211,191,186,152,108,68,49,21,4,,9
2021-09,평일,171,293,205,235,294,323,321,316,350,356,377,337,289,233,161,117,78,37,7,,22
2021-09,휴일,113,174,97,149,211,235,235,264,268,268,266,234,204,168,120,79,58,30,6,,8
2021-10,평일,183,316,221,263,327,350,364,356,381,420,431,390,340,253,163,126,82,45,8,,21
2021-10,휴일,110,175,102,153,240,267,274,296,314,350,337,300,260,215,149,88,68,36,6,,10
2021-11,평일,186,321,222,257,325,349,358,360,389,420,456,416,342,244,171,125,78,49,10,,22
2021-11,휴일,123,178,106,164,231,263,292,332,351,362,372,333,285,217,166,123,64,37,9,,8
2021-12,평일,177,301,208,221,288,319,327,331,354,404,407,370,315,235,165,114,70,37,9,,23
2021-12,휴일,94,148,75,113,177,206,224,262,270,282,280,245,210,153,112,74,52,25,5,,8
2022-01,평일,161,275,197,214,283,312,322,316,352,402,409,363,330,233,164,116,71,32,7,0,21
2022-01,휴일,89,140,76,112,178,218,229,265,277,291,273,245,207,157,112,73,51,24,4,0,10
2022-02,평일,153,270,196,204,262,287,298,299,328,371,379,340,303,226,163,106,69,31,7,0,20
2022-02,휴일,98,153,84,126,169,216,228,264,282,281,285,298,216,173,130,71,56,22,5,0,8
2022-03,평일,164,284,204,220,285,305,300,313,345,368,386,348,305,229,163,104,64,35,10,0,23
2022-03,휴일,95,143,92,124,178,205,237,285,295,286,302,262,211,162,122,70,48,23,9,0,8
2022-04,평일,193,311,226,250,340,372,363,358,389,425,440,415,362,262,191,138,89,49,14,0,21
2022-04,휴일,119,175,111,179,255,284,295,320,357,384,353,332,278,208,167,116,73,35,10,0,9
2022-05,평일,217,332,238,277,373,402,424,400,422,461,476,470,401,275,210,162,107,53,19,0,22
2022-05,휴일,129,181,124,199,273,318,312,340,356,380,390,360,298,230,188,141,91,45,17,0,9
2022-06,평일,213,323,228,270,360,390,438,411,409,458,502,465,388,265,214,166,110,55,20,2,22
2022-06,휴일,137,186,124,203,279,309,333,344,392,415,422,388,314,237,215,176,105,44,18,0,8
2022-07,평일,223,328,237,271,362,384,427,408,422,444,505,465,421,283,214,162,108,58,20,2,21
2022-07,휴일,126,178,118,180,237,283,304,300,314,341,370,339,297,219,190,148,88,49,16,0,10
2022-08,평일,215,309,227,259,336,359,426,394,393,444,481,438,389,275,197,140,95,54,19,2,23
2022-08,휴일,132,183,121,175,236,259,296,314,332,345,354,330,291,224,178,126,84,39,15,0,8
2022-09,평일,216,309,235,275,368,389,438,417,417,468,487,439,388,281,211,149,103,52,20,3,22
2022-09,휴일,120,166,112,171,244,278,296,312,342,360,358,343,284,242,188,117,87,40,15,0,8
2022-10,평일,225,335,249,293,386,411,466,428,444,504,525,476,418,285,208,154,99,51,20,3,21
2022-10,휴일,151,207,140,206,285,324,363,364,412,455,450,425,349,282,226,160,98,48,17,1,10
2022-11,평일,235,348,248,282,400,416,426,409,442,507,523,482,407,269,200,150,92,56,17,2,22
2022-11,휴일,136,193,121,184,263,305,349,380,425,453,472,408,349,278,218,160,108,44,16,0,8
2022-12,평일,222,321,232,256,343,386,454,437,456,511,575,517,428,280,207,165,114,56,19,3,22
2022-12,휴일,118,172,98,146,219,296,352,380,392,462,486,451,358,256,212,162,102,49,18,2,9
2023-01,평일,202,295,209,238,335,350,412,407,445,483,515,475,388,266,185,142,87,47,16,2,22
2023-01,휴일,106,148,84,130,192,243,261,303,330,348,374,322,250,178,143,104,67,34,13,0,9
2023-02,평일,223,321,251,277,387,413,500,480,487,570,630,574,463,316,226,164,119,51,19,18,20
2023-02,휴일,132,178,102,169,266,311,385,382,435,500,523,453,373,302,221,159,87,44,17,10,8
2023-03,평일,233,319,245,288,410,440,509,490,509,571,618,549,456,320,232,171,117,59,19,42,23
2023-03,휴일,145,192,116,195,284,333,383,382,448,473,510,447,375,276,230,167,92,37,17,26,8
2023-04,평일,253,334,259,302,417,442,492,492,494,562,612,551,442,320,243,187,114,68,21,41,20
2023-04,휴일,166,198,138,231,303,379,370,418,454,491,472,464,388,288,246,184,110,45,18,26,10
2023-05,평일,237,318,245,293,401,429,475,468,472,524,561,527,431,316,237,192,118,68,20,3,23
2023-05,휴일,158,189,131,228,280,354,327,379,422,458,452,436,423,271,208,178,101,43,16,0,8
2023-06,평일,244,325,249,308,402,437,482,480,479,522,577,534,445,317,232,202,123,57,21,2,22
2023-06,휴일,167,202,131,241,302,364,370,403,414,480,504,457,401,293,254,223,120,46,19,0,8
2023-07,평일,242,334,254,300,376,417,468,468,468,513,571,525,477,330,236,186,115,51,19,4,21
2023-07,휴일,140,188,120,193,254,313,312,323,364,400,415,399,334,253,196,154,97,36,14,0,10
2023-08,평일,229,321,237,291,353,386,413,428,446,515,564,519,456,322,228,174,102,46,16,2,23
2023-08,휴일,148,192,131,197,259,307,320,347,375,418,435,411,363,313,220,160,111,40,12,0,8
2023-09,평일,232,323,250,298,374,413,439,450,459,522,584,506,433,309,231,195,112,50,16,3,21
2023-09,휴일,147,197,130,212,295,342,353,371,418,460,461,414,372,292,234,165,97,40,14,0,9
2023-10,평일,237,324,248,308,400,439,456,462,479,543,605,554,440,311,234,170,122,45,16,3,22
2023-10,휴일,159,201,145,232,312,357,350,395,456,472,490,449,388,320,253,188,115,42,14,0,9
2023-11,평일,245,345,264,306,394,435,459,472,483,563,612,561,468,297,232,170,114,50,16,3,22
2023-11,휴일,159,198,141,200,276,346,334,407,470,503,533,477,409,339,273,182,112,41,15,0,8
2023-12,평일,224,311,234,280,368,428,468,475,510,592,644,590,490,323,230,203,136,65,19,3,21
2023-12,휴일,132,169,107,172,255,348,378,414,465,524,560,511,394,309,234,189,116,52,16,2,10
