월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,366,395,378,399,469,431,375,341,327,320,321,297,255,194,153,98,78,38,7,,22
2021-07,휴일,198,218,183,205,264,281,249,252,236,214,207,203,195,158,118,84,70,36,7,,9
2021-08,평일,352,376,344,388,452,439,373,351,343,322,334,295,253,201,140,90,70,30,5,,22
2021-08,휴일,187,207,168,187,243,258,237,253,228,229,214,202,205,156,108,70,63,32,5,,9
2021-09,평일,344,364,345,369,462,449,399,367,365,369,357,319,275,207,144,92,77,37,6,,22
2021-09,휴일,209,235,192,224,318,352,302,283,285,270,260,255,233,189,127,80,75,32,7,,8
2021-10,평일,378,391,366,428,497,509,458,423,426,413,421,379,323,237,158,98,82,40,7,,21
2021-10,휴일,213,230,194,232,338,382,343,335,332,314,301,282,257,195,130,92,71,37,5,,10
2021-11,평일,392,409,374,431,499,491,464,426,421,417,411,366,322,206,151,100,72,37,10,,22
2021-11,휴일,222,231,208,239,360,404,357,358,350,322,288,271,263,168,127,87,64,38,11,,8
2021-12,평일,366,382,348,389,443,440,417,384,408,399,398,350,312,196,141,93,75,30,10,,23
2021-12,휴일,185,189,150,183,293,301,282,295,298,254,228,230,211,140,100,66,56,26,7,,8
2022-01,평일,346,357,343,364,422,435,400,377,396,409,385,331,278,229,141,100,77,23,6,0,21
2022-01,휴일,169,177,146,181,299,316,299,328,311,289,254,229,202,163,104,78,69,22,5,0,10
2022-02,평일,325,352,337,371,408,397,372,363,372,364,353,311,267,216,134,93,73,27,6,0,20
2022-02,휴일,197,187,169,211,311,324,292,322,324,287,236,228,197,186,110,78,70,30,6,0,8
2022-03,평일,339,364,353,378,436,432,388,379,381,357,349,322,258,221,142,92,68,37,13,0,23
2022-03,휴일,178,186,171,209,311,321,289,305,304,251,224,214,188,201,124,74,59,36,12,0,8
2022-04,평일,390,403,406,448,528,507,454,432,436,425,408,373,306,255,158,111,81,41,13,0,21
2022-04,휴일,227,230,214,275,421,440,370,382,354,315,279,259,231,204,140,100,70,39,15,0,9
2022-05,평일,408,412,421,448,555,536,493,468,450,454,450,397,332,266,175,130,90,47,13,0,22
2022-05,휴일,237,225,229,305,462,460,399,390,408,347,308,285,262,225,169,127,82,42,13,0,9
2022-06,평일,344,362,344,371,460,464,426,425,411,433,435,385,319,267,177,134,86,51,14,2,22
2022-06,휴일,220,214,201,279,416,426,376,371,381,379,323,300,282,255,201,144,88,52,15,0,8
2022-07,평일,345,364,346,373,454,449,422,433,397,399,421,380,313,273,170,127,89,49,13,2,21
2022-07,휴일,201,200,184,234,347,365,324,357,344,338,298,284,277,251,184,131,85,37,11,0,10
2022-08,평일,312,336,322,343,419,405,400,449,384,380,382,353,282,257,158,101,76,41,14,3,23
2022-08,휴일,196,201,172,231,343,345,316,371,369,328,289,262,254,250,184,103,72,41,13,0,8
2022-09,평일,313,348,332,344,436,444,414,428,397,411,401,372,309,275,162,103,83,45,16,4,22
2022-09,휴일,178,191,173,211,330,363,314,317,305,309,276,262,241,240,155,102,64,42,14,1,8
2022-10,평일,314,347,350,375,448,464,427,424,429,437,444,386,326,265,157,105,75,44,17,3,21
2022-10,휴일,220,213,204,263,404,429,372,363,374,364,315,290,264,246,164,103,72,40,16,0,10
2022-11,평일,321,367,355,383,447,454,410,425,412,428,423,374,321,236,152,99,80,41,14,3,22
2022-11,휴일,200,203,182,246,379,389,357,334,354,380,322,284,259,237,153,98,67,37,12,0,8
2022-12,평일,295,344,313,345,402,426,406,419,424,468,464,397,313,236,152,117,86,48,15,4,22
2022-12,휴일,165,182,149,204,308,367,360,352,350,379,365,314,274,243,174,117,86,45,14,4,9
2023-01,평일,271,323,287,316,382,390,385,370,395,398,389,349,276,222,143,97,70,39,13,4,22
2023-01,휴일,145,157,130,169,282,302,278,280,285,308,277,241,221,198,134,89,61,35,12,0,9
2023-02,평일,302,368,322,370,431,445,440,421,425,473,450,413,337,278,161,110,86,45,17,5,20
2023-02,휴일,178,202,151,220,356,386,373,355,365,400,353,342,276,283,191,108,73,38,14,0,8
2023-03,평일,314,390,341,367,453,472,448,451,444,459,456,412,336,290,174,121,86,43,17,8,23
2023-03,휴일,188,229,166,240,399,410,383,367,363,411,365,342,285,294,214,117,76,44,13,1,8
