월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,45,46,51,68,93,122,153,139,152,137,150,152,160,108,57,41,30,13,3,,44
2021-07,휴일,28,29,31,45,66,89,110,129,142,147,144,138,126,78,36,23,16,10,2,,18
2021-08,평일,40,46,49,60,91,121,149,140,152,149,154,150,146,104,50,37,27,10,3,,44
2021-08,휴일,26,28,28,40,62,90,109,133,159,179,189,163,139,81,38,21,16,7,2,,18
2021-09,평일,41,43,48,62,89,119,151,146,166,165,169,164,163,107,53,37,29,13,4,,44
2021-09,휴일,28,32,33,52,70,100,122,168,197,223,239,216,165,92,43,28,19,11,2,,16
2021-10,평일,43,46,47,63,96,122,158,152,177,184,184,184,168,105,58,41,30,14,4,,42
2021-10,휴일,29,30,27,42,73,89,124,167,214,246,254,230,167,83,40,26,17,11,2,,20
2021-11,평일,44,49,50,64,96,121,160,157,184,182,186,190,169,110,61,39,26,15,4,,44
2021-11,휴일,27,30,28,44,71,93,124,161,214,258,277,264,196,125,52,27,18,10,4,,16
2021-12,평일,42,44,45,55,82,110,150,152,176,173,179,185,162,103,53,37,24,11,3,,46
2021-12,휴일,21,25,22,31,55,68,94,137,177,210,222,194,143,119,43,23,15,8,3,,16
2022-01,평일,38,43,42,56,82,119,157,156,182,181,185,183,174,104,55,37,27,9,3,0,42
2022-01,휴일,22,24,20,35,58,77,102,153,192,239,240,221,161,127,46,26,19,6,3,0,20
2022-02,평일,37,42,40,57,78,101,140,143,157,165,172,172,155,103,52,36,25,11,3,0,40
2022-02,휴일,24,25,21,36,55,78,102,156,188,217,238,219,159,132,48,26,17,9,3,0,16
2022-03,평일,38,45,41,61,87,109,146,152,168,167,173,180,160,105,58,36,26,14,4,0,46
2022-03,휴일,24,26,22,38,63,79,97,142,172,199,217,208,172,145,48,23,15,10,5,0,16
2022-04,평일,43,51,49,74,98,127,161,157,182,178,185,193,179,119,64,43,33,17,5,0,42
2022-04,휴일,30,34,32,53,80,103,129,174,226,256,260,254,205,171,62,31,24,12,5,0,18
2022-05,평일,47,54,51,82,104,132,164,162,192,184,188,193,182,127,71,48,36,20,6,0,44
2022-05,휴일,33,32,32,57,83,107,140,185,226,253,268,251,201,177,64,38,24,11,5,0,18
2022-06,평일,48,53,50,76,99,127,166,158,191,185,179,183,186,120,68,48,36,19,5,0,44
2022-06,휴일,38,35,32,60,86,110,149,188,229,237,238,224,188,177,70,44,26,13,4,0,16
2022-07,평일,46,58,55,77,104,132,170,159,186,180,184,186,179,118,72,57,53,21,6,1,42
2022-07,휴일,35,36,31,57,83,114,142,175,193,199,200,184,158,134,63,46,61,19,5,0,20
2022-08,평일,44,53,52,72,101,127,162,155,174,167,176,172,164,106,65,44,44,18,6,1,46
2022-08,휴일,34,36,32,54,82,113,145,169,201,198,202,196,168,132,59,43,58,18,5,0,16
2022-09,평일,45,55,53,75,107,137,163,165,191,187,194,201,183,119,66,44,33,21,6,1,44
2022-09,휴일,30,35,31,51,76,102,122,160,193,199,226,211,168,140,54,35,19,13,5,0,16
2022-10,평일,46,57,59,76,110,134,171,174,197,195,198,205,192,117,65,48,37,22,6,1,42
2022-10,휴일,34,38,38,59,87,114,150,180,228,250,270,258,196,170,59,32,26,14,6,0,20
2022-11,평일,47,60,55,76,110,137,169,166,200,193,197,202,188,110,64,45,35,20,5,1,44
2022-11,휴일,34,36,34,54,82,109,140,181,226,288,294,262,198,154,60,37,25,12,4,0,16
2022-12,평일,44,55,51,66,94,126,168,165,187,195,195,202,178,105,64,47,35,21,7,2,44
2022-12,휴일,26,31,30,45,63,91,121,162,211,254,269,235,168,150,59,40,27,14,5,0,18
2023-01,평일,40,54,48,64,89,120,155,160,186,193,188,183,163,103,57,40,31,18,6,1,44
2023-01,휴일,21,28,24,35,54,79,96,139,179,210,223,196,140,117,40,24,19,9,4,0,18
2023-02,평일,44,76,54,74,103,132,166,172,199,204,207,207,186,127,72,49,37,21,7,3,40
2023-02,휴일,26,46,29,48,75,102,131,178,234,307,320,301,214,184,66,36,28,13,5,0,16
2023-03,평일,46,107,60,82,110,131,170,177,206,206,210,205,200,129,72,49,36,21,6,5,46
