월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,58,33,70,79,107,117,102,83,93,98,110,97,78,63,35,23,11,7,2,,22
2021-07,휴일,33,27,38,49,63,74,54,57,52,54,51,49,38,35,24,22,9,5,2,,9
2021-08,평일,52,32,65,76,96,107,99,87,86,97,104,96,68,61,32,22,11,5,2,,22
2021-08,휴일,32,24,36,49,59,74,58,58,60,56,57,45,36,33,22,19,9,5,1,,9
2021-09,평일,52,34,69,79,99,109,104,92,98,105,110,98,78,61,31,22,12,7,2,,22
2021-09,휴일,34,28,39,64,83,89,74,74,66,64,62,56,42,34,25,23,8,6,2,,8
2021-10,평일,54,41,73,92,110,121,114,105,107,118,120,106,86,65,33,26,14,7,2,,21
2021-10,휴일,35,32,34,67,92,107,81,87,78,77,69,63,43,35,27,18,11,7,1,,10
2021-11,평일,58,44,69,84,116,129,116,109,117,118,122,106,88,67,31,26,16,8,1,,22
2021-11,휴일,39,28,35,62,89,115,83,92,86,79,74,61,49,39,28,23,10,6,2,,8
2021-12,평일,51,40,63,73,105,114,109,106,116,116,115,100,83,59,30,26,14,7,2,,23
2021-12,휴일,30,24,25,41,71,80,64,76,72,70,59,50,42,31,20,16,8,4,1,,8
