월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,67,44,74,97,175,262,292,280,229,287,320,306,240,130,84,72,34,20,4,,22
2021-07,휴일,45,33,49,63,81,112,118,142,130,126,123,112,101,76,58,56,29,17,2,,9
2021-08,평일,63,37,71,92,169,251,285,283,233,293,317,290,228,133,81,64,30,18,3,,22
2021-08,휴일,39,26,45,57,80,102,118,153,140,133,126,125,110,78,58,48,22,16,1,,9
2021-09,평일,62,36,68,93,157,247,286,285,236,303,321,296,224,128,88,72,34,22,2,,22
2021-09,휴일,44,30,44,63,89,129,142,168,168,166,153,137,118,92,64,57,29,18,2,,8
2021-10,평일,69,39,76,101,172,267,309,320,279,334,378,344,250,135,86,72,40,27,2,,21
2021-10,휴일,43,32,44,61,90,118,130,181,187,183,176,157,129,97,70,57,28,25,3,,10
2021-11,평일,67,41,81,101,171,279,320,312,288,365,408,372,267,134,91,75,42,23,8,,22
2021-11,휴일,48,33,44,75,88,131,142,201,193,221,208,177,133,100,69,58,33,17,7,,8
2021-12,평일,62,37,75,99,160,258,301,295,266,336,371,320,229,123,77,74,38,18,4,,23
2021-12,휴일,39,25,34,52,70,102,109,187,160,160,154,139,104,74,60,52,28,12,4,,8
2022-01,평일,60,39,73,92,158,250,292,282,269,339,369,309,242,122,86,78,40,15,2,0,21
2022-01,휴일,38,23,36,54,70,110,115,178,168,168,153,127,109,76,62,49,35,12,2,0,10
2022-02,평일,56,40,71,83,144,221,250,274,235,306,350,283,220,118,79,68,34,19,3,0,20
2022-02,휴일,40,26,38,53,77,108,115,169,160,162,155,130,104,81,59,54,27,18,3,0,8
2022-03,평일,58,41,77,93,155,243,265,270,239,331,380,296,224,125,84,68,34,21,7,0,23
2022-03,휴일,36,27,36,57,73,104,112,170,178,148,142,123,120,79,60,48,28,17,6,0,8
2022-04,평일,68,46,81,109,185,275,309,307,270,340,391,333,253,138,96,83,45,27,8,0,21
2022-04,휴일,46,37,45,71,93,138,137,189,190,194,192,165,136,94,86,68,30,22,9,0,9
2022-05,평일,71,50,81,116,192,298,321,334,308,369,419,371,279,160,111,93,53,29,10,0,22
2022-05,휴일,51,35,45,73,105,147,142,225,216,217,223,184,144,110,83,88,36,27,8,0,9
2022-06,평일,70,48,80,117,188,285,314,328,295,368,410,360,263,154,104,95,54,27,9,2,22
2022-06,휴일,56,39,48,78,109,156,160,209,218,231,219,202,148,109,99,87,50,26,9,0,8
2022-07,평일,72,53,87,113,200,290,320,323,285,349,403,356,267,161,104,94,58,26,13,2,21
2022-07,휴일,50,37,51,72,103,148,139,206,197,204,204,174,145,108,92,78,48,23,8,0,10
2022-08,평일,66,46,79,107,188,265,300,320,283,338,381,336,248,147,102,88,47,29,11,2,23
2022-08,휴일,51,34,49,68,100,138,146,193,190,201,193,166,126,103,95,76,36,26,7,0,8
2022-09,평일,74,45,84,111,191,282,315,332,292,355,402,364,263,159,111,91,54,30,12,1,22
2022-09,휴일,48,33,47,64,97,126,136,185,196,192,198,168,122,107,89,71,39,18,7,0,8
2022-10,평일,76,48,80,114,196,283,328,342,316,385,423,383,265,162,100,96,51,32,10,2,21
2022-10,휴일,51,34,51,74,110,154,168,212,224,238,241,216,142,120,98,85,46,22,8,0,10
2022-11,평일,78,49,86,116,197,291,340,347,319,382,418,388,272,153,102,100,56,32,10,1,22
2022-11,휴일,54,33,48,69,106,151,154,210,224,251,242,188,147,111,93,86,56,22,9,0,8
2022-12,평일,71,41,82,101,171,267,329,334,310,406,446,391,266,146,108,113,74,41,13,1,22
2022-12,휴일,50,29,46,59,89,135,155,198,216,240,268,208,157,118,97,92,60,30,10,1,9
2023-01,평일,68,38,78,94,162,257,296,307,290,351,393,341,248,147,93,89,54,29,9,1,22
2023-01,휴일,44,22,37,52,78,111,125,180,183,176,193,162,115,85,68,68,34,19,5,0,9
2023-02,평일,71,141,89,117,192,274,339,353,323,403,463,419,296,172,112,112,68,33,10,2,20
2023-02,휴일,49,100,46,68,108,140,170,223,249,254,257,212,157,131,110,99,54,26,8,0,8
2023-03,평일,75,310,86,119,189,296,332,365,336,405,452,414,305,178,121,107,64,34,10,2,23
2023-03,휴일,53,216,49,71,110,149,162,220,245,260,277,237,158,136,105,97,49,29,6,1,8
2023-04,평일,79,295,82,124,194,295,342,357,330,400,446,408,292,177,129,103,63,36,10,3,20
2023-04,휴일,56,225,54,72,112,150,158,204,233,250,253,217,156,128,106,94,45,28,7,0,10
2023-05,평일,75,47,84,116,186,283,323,330,320,386,428,385,290,173,124,112,66,36,11,2,23
2023-05,휴일,54,34,50,71,103,144,148,216,234,234,255,198,153,120,90,98,39,28,6,0,8
2023-06,평일,72,52,84,118,194,295,326,342,312,385,419,396,288,163,121,107,68,39,12,1,22
2023-06,휴일,50,38,52,78,110,160,160,215,227,250,277,211,155,122,102,114,56,32,7,0,8
2023-07,평일,71,48,83,115,194,283,315,323,301,359,413,382,269,162,115,99,63,33,10,1,21
2023-07,휴일,48,30,50,67,101,136,145,185,212,214,217,193,149,106,91,87,44,27,7,0,10
2023-08,평일,71,43,83,111,177,268,311,332,289,352,398,381,270,166,117,110,63,33,10,1,23
2023-08,휴일,51,30,51,74,104,141,149,209,217,218,232,199,150,118,98,96,47,28,8,0,8
2023-09,평일,73,44,82,114,183,274,311,320,292,368,409,382,270,166,120,105,68,34,9,1,21
2023-09,휴일,54,33,50,69,109,135,144,200,214,233,238,195,157,111,100,92,47,25,5,0,9
2023-10,평일,73,43,88,116,189,278,310,327,314,387,438,398,281,174,118,108,74,36,8,1,22
2023-10,휴일,54,34,52,72,111,149,157,216,233,244,251,225,172,143,106,98,45,29,8,0,9
2023-11,평일,73,44,89,113,186,276,312,338,322,408,451,421,279,173,118,104,71,47,10,1,22
2023-11,휴일,56,28,44,64,98,141,151,211,218,268,255,236,164,134,113,142,58,29,6,0,8
2023-12,평일,67,36,82,95,175,266,321,350,322,412,453,426,283,167,130,130,88,44,10,2,21
2023-12,휴일,49,27,40,61,100,132,142,215,213,261,282,222,162,136,108,109,61,34,7,2,10
