월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,63,58,88,99,145,146,130,118,124,113,128,112,88,63,51,33,20,12,2,,22
2021-07,휴일,39,35,42,62,88,107,95,100,79,67,63,57,51,39,31,20,14,6,2,,9
2021-08,평일,62,53,80,99,134,151,128,124,124,115,129,103,82,61,48,31,18,10,1,,22
2021-08,휴일,36,31,40,60,82,89,98,92,82,71,67,59,49,41,30,19,13,4,2,,9
2021-09,평일,60,54,78,96,140,146,135,124,134,123,139,116,91,65,46,30,20,10,2,,22
2021-09,휴일,41,38,49,65,97,123,111,123,104,84,79,65,59,42,32,20,14,6,1,,8
2021-10,평일,61,61,85,110,160,161,151,139,144,134,152,127,98,68,46,31,21,12,2,,21
2021-10,휴일,35,38,52,65,103,117,120,134,113,92,86,70,59,38,34,18,14,8,2,,10
2021-11,평일,68,64,87,118,150,164,143,143,144,136,152,128,103,68,50,32,20,11,5,,22
2021-11,휴일,41,41,47,71,107,127,122,136,114,97,90,73,60,38,33,17,15,5,2,,8
2021-12,평일,59,56,78,104,137,150,132,142,142,134,145,122,91,58,47,31,18,7,3,,23
2021-12,휴일,31,28,37,56,88,104,97,128,94,79,77,60,46,34,23,17,12,4,1,,8
2022-01,평일,58,53,75,102,126,146,135,137,140,133,144,116,90,61,47,31,19,6,2,0,21
2022-01,휴일,32,28,38,53,89,109,108,123,106,94,78,66,46,39,23,19,13,4,1,0,10
2022-02,평일,56,49,76,98,122,124,119,126,125,117,134,106,81,57,51,30,19,7,1,0,20
2022-02,휴일,35,29,40,56,91,104,108,129,96,87,78,62,50,34,27,18,15,6,2,0,8
2022-03,평일,62,52,74,105,131,135,130,136,132,122,143,113,80,61,47,28,18,9,3,0,23
2022-03,휴일,36,29,37,57,92,99,104,118,98,87,72,62,46,35,29,15,14,6,2,0,8
2022-04,평일,73,61,87,121,158,163,142,143,140,133,156,123,98,67,54,32,21,12,3,0,21
2022-04,휴일,49,35,50,79,117,123,127,144,122,94,84,72,57,40,31,22,19,10,2,0,9
2022-05,평일,78,67,93,132,168,165,155,150,148,134,155,134,106,76,60,40,22,15,3,0,22
2022-05,휴일,50,37,52,85,119,134,126,149,117,94,90,76,60,45,40,29,16,9,2,0,9
2022-06,평일,71,63,90,134,159,165,154,151,150,120,151,129,104,71,61,39,22,14,5,1,22
2022-06,휴일,54,34,50,87,127,142,134,150,125,106,98,86,60,51,36,26,19,8,3,0,8
2022-07,평일,72,67,91,133,162,177,160,152,146,134,150,135,105,76,58,39,22,13,5,1,21
2022-07,휴일,45,37,51,81,117,134,131,141,115,90,88,77,59,44,34,26,19,11,3,0,10
2022-08,평일,68,62,92,128,156,164,148,143,138,128,144,124,95,71,51,36,21,13,4,1,23
2022-08,휴일,44,39,54,85,122,132,121,138,112,94,80,76,60,43,33,24,19,10,3,0,8
2022-09,평일,70,64,85,130,160,172,164,151,147,137,157,132,99,75,56,34,21,14,4,1,22
2022-09,휴일,43,34,46,77,114,130,113,138,109,94,84,67,54,42,30,19,17,8,4,0,8
2022-10,평일,71,68,97,136,163,173,169,153,154,146,160,140,101,73,55,37,23,12,4,1,21
