월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,98,39,82,137,158,212,247,230,237,306,360,327,291,220,156,104,68,36,2,,22
2021-07,휴일,79,33,56,85,96,141,135,164,142,148,137,117,102,89,68,76,39,20,1,,9
2021-08,평일,79,36,82,136,156,215,236,232,236,303,349,318,269,208,146,100,65,28,2,,22
2021-08,휴일,70,31,54,80,87,127,120,150,133,138,127,118,99,91,61,65,39,20,1,,9
2021-09,평일,88,36,80,125,152,218,250,243,246,325,372,333,285,208,149,107,79,34,2,,22
2021-09,휴일,74,34,59,100,108,159,154,196,164,183,186,153,124,104,76,79,51,23,2,,8
2021-10,평일,83,33,88,139,171,249,291,268,285,390,446,386,326,236,154,122,86,43,2,,21
2021-10,휴일,70,32,58,101,115,166,172,208,187,205,194,169,140,111,81,90,49,28,1,,10
2021-11,평일,89,34,86,148,180,258,300,286,297,425,481,403,346,238,166,143,92,47,4,,22
2021-11,휴일,72,31,54,114,117,196,180,220,204,240,216,188,146,104,100,98,58,24,4,,8
2021-12,평일,83,34,79,131,160,229,267,264,276,387,427,374,324,229,154,124,89,41,3,,23
2021-12,휴일,78,28,49,90,88,154,140,183,170,174,173,144,128,98,70,80,52,18,3,,8
2022-01,평일,92,33,75,125,163,221,260,249,275,374,416,370,328,232,154,132,100,27,2,0,21
2022-01,휴일,71,26,41,85,94,162,147,213,171,189,167,145,128,92,72,80,44,15,1,0,10
2022-02,평일,86,31,71,120,151,202,236,230,238,319,383,327,296,210,142,110,87,28,2,0,20
2022-02,휴일,71,26,47,95,93,157,144,212,177,196,168,153,132,96,80,86,54,18,1,0,8
2022-03,평일,91,33,72,123,154,204,244,255,261,336,360,330,294,204,151,114,78,39,3,0,23
2022-03,휴일,68,31,46,91,96,155,142,200,164,191,166,154,119,89,80,74,46,25,4,0,8
2022-04,평일,99,38,84,146,187,250,294,285,305,401,434,384,348,252,174,135,98,57,5,0,21
2022-04,휴일,80,34,53,117,131,198,179,242,199,211,209,171,154,132,101,101,52,35,4,0,9
2022-05,평일,101,39,99,156,199,260,311,313,333,460,491,423,366,255,186,168,119,61,6,0,22
2022-05,휴일,93,36,62,133,138,244,182,276,231,267,237,186,162,126,108,118,79,30,4,0,9
